model_name,total_time_train,time_epoch,time_predict,time_system,EVS,ME,MAE,MSE,RMSE,MSLE,MedAE,R2,MRE,MAPE,SMAPE,MAAPE,MASE
HgsoLstm-run_0-hs_[7]True-ac_eluelu-epoch_1000-n_clusters_2-pop_size_50,1151.1479,1.1511,0.01337099,1151.4878,0.2693,34.570406406408836,4.637,52.4262,7.2406,0.6393,3.2068,0.2563,inf,inf,67.7524,0.6458,0.9189
HgsoLstm-run_1-hs_[7]True-ac_eluelu-epoch_1000-n_clusters_2-pop_size_50,1222.2624,1.2223,0.01355362,1222.6483,0.2368,33.81868496298691,4.8842,55.736,7.4657,0.6908,3.2695,0.2093,inf,inf,69.1074,0.6614,0.9678
HgsoLstm-run_2-hs_[7]True-ac_eluelu-epoch_1000-n_clusters_2-pop_size_50,1175.3283,1.1753,0.01088071,1175.7015,0.2191,32.2855403782701,5.9284,63.1708,7.948,0.9264,5.2522,0.1039,inf,inf,77.8269,0.7605,1.1748
HgsoLstm-run_3-hs_[7]True-ac_eluelu-epoch_1000-n_clusters_2-pop_size_50,1192.3128,1.1923,0.00596023,1192.6898,0.2515,33.68897216603448,5.0519,55.8121,7.4707,0.7725,4.0369,0.2083,inf,inf,70.9408,0.6843,1.0011
HgsoLstm-run_4-hs_[7]True-ac_eluelu-epoch_1000-n_clusters_2-pop_size_50,1187.9741,1.188,0.01161909,1188.3507,0.2546,32.31718476287989,5.9304,62.8432,7.9274,0.9258,5.2327,0.1085,inf,inf,77.9489,0.7635,1.1752
HgsoLstm-run_5-hs_[7]True-ac_eluelu-epoch_1000-n_clusters_2-pop_size_50,1173.7891,1.1738,0.00781131,1174.2117,0.2262,34.44018771797147,4.591,55.1072,7.4234,0.6262,2.7288,0.2183,inf,inf,67.321,0.6288,0.9097
HgsoLstm-run_6-hs_[7]True-ac_eluelu-epoch_1000-n_clusters_2-pop_size_50,1073.9977,1.074,0.00767612,1074.3782,0.2018,33.20409737985215,5.3078,60.0343,7.7482,0.7825,4.1232,0.1484,inf,inf,72.6133,0.7017,1.0518
HgsoLstm-run_7-hs_[7]True-ac_eluelu-epoch_1000-n_clusters_2-pop_size_50,1138.4193,1.1384,0.00698876,1138.7357,0.2373,33.72039452930292,5.0435,56.361,7.5074,0.7566,3.9881,0.2005,inf,inf,70.6916,0.6822,0.9994
HgsoLstm-run_8-hs_[7]True-ac_eluelu-epoch_1000-n_clusters_2-pop_size_50,511.9048,0.5119,0.00313926,512.002,0.2283,34.07428386048686,5.0036,56.6384,7.5258,0.7403,3.8732,0.1965,inf,inf,70.5174,0.6789,0.9915
HgsoLstm-run_9-hs_[7]True-ac_eluelu-epoch_1000-n_clusters_2-pop_size_50,510.9719,0.511,0.00298858,511.0687,0.2369,33.84703867414449,4.9781,55.967,7.4811,0.722,3.7423,0.2061,inf,inf,70.0258,0.6721,0.9865
