model_name,total_time_train,time_epoch,time_predict,time_system,EVS,ME,MAE,MSE,RMSE,MSLE,MedAE,R2,MRE,MAPE,SMAPE,MAAPE,MASE
"RNN-1HL-Rnn1HL-run_0-hs_(20, True)-ep_1000-bs_32-lr_0.1-ac_('elu', 'elu')-op_SGD-lo_mse-dr_(0.2,)",47.9119,0.0479,0.32998514,48.2482,0.2291,34.714771026023875,4.6101,54.5637,7.3867,0.6447,2.9106,0.226,inf,inf,66.3178,0.6252,0.9135
"RNN-1HL-Rnn1HL-run_1-hs_(20, True)-ep_1000-bs_32-lr_0.1-ac_('elu', 'elu')-op_SGD-lo_mse-dr_(0.2,)",48.1012,0.0481,0.59669638,48.7044,0.235,32.332071293817656,5.8237,62.1587,7.8841,0.893,5.0543,0.1182,inf,inf,76.5312,0.7485,1.154
"RNN-1HL-Rnn1HL-run_2-hs_(20, True)-ep_1000-bs_32-lr_0.1-ac_('elu', 'elu')-op_SGD-lo_mse-dr_(0.2,)",47.2341,0.0472,0.30893755,47.5493,0.2348,32.39280523174495,5.7872,61.7822,7.8602,0.8878,4.9983,0.1236,inf,inf,76.2687,0.7454,1.1468
"RNN-1HL-Rnn1HL-run_3-hs_(20, True)-ep_1000-bs_32-lr_0.1-ac_('elu', 'elu')-op_SGD-lo_mse-dr_(0.2,)",47.9269,0.0479,0.3459096,48.2791,0.2315,33.44550197723934,5.1581,57.2974,7.5695,0.7747,4.1137,0.1872,inf,inf,71.0493,0.6869,1.0221
"RNN-1HL-Rnn1HL-run_4-hs_(20, True)-ep_1000-bs_32-lr_0.1-ac_('elu', 'elu')-op_SGD-lo_mse-dr_(0.2,)",49.0983,0.0491,0.33144784,49.4362,0.2355,33.09872050071217,5.3392,58.3635,7.6396,0.8121,4.433,0.1721,inf,inf,72.6357,0.7052,1.058
"RNN-1HL-Rnn1HL-run_5-hs_(20, True)-ep_1000-bs_32-lr_0.1-ac_('elu', 'elu')-op_SGD-lo_mse-dr_(0.2,)",51.178,0.0512,0.33577085,51.5248,0.232,32.22080847033172,5.9141,63.017,7.9383,0.9087,5.1946,0.1061,inf,inf,77.2014,0.7556,1.1719
"RNN-1HL-Rnn1HL-run_6-hs_(20, True)-ep_1000-bs_32-lr_0.1-ac_('elu', 'elu')-op_SGD-lo_mse-dr_(0.2,)",49.3802,0.0494,0.29766655,49.6841,0.2352,33.89923985616355,4.9243,55.6333,7.4588,0.7233,3.686,0.2108,inf,inf,69.1634,0.6644,0.9758
"RNN-1HL-Rnn1HL-run_7-hs_(20, True)-ep_1000-bs_32-lr_0.1-ac_('elu', 'elu')-op_SGD-lo_mse-dr_(0.2,)",47.4462,0.0474,0.32038331,47.7729,0.2334,33.784503984552146,4.9819,56.0694,7.488,0.7362,3.8108,0.2046,inf,inf,69.6047,0.6697,0.9872
"RNN-1HL-Rnn1HL-run_8-hs_(20, True)-ep_1000-bs_32-lr_0.1-ac_('elu', 'elu')-op_SGD-lo_mse-dr_(0.2,)",48.7298,0.0487,0.31046772,49.0524,0.2342,32.954739660844325,5.4232,59.0521,7.6845,0.8259,4.563,0.1623,inf,inf,73.2936,0.7127,1.0746
"RNN-1HL-Rnn1HL-run_9-hs_(20, True)-ep_1000-bs_32-lr_0.1-ac_('elu', 'elu')-op_SGD-lo_mse-dr_(0.2,)",48.5208,0.0485,0.3096199,48.8364,0.2328,33.82944031110877,4.9623,55.9813,7.4821,0.7317,3.7591,0.2059,inf,inf,69.4407,0.6677,0.9833
