model_name,total_time_train,time_epoch,time_predict,time_system,EVS,ME,MAE,MSE,RMSE,MSLE,MedAE,R2,MRE,MAPE,SMAPE,MAAPE,MASE
WdoLstm-run_0-hs_[7]True-ac_eluelu-RT_3-alp_0.4-c_0.4-epoch_1000-g_0.2-max_v_0.3-pop_size_50,451.3626,0.4514,0.00310922,451.4607,0.246,33.41508029587372,5.1281,56.4948,7.5163,0.7682,3.9881,0.1986,inf,inf,71.1852,0.689,1.0162
WdoLstm-run_1-hs_[7]True-ac_eluelu-RT_3-alp_0.4-c_0.4-epoch_1000-g_0.2-max_v_0.3-pop_size_50,451.0024,0.451,0.00307465,451.1006,0.2376,33.425298035176155,5.223,57.3629,7.5738,0.8024,4.1859,0.1863,inf,inf,72.2466,0.7,1.035
WdoLstm-run_2-hs_[7]True-ac_eluelu-RT_3-alp_0.4-c_0.4-epoch_1000-g_0.2-max_v_0.3-pop_size_50,458.353,0.4584,0.00300145,458.6082,0.2394,33.4605407513826,5.1473,56.7969,7.5364,0.7774,4.053,0.1943,inf,inf,71.265,0.6898,1.02
WdoLstm-run_3-hs_[7]True-ac_eluelu-RT_3-alp_0.4-c_0.4-epoch_1000-g_0.2-max_v_0.3-pop_size_50,454.8494,0.4548,0.00291038,454.9459,0.2344,33.32719949136577,5.2469,57.6663,7.5938,0.7991,4.1249,0.182,inf,inf,72.1285,0.6991,1.0397
WdoLstm-run_4-hs_[7]True-ac_eluelu-RT_3-alp_0.4-c_0.4-epoch_1000-g_0.2-max_v_0.3-pop_size_50,464.4841,0.4645,0.00299907,464.5835,0.2452,33.11310827656525,5.3359,57.852,7.606,0.8154,4.3853,0.1793,inf,inf,72.8504,0.708,1.0574
WdoLstm-run_5-hs_[7]True-ac_eluelu-RT_3-alp_0.4-c_0.4-epoch_1000-g_0.2-max_v_0.3-pop_size_50,451.6445,0.4516,0.00295353,451.8587,0.2426,33.414033623835905,5.2077,57.0757,7.5548,0.7904,4.0936,0.1903,inf,inf,71.9968,0.6982,1.032
WdoLstm-run_6-hs_[7]True-ac_eluelu-RT_3-alp_0.4-c_0.4-epoch_1000-g_0.2-max_v_0.3-pop_size_50,456.3674,0.4564,0.00298715,456.4624,0.2157,32.597201250328574,5.7634,62.4864,7.9048,0.8948,5.0497,0.1136,inf,inf,76.4646,0.7463,1.1421
WdoLstm-run_7-hs_[7]True-ac_eluelu-RT_3-alp_0.4-c_0.4-epoch_1000-g_0.2-max_v_0.3-pop_size_50,457.7897,0.4578,0.00303578,457.8931,0.2426,33.5250284358455,5.1474,56.7328,7.5321,0.77,3.9965,0.1952,inf,inf,71.3794,0.6915,1.02
WdoLstm-run_8-hs_[7]True-ac_eluelu-RT_3-alp_0.4-c_0.4-epoch_1000-g_0.2-max_v_0.3-pop_size_50,455.445,0.4554,0.00303698,455.5409,0.228,33.44974417072592,5.2727,58.1262,7.6241,0.8005,4.3758,0.1754,inf,inf,72.6561,0.7044,1.0448
WdoLstm-run_9-hs_[7]True-ac_eluelu-RT_3-alp_0.4-c_0.4-epoch_1000-g_0.2-max_v_0.3-pop_size_50,455.0061,0.455,0.00297451,455.1081,0.2415,32.90830389730021,5.4963,59.4545,7.7107,0.8402,4.5888,0.1566,inf,inf,74.2044,0.7226,1.0891
