model_name,total_time_train,time_epoch,time_predict,time_system,EVS,ME,MAE,MSE,RMSE,MSLE,MedAE,R2,MRE,MAPE,SMAPE,MAAPE,MASE
PsoLstm-run_0-hs_[7]True-ac_eluelu-c1_2.0-c2_2.0-epoch_1000-pop_size_50-w_max_0.9-w_min_0.4,991.6495,0.9916,0.00596809,992.0264,0.1908,33.04050174740907,5.0787,58.7824,7.667,0.7288,3.787,0.1661,inf,inf,70.446,0.6608,1.0064
PsoLstm-run_1-hs_[7]True-ac_eluelu-c1_2.0-c2_2.0-epoch_1000-pop_size_50-w_max_0.9-w_min_0.4,1038.9853,1.039,0.01088691,1039.3817,0.2599,32.658092189061534,4.8293,53.5601,7.3185,0.6972,3.9532,0.2402,inf,inf,69.7295,0.6432,0.957
PsoLstm-run_2-hs_[7]True-ac_eluelu-c1_2.0-c2_2.0-epoch_1000-pop_size_50-w_max_0.9-w_min_0.4,1028.4011,1.0284,0.01266479,1028.8009,0.3105,32.82819542560636,4.9197,52.6532,7.2563,0.7366,4.0771,0.2531,inf,inf,70.1897,0.6832,0.9749
PsoLstm-run_3-hs_[7]True-ac_eluelu-c1_2.0-c2_2.0-epoch_1000-pop_size_50-w_max_0.9-w_min_0.4,1046.0483,1.046,0.00296426,1046.4444,0.2587,33.480548045972014,4.9558,54.3877,7.3748,0.6794,3.4772,0.2285,inf,inf,70.6374,0.6824,0.982
PsoLstm-run_4-hs_[7]True-ac_eluelu-c1_2.0-c2_2.0-epoch_1000-pop_size_50-w_max_0.9-w_min_0.4,1038.4651,1.0385,0.01069546,1038.8673,0.2929,33.01752412444569,5.1152,54.055,7.3522,0.7714,4.1256,0.2332,inf,inf,71.1716,0.696,1.0136
PsoLstm-run_5-hs_[7]True-ac_eluelu-c1_2.0-c2_2.0-epoch_1000-pop_size_50-w_max_0.9-w_min_0.4,1031.6865,1.0317,0.01113677,1032.0618,0.247,33.46045194284606,4.8458,55.1874,7.4288,0.6992,3.3799,0.2171,inf,inf,69.0868,0.6601,0.9602
PsoLstm-run_6-hs_[7]True-ac_eluelu-c1_2.0-c2_2.0-epoch_1000-pop_size_50-w_max_0.9-w_min_0.4,1020.1973,1.0202,0.00618505,1020.501,0.2979,33.19273543770838,4.9106,52.6763,7.2578,0.7407,3.8459,0.2527,inf,inf,69.7385,0.6752,0.9731
PsoLstm-run_7-hs_[7]True-ac_eluelu-c1_2.0-c2_2.0-epoch_1000-pop_size_50-w_max_0.9-w_min_0.4,916.6509,0.9167,0.01142311,916.9868,0.2723,33.610938008015566,4.9323,54.3385,7.3715,0.7123,3.7334,0.2292,inf,inf,70.2699,0.6811,0.9774
PsoLstm-run_8-hs_[7]True-ac_eluelu-c1_2.0-c2_2.0-epoch_1000-pop_size_50-w_max_0.9-w_min_0.4,983.3083,0.9833,0.00813103,983.7178,0.2755,32.94827091047731,4.9256,54.3258,7.3706,0.6983,3.5484,0.2293,inf,inf,69.2743,0.6751,0.976
PsoLstm-run_9-hs_[7]True-ac_eluelu-c1_2.0-c2_2.0-epoch_1000-pop_size_50-w_max_0.9-w_min_0.4,1035.2936,1.0353,0.01072335,1035.6949,0.272,33.16569641006495,4.9141,54.2761,7.3672,0.6655,3.4913,0.2301,inf,inf,69.5051,0.6784,0.9738
