model_name,total_time_train,time_epoch,time_predict,time_system,EVS,ME,MAE,MSE,RMSE,MSLE,MedAE,R2,MRE,MAPE,SMAPE,MAAPE,MASE
"SCRIPT_PHYSICS_MLP-run_0-hs_(7, True)-ac_('elu', 'elu')--ep_1000-ps_50-RT_3-g_0.2-alp_0.4-c_0.4-mv_0.3-wmm_(1.0, 0.2)-nc_2",305.4019,0.3054,0.00081539,305.4098,0.2702,33.51346637925762,5.189,55.1684,7.4275,0.7621,4.2465,0.2174,inf,inf,72.5726,0.7065,1.0282
"SCRIPT_PHYSICS_MLP-run_1-hs_(7, True)-ac_('elu', 'elu')--ep_1000-ps_50-RT_3-g_0.2-alp_0.4-c_0.4-mv_0.3-wmm_(1.0, 0.2)-nc_2",302.3581,0.3024,0.00077152,302.3666,0.2642,33.30169068664058,5.1551,55.3333,7.4386,0.7415,3.9331,0.2151,inf,inf,72.0602,0.7022,1.0215
"SCRIPT_PHYSICS_MLP-run_2-hs_(7, True)-ac_('elu', 'elu')--ep_1000-ps_50-RT_3-g_0.2-alp_0.4-c_0.4-mv_0.3-wmm_(1.0, 0.2)-nc_2",310.7545,0.3108,0.00077343,310.7623,0.2722,33.59357222682877,4.9349,53.7375,7.3306,0.7019,3.5519,0.2377,inf,inf,69.9591,0.6784,0.9779
"SCRIPT_PHYSICS_MLP-run_3-hs_(7, True)-ac_('elu', 'elu')--ep_1000-ps_50-RT_3-g_0.2-alp_0.4-c_0.4-mv_0.3-wmm_(1.0, 0.2)-nc_2",305.5234,0.3055,0.000808,305.5311,0.2833,33.3638329615312,5.047,53.7492,7.3314,0.7266,3.7952,0.2375,inf,inf,71.4841,0.6956,1.0001
"SCRIPT_PHYSICS_MLP-run_4-hs_(7, True)-ac_('elu', 'elu')--ep_1000-ps_50-RT_3-g_0.2-alp_0.4-c_0.4-mv_0.3-wmm_(1.0, 0.2)-nc_2",398.7629,0.3988,0.00114155,398.7697,0.2732,33.232649366182194,5.195,55.3215,7.4378,0.7593,4.0293,0.2152,inf,inf,72.3608,0.7054,1.0294
"SCRIPT_PHYSICS_MLP-run_5-hs_(7, True)-ac_('elu', 'elu')--ep_1000-ps_50-RT_3-g_0.2-alp_0.4-c_0.4-mv_0.3-wmm_(1.0, 0.2)-nc_2",450.7506,0.4508,0.00131941,450.7641,0.2665,33.25974489825685,5.0909,54.9237,7.4111,0.7303,3.8447,0.2209,inf,inf,71.2966,0.6941,1.0088
"SCRIPT_PHYSICS_MLP-run_6-hs_(7, True)-ac_('elu', 'elu')--ep_1000-ps_50-RT_3-g_0.2-alp_0.4-c_0.4-mv_0.3-wmm_(1.0, 0.2)-nc_2",510.5121,0.5105,0.00125694,510.5257,0.2703,33.43929501150622,5.2164,55.4125,7.444,0.7691,4.2545,0.2139,inf,inf,72.7094,0.7081,1.0337
"SCRIPT_PHYSICS_MLP-run_7-hs_(7, True)-ac_('elu', 'elu')--ep_1000-ps_50-RT_3-g_0.2-alp_0.4-c_0.4-mv_0.3-wmm_(1.0, 0.2)-nc_2",518.227,0.5182,0.00096488,518.2402,0.2754,32.83229988562831,5.4612,57.2108,7.5638,0.8133,4.4332,0.1884,inf,inf,74.6878,0.7316,1.0822
"SCRIPT_PHYSICS_MLP-run_8-hs_(7, True)-ac_('elu', 'elu')--ep_1000-ps_50-RT_3-g_0.2-alp_0.4-c_0.4-mv_0.3-wmm_(1.0, 0.2)-nc_2",470.5568,0.4706,0.00120306,470.5687,0.2627,33.50488682671622,5.1763,55.5948,7.4562,0.7495,4.065,0.2113,inf,inf,72.3082,0.7044,1.0257
"SCRIPT_PHYSICS_MLP-run_9-hs_(7, True)-ac_('elu', 'elu')--ep_1000-ps_50-RT_3-g_0.2-alp_0.4-c_0.4-mv_0.3-wmm_(1.0, 0.2)-nc_2",474.3422,0.4743,0.00117326,474.3541,0.282,33.14318398835384,5.1141,54.5582,7.3864,0.7472,4.019,0.226,inf,inf,71.6063,0.699,1.0134
