model_name,total_time_train,time_epoch,time_predict,time_system,EVS,ME,MAE,MSE,RMSE,MSLE,MedAE,R2,MRE,MAPE,SMAPE,MAAPE,MASE
WoaMlp-run_0-hs_7True-ac_eluelu-epoch_1000-pop_size_50,49.4005,0.0494,0.00039673,49.4078,0.2687,33.78448456515366,5.1808,55.1831,7.4285,0.7648,4.0953,0.2172,inf,inf,72.9396,0.7074,1.0266
WoaMlp-run_1-hs_7True-ac_eluelu-epoch_1000-pop_size_50,49.2731,0.0493,0.00025296,49.2802,0.2858,33.34453858184637,4.8747,53.0373,7.2827,0.6845,3.7042,0.2476,inf,inf,69.7799,0.6756,0.966
WoaMlp-run_2-hs_7True-ac_eluelu-epoch_1000-pop_size_50,46.5931,0.0466,0.00045896,46.6002,0.1639,33.668842291911766,5.754,63.9704,7.9982,0.8603,4.813,0.0925,inf,inf,76.7448,0.7392,1.1402
WoaMlp-run_3-hs_7True-ac_eluelu-epoch_1000-pop_size_50,46.7508,0.0468,0.0002377,46.7572,0.2548,33.605350093054284,5.3196,56.4434,7.5129,0.7865,4.4679,0.1993,inf,inf,73.9401,0.7193,1.0541
WoaMlp-run_4-hs_7True-ac_eluelu-epoch_1000-pop_size_50,47.6009,0.0476,0.00025749,47.6076,0.239,33.95399800104915,5.0853,56.5515,7.5201,0.7263,3.8764,0.1978,inf,inf,71.3991,0.6892,1.0077
WoaMlp-run_5-hs_7True-ac_eluelu-epoch_1000-pop_size_50,51.2607,0.0513,0.00033021,51.2839,0.2539,33.27536427564581,5.2176,56.4625,7.5142,0.7815,4.3005,0.199,inf,inf,72.0786,0.7013,1.0339
WoaMlp-run_6-hs_7True-ac_eluelu-epoch_1000-pop_size_50,43.2199,0.0432,0.00023746,43.2311,0.2697,33.55730869964267,5.2371,55.6832,7.4621,0.7698,4.3073,0.2101,inf,inf,73.0156,0.7112,1.0378
WoaMlp-run_7-hs_7True-ac_eluelu-epoch_1000-pop_size_50,41.238,0.0412,0.00030589,41.2447,0.2781,33.42578663306436,5.1381,54.7341,7.3983,0.7475,3.8619,0.2236,inf,inf,72.2014,0.704,1.0182
WoaMlp-run_8-hs_7True-ac_eluelu-epoch_1000-pop_size_50,40.9833,0.041,0.00065875,40.9905,0.291,33.2142836247214,5.1216,54.0188,7.3498,0.7487,3.9343,0.2337,inf,inf,71.9641,0.7031,1.0149
WoaMlp-run_9-hs_7True-ac_eluelu-epoch_1000-pop_size_50,34.4886,0.0345,0.00029778,34.4953,0.3028,33.18676050790617,4.9942,52.9506,7.2767,0.7458,4.0616,0.2489,inf,inf,70.7849,0.6898,0.9896
