model_name,total_time_train,time_epoch,time_predict,time_system,EVS,ME,MAE,MSE,RMSE,MSLE,MedAE,R2,MRE,MAPE,SMAPE,MAAPE,MASE
"MLP-run_0-hs_(20, True)-ep_1000-bs_32-lr_0.1-ac_('elu', 'elu')-op_SGD-lo_mse",14.2379,0.0142,0.01595783,14.2558,0.2842,33.537965143646154,5.0389,53.6348,7.3236,0.7278,3.8296,0.2391,inf,inf,71.473,0.6956,0.9985
"MLP-run_1-hs_(20, True)-ep_1000-bs_32-lr_0.1-ac_('elu', 'elu')-op_SGD-lo_mse",14.1221,0.0141,0.01492929,14.14,0.2682,33.00511947493092,5.2691,56.3497,7.5066,0.7695,4.1603,0.2006,inf,inf,73.0784,0.7128,1.0441
"MLP-run_2-hs_(20, True)-ep_1000-bs_32-lr_0.1-ac_('elu', 'elu')-op_SGD-lo_mse",14.1582,0.0142,0.0169239,14.1772,0.291,31.041932238945876,6.6645,68.8786,8.2993,1.0388,6.2759,0.0229,inf,inf,83.5143,0.825,1.3206
"MLP-run_3-hs_(20, True)-ep_1000-bs_32-lr_0.1-ac_('elu', 'elu')-op_SGD-lo_mse",14.0972,0.0141,0.01595759,14.1152,0.2666,33.806184368535334,5.0671,54.3889,7.3749,0.7287,3.8919,0.2285,inf,inf,71.5803,0.6952,1.0041
"MLP-run_4-hs_(20, True)-ep_1000-bs_32-lr_0.1-ac_('elu', 'elu')-op_SGD-lo_mse",14.7799,0.0148,0.01595759,14.7978,0.2688,32.54705614451713,5.6706,59.838,7.7355,0.8501,4.7285,0.1512,inf,inf,76.1509,0.7476,1.1237
"MLP-run_5-hs_(20, True)-ep_1000-bs_32-lr_0.1-ac_('elu', 'elu')-op_SGD-lo_mse",14.1028,0.0141,0.01695418,14.1217,0.2783,33.56015062618092,4.8983,53.1167,7.2881,0.6826,3.4716,0.2465,inf,inf,70.1969,0.679,0.9706
"MLP-run_6-hs_(20, True)-ep_1000-bs_32-lr_0.1-ac_('elu', 'elu')-op_SGD-lo_mse",14.3154,0.0143,0.01595783,14.3333,0.2635,33.11355469804804,5.1906,56.2696,7.5013,0.7439,3.8659,0.2018,inf,inf,72.2832,0.7048,1.0286
"MLP-run_7-hs_(20, True)-ep_1000-bs_32-lr_0.1-ac_('elu', 'elu')-op_SGD-lo_mse",14.2039,0.0142,0.0149622,14.2209,0.2748,35.35273190586964,4.4073,51.1219,7.15,0.5775,3.0445,0.2748,inf,inf,66.1504,0.6179,0.8733
"MLP-run_8-hs_(20, True)-ep_1000-bs_32-lr_0.1-ac_('elu', 'elu')-op_SGD-lo_mse",14.2395,0.0142,0.01595712,14.2585,0.2725,30.415424488580513,6.9529,72.9011,8.5382,1.0586,6.3891,-0.0342,inf,inf,85.1628,0.8433,1.3778
"MLP-run_9-hs_(20, True)-ep_1000-bs_32-lr_0.1-ac_('elu', 'elu')-op_SGD-lo_mse",14.2315,0.0142,0.01695418,14.2504,0.275,33.61567182018658,5.1123,54.4141,7.3766,0.7397,3.9445,0.2281,inf,inf,72.1369,0.7015,1.013
