model_name,total_time_train,time_epoch,time_predict,time_system,EVS,ME,MAE,MSE,RMSE,MSLE,MedAE,R2,MRE,MAPE,SMAPE,MAAPE,MASE
"LSTM-1HL-Lstm1HL-run_0-hs_(20, True)-ep_1000-bs_32-lr_0.1-ac_('elu', 'elu')-op_SGD-lo_mse-dr_(0.2,)",45.9074,0.0459,0.29476619,46.209,0.2421,35.10698917005907,4.4786,53.4467,7.3107,0.6154,2.9675,0.2418,inf,inf,65.5624,0.6139,0.8875
"LSTM-1HL-Lstm1HL-run_1-hs_(20, True)-ep_1000-bs_32-lr_0.1-ac_('elu', 'elu')-op_SGD-lo_mse-dr_(0.2,)",45.5205,0.0455,0.26202536,45.7888,0.2383,32.406787025716696,5.7733,61.6085,7.8491,0.8854,4.9727,0.126,inf,inf,76.1958,0.7448,1.144
"LSTM-1HL-Lstm1HL-run_2-hs_(20, True)-ep_1000-bs_32-lr_0.1-ac_('elu', 'elu')-op_SGD-lo_mse-dr_(0.2,)",45.6258,0.0456,0.28562403,45.9181,0.2459,32.183094180835994,5.9419,62.7475,7.9213,0.9183,5.2208,0.1099,inf,inf,77.6799,0.7611,1.1774
"LSTM-1HL-Lstm1HL-run_3-hs_(20, True)-ep_1000-bs_32-lr_0.1-ac_('elu', 'elu')-op_SGD-lo_mse-dr_(0.2,)",46.9893,0.047,0.28607774,47.2824,0.2415,32.11439205555419,5.9992,63.3036,7.9564,0.9282,5.3361,0.102,inf,inf,78.0446,0.7647,1.1888
"LSTM-1HL-Lstm1HL-run_4-hs_(20, True)-ep_1000-bs_32-lr_0.1-ac_('elu', 'elu')-op_SGD-lo_mse-dr_(0.2,)",49.2922,0.0493,0.28088117,49.5792,0.2416,32.64791568229392,5.6323,60.2378,7.7613,0.865,4.9309,0.1455,inf,inf,75.2028,0.7338,1.1161
"LSTM-1HL-Lstm1HL-run_5-hs_(20, True)-ep_1000-bs_32-lr_0.1-ac_('elu', 'elu')-op_SGD-lo_mse-dr_(0.2,)",46.2918,0.0463,0.27605605,46.575,0.2335,34.40173282871565,4.7303,54.718,7.3972,0.6773,3.2492,0.2238,inf,inf,67.4764,0.6422,0.9373
"LSTM-1HL-Lstm1HL-run_6-hs_(20, True)-ep_1000-bs_32-lr_0.1-ac_('elu', 'elu')-op_SGD-lo_mse-dr_(0.2,)",47.3669,0.0474,0.31258988,47.6854,0.2361,33.736773360827925,5.013,56.1094,7.4906,0.7435,3.8433,0.204,inf,inf,69.943,0.674,0.9934
"LSTM-1HL-Lstm1HL-run_7-hs_(20, True)-ep_1000-bs_32-lr_0.1-ac_('elu', 'elu')-op_SGD-lo_mse-dr_(0.2,)",46.2352,0.0462,0.26740766,46.5091,0.2413,33.24739867781637,5.2546,57.4968,7.5827,0.7951,4.3359,0.1844,inf,inf,72.0062,0.6983,1.0412
"LSTM-1HL-Lstm1HL-run_8-hs_(20, True)-ep_1000-bs_32-lr_0.1-ac_('elu', 'elu')-op_SGD-lo_mse-dr_(0.2,)",47.6841,0.0477,0.30691314,47.9972,0.2426,33.029824106756685,5.3965,58.4148,7.643,0.8246,4.5491,0.1713,inf,inf,73.286,0.7127,1.0694
"LSTM-1HL-Lstm1HL-run_9-hs_(20, True)-ep_1000-bs_32-lr_0.1-ac_('elu', 'elu')-op_SGD-lo_mse-dr_(0.2,)",47.0184,0.047,0.26489592,47.2903,0.2411,33.23914979205172,5.2524,57.5014,7.583,0.7955,4.3138,0.1843,inf,inf,72.0097,0.6984,1.0408
