model_name,total_time_train,time_epoch,time_predict,time_system,EVS,ME,MAE,MSE,RMSE,MSLE,MedAE,R2,MRE,MAPE,SMAPE,MAAPE,MASE
"GRU-1HL-Gru1HL-run_0-hs_(20, True)-ep_1000-bs_32-lr_0.1-ac_('elu', 'elu')-op_SGD-lo_mse-dr_(0.2,)",59.5171,0.0595,0.35001183,59.8737,0.2422,34.19936513367197,4.8038,54.605,7.3895,0.6984,3.3393,0.2254,inf,inf,68.5299,0.6569,0.9519
"GRU-1HL-Gru1HL-run_1-hs_(20, True)-ep_1000-bs_32-lr_0.1-ac_('elu', 'elu')-op_SGD-lo_mse-dr_(0.2,)",59.2277,0.0592,0.3555057,59.5903,0.2419,32.17747149036621,5.962,63.1323,7.9456,0.9254,5.1769,0.1044,inf,inf,77.9057,0.7634,1.1814
"GRU-1HL-Gru1HL-run_2-hs_(20, True)-ep_1000-bs_32-lr_0.1-ac_('elu', 'elu')-op_SGD-lo_mse-dr_(0.2,)",59.4028,0.0594,0.33586478,59.7459,0.2404,34.277653030366714,4.7843,54.6158,7.3902,0.6956,3.2856,0.2252,inf,inf,68.4518,0.6557,0.948
"GRU-1HL-Gru1HL-run_3-hs_(20, True)-ep_1000-bs_32-lr_0.1-ac_('elu', 'elu')-op_SGD-lo_mse-dr_(0.2,)",61.4456,0.0614,0.35468769,61.8076,0.2416,34.339583504737234,4.7477,54.3706,7.3736,0.6841,3.1978,0.2287,inf,inf,68.0474,0.6508,0.9408
"GRU-1HL-Gru1HL-run_4-hs_(20, True)-ep_1000-bs_32-lr_0.1-ac_('elu', 'elu')-op_SGD-lo_mse-dr_(0.2,)",60.874,0.0609,0.32739758,61.2078,0.2426,34.75727463302595,4.5805,53.6692,7.3259,0.6435,3.0934,0.2387,inf,inf,66.5618,0.6307,0.9077
"GRU-1HL-Gru1HL-run_5-hs_(20, True)-ep_1000-bs_32-lr_0.1-ac_('elu', 'elu')-op_SGD-lo_mse-dr_(0.2,)",60.2508,0.0603,0.39710593,60.6546,0.2425,30.56824177783423,7.1636,75.6438,8.6973,1.1234,6.7916,-0.0731,inf,inf,86.1117,0.8502,1.4195
"GRU-1HL-Gru1HL-run_6-hs_(20, True)-ep_1000-bs_32-lr_0.1-ac_('elu', 'elu')-op_SGD-lo_mse-dr_(0.2,)",60.2845,0.0603,0.34574151,60.6368,0.2418,32.42306198297128,5.7857,61.6039,7.8488,0.8938,4.9342,0.1261,inf,inf,76.5419,0.7487,1.1465
"GRU-1HL-Gru1HL-run_7-hs_(20, True)-ep_1000-bs_32-lr_0.1-ac_('elu', 'elu')-op_SGD-lo_mse-dr_(0.2,)",59.2735,0.0593,0.3539443,59.6338,0.241,33.84070551538238,4.9686,55.594,7.4561,0.7366,3.6844,0.2114,inf,inf,69.9158,0.674,0.9846
"GRU-1HL-Gru1HL-run_8-hs_(20, True)-ep_1000-bs_32-lr_0.1-ac_('elu', 'elu')-op_SGD-lo_mse-dr_(0.2,)",68.8069,0.0688,0.3214252,69.1389,0.2412,34.766889742973284,4.5768,53.7369,7.3305,0.6438,3.109,0.2377,inf,inf,66.4853,0.6296,0.9069
"GRU-1HL-Gru1HL-run_9-hs_(20, True)-ep_1000-bs_32-lr_0.1-ac_('elu', 'elu')-op_SGD-lo_mse-dr_(0.2,)",79.8965,0.0799,0.47775817,80.3854,0.2416,32.52506493065604,5.7136,61.0291,7.8121,0.8809,4.8371,0.1343,inf,inf,75.9816,0.7427,1.1322
