model_name,total_time_train,time_epoch,time_predict,time_system,EVS,ME,MAE,MSE,RMSE,MSLE,MedAE,R2,MRE,MAPE,SMAPE,MAAPE,MASE
WoaLstm-run_0-hs_[7]True-ac_eluelu-epoch_1000-pop_size_50,483.1315,0.4831,0.00312138,483.2316,0.2644,33.46368393922948,5.1607,55.9211,7.478,0.7809,4.1041,0.2067,inf,inf,71.8986,0.6976,1.0226
WoaLstm-run_1-hs_[7]True-ac_eluelu-epoch_1000-pop_size_50,488.8331,0.4888,0.0030427,488.9312,0.2399,33.4147345769279,5.2006,57.2992,7.5696,0.7862,4.0674,0.1872,inf,inf,71.8004,0.6957,1.0305
WoaLstm-run_2-hs_[7]True-ac_eluelu-epoch_1000-pop_size_50,484.4879,0.4845,0.00332856,484.7481,0.2177,33.46186812183055,5.3528,59.3453,7.7036,0.8146,4.5287,0.1581,inf,inf,73.3407,0.7109,1.0607
WoaLstm-run_3-hs_[7]True-ac_eluelu-epoch_1000-pop_size_50,485.14,0.4851,0.00319505,485.235,0.2037,32.50698446413624,5.8548,63.3338,7.9583,0.9293,4.9797,0.1016,inf,inf,77.0581,0.7521,1.1602
WoaLstm-run_4-hs_[7]True-ac_eluelu-epoch_1000-pop_size_50,499.6401,0.4996,0.00304389,499.7472,0.2346,33.579087460731664,5.1435,57.391,7.5757,0.7701,3.9513,0.1859,inf,inf,71.4681,0.6909,1.0192
WoaLstm-run_5-hs_[7]True-ac_eluelu-epoch_1000-pop_size_50,483.3107,0.4833,0.00304127,483.5213,0.2072,33.584528569461554,4.9888,57.9152,7.6102,0.7032,3.5131,0.1784,inf,inf,69.9429,0.6673,0.9886
WoaLstm-run_6-hs_[7]True-ac_eluelu-epoch_1000-pop_size_50,487.5453,0.4875,0.00302696,487.6414,0.2497,33.470812410153655,5.145,56.7623,7.5341,0.7762,4.0637,0.1948,inf,inf,71.6584,0.6943,1.0195
WoaLstm-run_7-hs_[7]True-ac_eluelu-epoch_1000-pop_size_50,479.7661,0.4798,0.00302744,479.8652,0.2445,33.6692186101209,5.1595,56.9,7.5432,0.7783,4.0419,0.1928,inf,inf,71.8382,0.6951,1.0224
WoaLstm-run_8-hs_[7]True-ac_eluelu-epoch_1000-pop_size_50,485.2649,0.4853,0.0030551,485.361,0.2092,33.127591997355125,5.4733,60.5723,7.7828,0.8303,4.611,0.1407,inf,inf,74.0777,0.7195,1.0846
WoaLstm-run_9-hs_[7]True-ac_eluelu-epoch_1000-pop_size_50,483.0861,0.4831,0.00296712,483.1835,0.2363,33.361684956211526,4.9357,56.005,7.4836,0.6986,3.4299,0.2055,inf,inf,69.6076,0.6625,0.9781
