model_name,total_time_train,time_epoch,time_predict,time_system,EVS,ME,MAE,MSE,RMSE,MSLE,MedAE,R2,MRE,MAPE,SMAPE,MAAPE,MASE
FpaMlp-run_0-hs_7True-ac_eluelu-epoch_1000-p_0.8-pop_size_50,46.2754,0.0463,0.00038528,46.2868,0.279,33.21095490446352,5.2548,55.2687,7.4343,0.7621,4.2809,0.216,inf,inf,72.9585,0.7155,1.0413
FpaMlp-run_1-hs_7True-ac_eluelu-epoch_1000-p_0.8-pop_size_50,48.2401,0.0482,0.00024629,48.2474,0.2746,33.55114027480043,5.057,54.5801,7.3878,0.7195,3.7697,0.2257,inf,inf,71.8323,0.7001,1.0021
FpaMlp-run_2-hs_7True-ac_eluelu-epoch_1000-p_0.8-pop_size_50,48.5145,0.0485,0.00037265,48.5219,0.2735,33.5893137528067,5.178,55.096,7.4227,0.7625,4.148,0.2184,inf,inf,72.5684,0.7063,1.0261
FpaMlp-run_3-hs_7True-ac_eluelu-epoch_1000-p_0.8-pop_size_50,48.0168,0.048,0.0002439,48.0434,0.2816,32.70888867945235,5.5023,56.793,7.5361,0.8303,4.6628,0.1943,inf,inf,74.9252,0.7343,1.0903
FpaMlp-run_4-hs_7True-ac_eluelu-epoch_1000-p_0.8-pop_size_50,47.9645,0.048,0.00023723,47.9707,0.2411,33.534433654187595,5.1447,56.0145,7.4843,0.7283,3.9715,0.2054,inf,inf,71.7257,0.6923,1.0195
FpaMlp-run_5-hs_7True-ac_eluelu-epoch_1000-p_0.8-pop_size_50,46.1008,0.0461,0.00047588,46.1078,0.241,34.15757189359129,4.96,55.5332,7.4521,0.7102,3.6132,0.2122,inf,inf,70.1594,0.6737,0.9829
FpaMlp-run_6-hs_7True-ac_eluelu-epoch_1000-p_0.8-pop_size_50,43.2552,0.0433,0.00039268,43.2782,0.2689,33.5538217417641,5.0804,54.5763,7.3876,0.7538,4.0829,0.2258,inf,inf,71.5555,0.6955,1.0067
FpaMlp-run_7-hs_7True-ac_eluelu-epoch_1000-p_0.8-pop_size_50,41.9883,0.042,0.000314,41.9952,0.2345,33.75980755046776,5.0916,56.9464,7.5463,0.7134,3.7971,0.1922,inf,inf,71.5507,0.694,1.0089
FpaMlp-run_8-hs_7True-ac_eluelu-epoch_1000-p_0.8-pop_size_50,43.5838,0.0436,0.00024438,43.5909,0.2752,33.219846713401154,5.281,55.7993,7.4699,0.776,4.2426,0.2084,inf,inf,73.3157,0.7164,1.0465
FpaMlp-run_9-hs_7True-ac_eluelu-epoch_1000-p_0.8-pop_size_50,35.8377,0.0358,0.00029373,35.8447,0.2779,33.22795931903135,5.1943,54.9798,7.4148,0.7453,4.1107,0.2201,inf,inf,72.4829,0.7097,1.0293
