,EVS,MAE,MSE,RMSE,MSLE,R2,MRE,MAPE,SMAPE,MAAPE,MASE,NSE,Willmott_Index,R,Confidence
MLP,0.018,0.0757,0.659,0.1414,0.0053,0.0202,0.0214,2.1366,0.9218,0.0157,0.0267,0.0202,0.0037,0.0055,0.0083
RNN,0.0154,0.1049,0.5061,0.1131,0.0108,0.0155,0.0215,2.146,2.7724,0.02,0.0369,0.0155,0.0039,0.0055,0.0088
LSTM,0.0324,0.11,1.1211,0.2215,0.0099,0.0344,0.0238,2.3782,1.4846,0.0159,0.0387,0.0344,0.0095,0.0137,0.0215
GA-MLP,0.0119,0.173,0.3601,0.0658,0.0305,0.0111,0.0527,5.2715,5.2834,0.0413,0.0609,0.0111,0.0032,0.0046,0.0069
DE-MLP,0.0813,0.2732,2.1239,0.292,0.113,0.0652,0.06,5.9964,12.2073,0.0445,0.0962,0.0652,0.0173,0.0103,0.0157
FPA-MLP,0.0133,0.1201,0.3763,0.0717,0.0464,0.0116,0.0399,3.9908,6.2102,0.032,0.0423,0.0116,0.003,0.004,0.006
PSO-MLP,0.0116,0.0872,0.4069,0.0821,0.0104,0.0125,0.0201,2.0155,2.1986,0.0172,0.0307,0.0125,0.0034,0.0053,0.008
WOA-MLP,0.0183,0.1488,0.6112,0.116,0.023,0.0188,0.0403,4.0335,4.0718,0.0323,0.0524,0.0188,0.0071,0.0119,0.0174
GWO-MLP,0.0142,0.1497,0.9519,0.1665,0.0563,0.0292,0.0353,3.533,7.4213,0.0294,0.0527,0.0292,0.0085,0.008,0.0144
SSA-MLP,0.0266,0.206,1.1001,0.2033,0.0464,0.0338,0.0454,4.5359,6.9538,0.0385,0.0725,0.0338,0.0085,0.0125,0.0191
WDO-MLP,0.0153,0.1701,0.4939,0.0937,0.0301,0.0152,0.0473,4.7257,5.6329,0.0405,0.0599,0.0152,0.0034,0.0065,0.0091
MVO-MLP,0.0314,0.1888,1.0393,0.2032,0.0516,0.0319,0.0485,4.8543,6.8431,0.0373,0.0665,0.0319,0.0058,0.0089,0.0136
EO-MLP,0.0205,0.0828,0.6315,0.1256,0.0081,0.0194,0.0213,2.1309,1.9343,0.0186,0.0292,0.0194,0.0035,0.005,0.0076
NRO-MLP,0.0134,0.1152,0.4683,0.0967,0.0304,0.0144,0.0331,3.3066,4.2739,0.0269,0.0406,0.0144,0.003,0.0046,0.0071
HGSO-MLP,0.0179,0.0977,0.6538,0.1235,0.0173,0.0201,0.033,3.3046,3.5342,0.0281,0.0344,0.0201,0.0076,0.0109,0.0169
