,EVS,MAE,MSE,RMSE,MSLE,R2,MRE,MAPE,SMAPE,MAAPE,MASE,NSE,Willmott_Index,R,Confidence
MLP,0.846,1.475,5.125,2.26,0.055,0.843,0.232,23.172,21.654,0.215,0.519,0.843,0.96,0.933,0.896
RNN,0.844,1.497,5.092,2.254,0.059,0.844,0.234,23.383,23.496,0.22,0.527,0.844,0.961,0.933,0.897
LSTM,0.815,1.471,6.102,2.461,0.054,0.813,0.214,21.404,20.098,0.197,0.518,0.813,0.952,0.917,0.873
GA-MLP,0.773,1.854,7.463,2.731,0.096,0.771,0.297,29.745,30.136,0.275,0.653,0.771,0.937,0.891,0.835
DE-MLP,0.688,2.783,12.631,3.543,0.396,0.612,0.493,49.263,65.834,0.43,0.98,0.612,0.908,0.885,0.804
FPA-MLP,0.796,1.858,6.912,2.628,0.124,0.788,0.303,30.319,33.718,0.28,0.654,0.788,0.946,0.909,0.86
PSO-MLP,0.813,1.642,6.173,2.483,0.065,0.811,0.251,25.07,24.567,0.236,0.578,0.811,0.95,0.912,0.866
WOA-MLP,0.795,1.718,6.739,2.594,0.077,0.793,0.267,26.696,26.648,0.249,0.605,0.793,0.945,0.902,0.852
GWO-MLP,0.777,1.867,7.611,2.754,0.104,0.766,0.293,29.257,30.742,0.272,0.657,0.766,0.938,0.896,0.84
SSA-MLP,0.798,1.775,6.956,2.63,0.093,0.787,0.276,27.569,29.035,0.258,0.625,0.787,0.943,0.905,0.853
WDO-MLP,0.788,1.752,6.99,2.642,0.083,0.786,0.275,27.464,27.567,0.256,0.617,0.786,0.941,0.897,0.844
MVO-MLP,0.8,1.814,6.614,2.565,0.117,0.797,0.3,29.971,31.756,0.273,0.639,0.797,0.951,0.917,0.872
EO-MLP,0.82,1.563,5.943,2.435,0.055,0.818,0.223,22.25,21.927,0.211,0.55,0.818,0.955,0.923,0.882
NRO-MLP,0.824,1.588,5.778,2.402,0.067,0.823,0.238,23.842,24.127,0.225,0.559,0.823,0.956,0.922,0.881
HGSO-MLP,0.78,1.73,7.266,2.693,0.077,0.777,0.26,26.047,26.529,0.244,0.609,0.777,0.938,0.892,0.838
