model_name,total_time_train,time_epoch,time_predict,time_system,EVS,ME,MAE,MSE,RMSE,MSLE,MedAE,R2,MRE,MAPE,SMAPE,MAAPE,MASE,NSE,Willmott_Index,R,Confidence
"RNN-1HL-Rnn1HL-run_0-hs_(20, False)-ep_2000-bs_32-lr_0.15-ac_('elu', 'elu')-op_SGD-lo_mse-dr_(0.2,)",899.0499,0.4495,0.42029119,899.484,0.8128,11.039887314117419,1.6281,6.1078,2.4714,0.0639,1.0619,0.8126,0.2542,25.4179,25.5083,0.2395,0.5732,0.8126,0.9576,0.9309,0.8914
"RNN-1HL-Rnn1HL-run_1-hs_(20, False)-ep_2000-bs_32-lr_0.15-ac_('elu', 'elu')-op_SGD-lo_mse-dr_(0.2,)",921.5205,0.4608,0.40582609,921.9389,0.834,15.202377003120098,1.4889,5.4126,2.3265,0.0516,0.8732,0.8339,0.2279,22.7929,22.2686,0.2163,0.5242,0.8339,0.9548,0.9194,0.8778
"RNN-1HL-Rnn1HL-run_2-hs_(20, False)-ep_2000-bs_32-lr_0.15-ac_('elu', 'elu')-op_SGD-lo_mse-dr_(0.2,)",925.8051,0.4629,0.42074513,926.2384,0.8433,12.877908905691733,1.4263,5.137,2.2665,0.0502,0.8055,0.8424,0.2144,21.4381,21.697,0.2044,0.5022,0.8424,0.9596,0.9266,0.8892
"RNN-1HL-Rnn1HL-run_3-hs_(20, False)-ep_2000-bs_32-lr_0.15-ac_('elu', 'elu')-op_SGD-lo_mse-dr_(0.2,)",1164.9756,0.5825,0.44053292,1165.4284,0.8707,9.190334409818295,1.3447,4.2511,2.0618,0.0422,0.8147,0.8695,0.1972,19.724,19.7645,0.189,0.4735,0.8695,0.9658,0.9386,0.9065
"RNN-1HL-Rnn1HL-run_4-hs_(20, False)-ep_2000-bs_32-lr_0.15-ac_('elu', 'elu')-op_SGD-lo_mse-dr_(0.2,)",929.1456,0.4646,0.41219115,929.5701,0.8218,11.402188812371577,1.7211,6.0919,2.4682,0.0822,1.0463,0.8131,0.3093,30.9306,25.0121,0.265,0.606,0.8131,0.9488,0.921,0.8738
"RNN-1HL-Rnn1HL-run_5-hs_(20, False)-ep_2000-bs_32-lr_0.15-ac_('elu', 'elu')-op_SGD-lo_mse-dr_(0.2,)",1704.3291,0.8522,0.42396712,1704.7652,0.8354,12.511352633250446,1.4961,5.3649,2.3162,0.0564,0.8309,0.8354,0.235,23.502,21.8347,0.2165,0.5268,0.8354,0.9573,0.9227,0.8833
"RNN-1HL-Rnn1HL-run_6-hs_(20, False)-ep_2000-bs_32-lr_0.15-ac_('elu', 'elu')-op_SGD-lo_mse-dr_(0.2,)",920.2073,0.4601,0.41494918,920.6338,0.8582,10.110964051577842,1.4031,4.6661,2.1601,0.0479,0.8512,0.8568,0.2129,21.2896,20.0434,0.1999,0.494,0.8568,0.9643,0.9376,0.9041
"RNN-1HL-Rnn1HL-run_7-hs_(20, False)-ep_2000-bs_32-lr_0.15-ac_('elu', 'elu')-op_SGD-lo_mse-dr_(0.2,)",920.9115,0.4605,0.42271876,921.3461,0.8379,11.74767647351591,1.5102,5.2918,2.3004,0.0579,0.8545,0.8376,0.2424,24.2441,22.7485,0.2233,0.5317,0.8376,0.959,0.9263,0.8883
"RNN-1HL-Rnn1HL-run_8-hs_(20, False)-ep_2000-bs_32-lr_0.15-ac_('elu', 'elu')-op_SGD-lo_mse-dr_(0.2,)",926.3865,0.4632,0.40587187,926.8038,0.8149,10.66313672845929,1.5573,6.1951,2.489,0.0616,0.8267,0.8099,0.2533,25.3317,22.0274,0.2254,0.5483,0.8099,0.9531,0.9174,0.8744
"RNN-1HL-Rnn1HL-run_9-hs_(20, False)-ep_2000-bs_32-lr_0.15-ac_('elu', 'elu')-op_SGD-lo_mse-dr_(0.2,)",920.5778,0.4603,0.40907574,920.9983,0.8338,11.757359297699349,1.4862,5.4146,2.3269,0.0581,0.8705,0.8338,0.234,23.3995,22.722,0.2167,0.5233,0.8338,0.9592,0.9306,0.8926
