,EVS,ME,MAE,MSE,RMSE,MSLE,MedAE,R2,SMAPE,MAAPE,MASE
MLP,1.2615111111111153e-05,6.417275345234758,0.951488598777778,74.1713772862222,0.108534941,0.13572768322222226,2.076554909,0.001516313888888889,6.606088375999996,0.00226152488888889,0.013919041777777783
RNN,2.766666666666649e-08,2.045944392655623,0.22209410266666663,4.440150943222235,0.006806420555555537,0.0415208337777778,0.5927741862222222,9.062766666666675e-05,1.0030163383333304,0.0010385382222222225,0.0032486698888888905
LSTM,3.1566666666666405e-07,3.974393945257399,0.22124459511111122,6.026347943222228,0.009222902666666697,0.039011027111111096,0.5712927537777777,0.0001228893333333332,1.2549027583333332,0.000819485444444444,0.0032377676666666667
GA-MLP,5.8807111111111205e-05,15.989214694383374,0.1287803115555556,4.496942877888908,0.0068727223333333535,0.02348882044444443,0.3324063543333335,9.169733333333336e-05,0.885872482666665,0.00041772488888888813,0.0018851898888888915
DE-MLP,0.00043564622222222227,100.46505543415725,0.2931364426666665,35.169105544000026,0.05179604399999998,0.045463413777777774,0.7524743023333333,0.0007187195555555557,2.344431463222225,0.0006493543333333333,0.004289845444444442
FPA-MLP,5.3263222222222145e-05,6.255430446442672,0.01627166622222218,2.686271682333333,0.0041465343333333465,0.003522176000000004,0.07562579155555554,5.49248888888889e-05,0.13661940666666658,5.243344444444445e-05,0.00023809166666666716
PSO-MLP,0.00011080900000000003,6.836596631706939,0.0029522805555555584,5.681104237333332,0.008684040999999997,0.0010593288888888876,0.004335740444444462,0.00011639788888888905,0.03887280266666618,9.181777777777725e-06,4.310099999999995e-05
WOA-MLP,0.00014893066666666667,47.61203407139979,0.01049184888888892,7.549926402222212,0.0114981982222222,0.004437883222222226,0.08142874666666676,0.00015436322222222215,0.17681177955555694,3.79427777777779e-05,0.0001532355555555554
WDO-MLP,6.443433333333337e-05,15.501223604874948,0.03879445599999995,2.914491271222221,0.004493553777777805,0.007883262333333332,0.16509465733333328,5.9620111111111165e-05,0.2877167271111125,9.989877777777786e-05,0.0005675498888888886
MVO-MLP,3.827733333333341e-05,10.9685271159214,0.0006941232222222149,1.8270657760000089,0.002819362333333358,0.0015775889999999988,0.02549386266666665,3.7240111111111064e-05,0.029859537777778205,1.663600000000015e-05,1.0111666666666694e-05
EO-MLP,0.00013525511111111107,15.963461742439096,0.004982130666666685,7.253970012888867,0.010992389333333347,0.0026340561111111113,0.0462273067777777,0.00014823555555555548,0.06359140044444439,2.6961777777777613e-05,7.289833333333362e-05
NRO-MLP,2.3309000000000007e-05,5.888103712595247,0.0031958728888888963,1.2804720262222284,0.0019912337777777977,0.0011143898888888893,0.015203020444444406,2.628899999999997e-05,0.029201530666666347,1.695599999999997e-05,4.680766666666671e-05
HGSO-MLP,5.257511111111105e-05,21.824588570901327,0.11634841833333343,6.10411527788888,0.009267066222222184,0.018355675666666668,0.2644438090000001,0.00012476677777777776,0.6609343084444416,0.00033588988888888906,0.0017032276666666668
