Epoch,MLP,MSE,LSTM,GA-MLP,DE-MLP,FPA-MLP,PSO-MLP,WOA-MLP,WDO-MLP,MVO-MLP,EO-MLP,NRO-MLP
1,0.0067002,0.006521463,0.006096699,0.006567073,0.008054168,0.005838385,0.00653167,0.010284582,0.005232898,0.007486374,0.008110785,0.007318869
2,0.006039284,0.006393047,0.005997598,0.006486591,0.008054168,0.005838385,0.005991489,0.006834428,0.005232898,0.007486374,0.008022032,0.006282943
3,0.005770493,0.006235333,0.005924628,0.006486591,0.008054168,0.005838385,0.005991489,0.005854771,0.005232898,0.007486374,0.007771846,0.006157833
4,0.005591258,0.00612271,0.005852512,0.006001376,0.008054168,0.005838385,0.005857677,0.005854771,0.005232898,0.007486374,0.0069641,0.006157833
5,0.005471743,0.006104572,0.00579103,0.005653674,0.008054168,0.005838385,0.005857677,0.005368055,0.005232898,0.007486374,0.005873327,0.006157833
6,0.00544247,0.00598252,0.00573258,0.005653674,0.008054168,0.005838385,0.005857677,0.005274164,0.005232898,0.007486374,0.005873327,0.006157833
7,0.005356722,0.005924601,0.005687319,0.005653674,0.008054168,0.005433777,0.005857677,0.005234357,0.005232898,0.007486374,0.005873327,0.005834174
8,0.005305228,0.005915406,0.005641044,0.005653674,0.008054168,0.005433777,0.005857677,0.005232194,0.005232898,0.006936939,0.005873327,0.005834174
9,0.00530034,0.005878602,0.005620222,0.005653674,0.008054168,0.005433777,0.005856342,0.005231167,0.005232898,0.005462438,0.005873327,0.005834174
10,0.005231908,0.005720826,0.005574171,0.005583029,0.008054168,0.005433777,0.005856342,0.005231167,0.005190908,0.005462438,0.005873327,0.005718224
11,0.005244057,0.005763729,0.005519453,0.005475964,0.008054168,0.005433777,0.005856342,0.005231167,0.005190908,0.005462438,0.005852933,0.00559433
12,0.005258861,0.005634734,0.005516176,0.005475964,0.008054168,0.005433777,0.005856342,0.005231167,0.005190908,0.005462438,0.005841527,0.00559433
13,0.005259014,0.005666568,0.005495944,0.005475964,0.008054168,0.005433777,0.005856342,0.005213333,0.005190908,0.005462438,0.005832674,0.00559433
14,0.005209815,0.005556493,0.005466915,0.005475964,0.008054168,0.005433777,0.005634018,0.00521071,0.005190908,0.005462438,0.005790127,0.00559433
15,0.005229503,0.005624836,0.0054307,0.005475964,0.007157713,0.005433777,0.005634018,0.005209798,0.005190908,0.005462438,0.005790127,0.00559433
16,0.005199317,0.005524944,0.005433939,0.005475964,0.007157713,0.005433777,0.005634018,0.005208667,0.005167945,0.005462438,0.005790127,0.00559433
17,0.005253652,0.005638604,0.005411317,0.005475964,0.007157713,0.005433777,0.005634018,0.005207594,0.005167945,0.005462438,0.005790127,0.00559433
18,0.005239663,0.005527517,0.005408926,0.005475964,0.006147629,0.005433777,0.005634018,0.005199979,0.005167945,0.005462438,0.005790127,0.00559433
19,0.005185303,0.005465185,0.005382162,0.005475964,0.006147629,0.005433777,0.005634018,0.00519997,0.005167945,0.005462438,0.005542281,0.00559433
20,0.005222604,0.005528687,0.005380389,0.005475964,0.006147629,0.005433777,0.005634018,0.005199947,0.005167945,0.005462438,0.005542281,0.00559433
21,0.005253574,0.005454741,0.005351576,0.005475964,0.006147629,0.005433777,0.005634018,0.005199418,0.005167945,0.005462438,0.005542281,0.00559433
22,0.005241022,0.005451432,0.005354098,0.005475964,0.006147629,0.005433777,0.005634018,0.005199418,0.005167945,0.005462438,0.005542281,0.00559433
23,0.00525427,0.005459268,0.005315089,0.005475964,0.006147629,0.005433777,0.005634018,0.005199418,0.005167945,0.005462438,0.005284779,0.005586243
24,0.00524294,0.005416539,0.005310175,0.005475964,0.006147629,0.005433777,0.005634018,0.005199202,0.005167945,0.005462438,0.005284779,0.005586243
25,0.005206856,0.005405706,0.005326213,0.005475964,0.006147629,0.005433777,0.005634018,0.005199202,0.005167945,0.005462438,0.005284779,0.005373979
26,0.00521081,0.005416729,0.005318895,0.005475964,0.006147629,0.005433777,0.005634018,0.005199202,0.005167945,0.005462438,0.005284779,0.005373979
27,0.005226755,0.00539361,0.005319381,0.005475964,0.006147629,0.005433777,0.005634018,0.005198507,0.005167945,0.005462438,0.005272922,0.005373979
28,0.005268784,0.005312055,0.005322189,0.005475964,0.006147629,0.005433777,0.005634018,0.005197435,0.005167945,0.005462438,0.005253092,0.005373979
29,0.005195061,0.005410639,0.005323192,0.005475964,0.006147629,0.005433777,0.005423013,0.005193929,0.005167945,0.005462438,0.005222584,0.005373979
30,0.005244065,0.005384937,0.005289294,0.005475964,0.006147629,0.005433777,0.005423013,0.005193929,0.005167945,0.005462438,0.005221111,0.005373979
31,0.005280785,0.005397495,0.005305676,0.005414458,0.006147629,0.005433777,0.005423013,0.00519186,0.005167945,0.005462438,0.005210742,0.005373979
32,0.005221096,0.005329414,0.005286401,0.005414458,0.006147629,0.005433777,0.005423013,0.005190491,0.005167945,0.005462438,0.005203761,0.005373979
33,0.005211158,0.005430123,0.005280259,0.005414458,0.006147629,0.005433777,0.005423013,0.005190491,0.005167945,0.005462438,0.005203161,0.005373979
34,0.005226651,0.0053795,0.005280798,0.005414458,0.006147629,0.005433777,0.005240578,0.005190456,0.005167945,0.005462438,0.005203161,0.005373979
35,0.005227637,0.005389385,0.005310707,0.005414458,0.006147629,0.005433777,0.005240578,0.005190456,0.005167945,0.005462438,0.005203161,0.005373979
36,0.005233871,0.005334987,0.005276513,0.005414458,0.006147629,0.005433777,0.005240578,0.005190456,0.005167945,0.005462438,0.005203161,0.005373979
37,0.00521478,0.005426783,0.005282098,0.005414458,0.006147629,0.005433777,0.005240578,0.005190456,0.005167945,0.005462438,0.005203161,0.005373979
38,0.005235491,0.005275641,0.005272012,0.005414458,0.005533132,0.005433777,0.005223675,0.005190456,0.005167945,0.005462438,0.005203161,0.005368107
39,0.005234524,0.005367591,0.005256267,0.005414458,0.005533132,0.005433777,0.005223675,0.005190456,0.005167945,0.005462438,0.005203161,0.005368107
40,0.005245801,0.005431739,0.005275598,0.005414458,0.005533132,0.005433777,0.005223675,0.005190341,0.005167945,0.005462438,0.005203161,0.005368107
41,0.005219598,0.005449754,0.005271174,0.005414458,0.005533132,0.005433777,0.005223675,0.005190277,0.005167945,0.005462438,0.005203161,0.005368107
42,0.005221988,0.00538876,0.005272318,0.005414458,0.005533132,0.005433777,0.005223675,0.005187652,0.005167945,0.005462438,0.005203161,0.005368107
43,0.005224409,0.005328138,0.00526943,0.005414458,0.005533132,0.005433777,0.005223675,0.005187652,0.005167945,0.005462438,0.005203161,0.005368107
44,0.00522278,0.005322594,0.00529593,0.005251104,0.005533132,0.005433777,0.005223675,0.005187652,0.005167945,0.005462438,0.005203161,0.00522822
45,0.005234255,0.005325029,0.005248017,0.005251104,0.005533132,0.005433777,0.005220752,0.005186492,0.005167945,0.005462438,0.005203161,0.00522822
46,0.005223824,0.005349482,0.005287444,0.005251104,0.005533132,0.005433777,0.005220752,0.005186094,0.005167945,0.005462438,0.005203161,0.00522822
47,0.005198087,0.005329433,0.005269624,0.005251104,0.005533132,0.005433777,0.005218959,0.005185008,0.005167945,0.005462438,0.005203161,0.00522822
48,0.005253431,0.005380264,0.005272406,0.005251104,0.005533132,0.005433777,0.005218959,0.005184402,0.005167945,0.005462438,0.005203161,0.005184814
49,0.005200787,0.005364832,0.005275965,0.005251104,0.005533132,0.005433777,0.005218959,0.005184284,0.005167945,0.005462438,0.005203161,0.005184814
50,0.005215413,0.00528142,0.005257248,0.005251104,0.005533132,0.005433777,0.005218959,0.005183899,0.005167945,0.005462438,0.005203161,0.005184814
51,0.005222779,0.005261516,0.00529955,0.005251104,0.005533132,0.005433777,0.00521817,0.005183659,0.005167945,0.005462438,0.005203161,0.005184814
52,0.005215632,0.00535141,0.005278006,0.005251104,0.005533132,0.005433777,0.00521817,0.005183659,0.005167945,0.005429284,0.005203161,0.005184814
53,0.005187135,0.005357806,0.005266687,0.005251104,0.005533132,0.005433777,0.00521817,0.005183471,0.005167945,0.005429284,0.005203161,0.005184814
54,0.005230537,0.005388431,0.005249663,0.005251104,0.005533132,0.005433777,0.005217796,0.005183471,0.005167945,0.005429284,0.005203161,0.005184814
55,0.005211319,0.005306491,0.00525926,0.005251104,0.005533132,0.005433777,0.005217796,0.00518309,0.005167945,0.005429284,0.00520316,0.005184814
56,0.005206412,0.005359479,0.005268885,0.005251104,0.005533132,0.005433777,0.005217796,0.005182877,0.005167945,0.005429284,0.005203159,0.005184814
57,0.005180753,0.005326721,0.00529153,0.005251104,0.005533132,0.005433777,0.005217796,0.005182803,0.005167945,0.005429284,0.005203159,0.005184814
58,0.005226132,0.005384199,0.005261624,0.005251104,0.005533132,0.005433777,0.005217796,0.005182583,0.005167945,0.005429284,0.005157221,0.005184814
59,0.005232346,0.005350047,0.005284362,0.005251104,0.005533132,0.005433777,0.005217796,0.00517805,0.005167945,0.005429284,0.005147224,0.005184814
