model_name,total_time_train,time_epoch,time_predict,time_system,EVS,ME,MAE,MSE,RMSE,MSLE,MedAE,R2,MRE,MAPE,SMAPE,MAAPE,MASE,NSE,Willmott_Index,R,Confidence
"MLP0-run_0-hs_(20, False)-ep_1000-bs_32-lr_0.1-ac_('elu', 'elu')-op_sgd-lo_mse",38.8062,0.0388,0.24151301,39.0745,0.8267,10.366335611343382,1.7059,6.2566,2.5013,0.0601,1.0996,0.808,0.2678,26.7782,23.6608,0.2515,0.6006,0.808,0.9507,0.9195,0.8742
"MLP0-run_1-hs_(20, False)-ep_1000-bs_32-lr_0.1-ac_('elu', 'elu')-op_sgd-lo_mse",38.8986,0.0389,0.04320836,38.9692,0.8326,11.640056376457213,1.4707,5.4721,2.3393,0.0511,0.7657,0.8321,0.2009,20.0928,20.4057,0.1926,0.5178,0.8321,0.9551,0.9198,0.8785
"MLP0-run_2-hs_(20, False)-ep_1000-bs_32-lr_0.1-ac_('elu', 'elu')-op_sgd-lo_mse",38.6069,0.0386,0.03802872,38.6715,0.8325,11.239806275367735,1.5058,5.4644,2.3376,0.0523,0.8054,0.8323,0.2122,21.2247,20.7071,0.2024,0.5302,0.8323,0.9557,0.9205,0.8797
"MLP0-run_3-hs_(20, False)-ep_1000-bs_32-lr_0.1-ac_('elu', 'elu')-op_sgd-lo_mse",38.0863,0.0381,0.05206275,38.1641,0.8318,12.285699491500853,1.6064,5.8556,2.4198,0.0724,1.0038,0.8203,0.2321,23.2126,25.9279,0.2222,0.5656,0.8203,0.9521,0.9194,0.8754
"MLP0-run_4-hs_(20, False)-ep_1000-bs_32-lr_0.1-ac_('elu', 'elu')-op_sgd-lo_mse",37.0682,0.0371,0.03873944,37.1392,0.8237,10.445680074691772,1.5674,6.0798,2.4657,0.0499,0.8299,0.8134,0.2233,22.329,20.2667,0.2109,0.5519,0.8134,0.9533,0.9201,0.8771
"MLP0-run_5-hs_(20, False)-ep_1000-bs_32-lr_0.1-ac_('elu', 'elu')-op_sgd-lo_mse",41.293,0.0413,0.06850243,41.3877,0.8284,11.10825264930725,1.4911,5.7547,2.3989,0.0456,0.8296,0.8234,0.2079,20.792,19.2868,0.1976,0.525,0.8234,0.9547,0.92,0.8783
"MLP0-run_6-hs_(20, False)-ep_1000-bs_32-lr_0.1-ac_('elu', 'elu')-op_sgd-lo_mse",39.203,0.0392,0.04250526,39.2777,0.8211,10.765627055168151,1.9263,7.0302,2.6515,0.0802,1.4113,0.7843,0.3302,33.0243,27.4602,0.3003,0.6782,0.7843,0.943,0.916,0.8638
"MLP0-run_7-hs_(20, False)-ep_1000-bs_32-lr_0.1-ac_('elu', 'elu')-op_sgd-lo_mse",39.5402,0.0395,0.04890156,39.6157,0.8262,11.52319224357605,1.6046,5.7999,2.4083,0.0722,0.9687,0.822,0.2324,23.2368,25.4802,0.2218,0.565,0.822,0.9547,0.9202,0.8785
"MLP0-run_8-hs_(20, False)-ep_1000-bs_32-lr_0.1-ac_('elu', 'elu')-op_sgd-lo_mse",40.3711,0.0404,0.04054403,40.4371,0.839,11.324174623489379,1.4498,5.2742,2.2966,0.0456,0.7571,0.8382,0.2041,20.4146,19.4244,0.1947,0.5105,0.8382,0.9566,0.922,0.882
"MLP0-run_9-hs_(20, False)-ep_1000-bs_32-lr_0.1-ac_('elu', 'elu')-op_sgd-lo_mse",38.4423,0.0384,0.06490088,38.5316,0.8217,10.949993305206299,1.7811,6.858,2.6188,0.0639,1.1616,0.7895,0.2845,28.4549,23.9861,0.2622,0.6271,0.7895,0.9466,0.9173,0.8683
