model_name,total_time_train,time_epoch,time_predict,time_system,EVS,ME,MAE,MSE,RMSE,MSLE,MedAE,R2,MRE,MAPE,SMAPE,MAAPE,MASE,NSE,Willmott_Index,R,Confidence
"GRU-1HL-Gru1HL-run_0-hs_(20, False)-ep_1000-bs_32-lr_0.1-ac_('elu', 'elu')-op_SGD-lo_mse-dr_(0.2,)",225.6831,0.2257,0.24507308,225.966,0.7465,10.684827518463134,2.1494,9.2941,3.0486,0.1113,1.3588,0.7148,0.3883,38.8289,29.493,0.3206,0.7568,0.7148,0.9191,0.8693,0.799
"GRU-1HL-Gru1HL-run_1-hs_(20, False)-ep_1000-bs_32-lr_0.1-ac_('elu', 'elu')-op_SGD-lo_mse-dr_(0.2,)",223.4328,0.2234,0.22817183,223.691,0.7118,14.680507278442382,2.4159,11.5934,3.4049,0.229,1.8201,0.6442,0.3873,38.7333,48.4618,0.3537,0.8506,0.6442,0.8965,0.8504,0.7624
"GRU-1HL-Gru1HL-run_2-hs_(20, False)-ep_1000-bs_32-lr_0.1-ac_('elu', 'elu')-op_SGD-lo_mse-dr_(0.2,)",222.2014,0.2222,0.25198245,222.4841,0.71,12.98996214866638,2.1184,9.4847,3.0797,0.1166,1.4566,0.7089,0.3524,35.2362,33.1849,0.3118,0.7459,0.7089,0.9159,0.8525,0.7808
"GRU-1HL-Gru1HL-run_3-hs_(20, False)-ep_1000-bs_32-lr_0.1-ac_('elu', 'elu')-op_SGD-lo_mse-dr_(0.2,)",220.8774,0.2209,0.23024726,221.1463,0.6945,13.410824775695799,2.0604,9.9966,3.1617,0.0961,1.1694,0.6932,0.3226,32.2609,28.0369,0.2845,0.7255,0.6932,0.9097,0.8415,0.7655
"GRU-1HL-Gru1HL-run_4-hs_(20, False)-ep_1000-bs_32-lr_0.1-ac_('elu', 'elu')-op_SGD-lo_mse-dr_(0.2,)",217.9861,0.218,0.24319696,218.2613,0.7088,13.000271201133726,2.0748,9.489,3.0804,0.1071,1.3371,0.7088,0.3418,34.1812,30.5576,0.2993,0.7305,0.7088,0.9136,0.8493,0.7759
"GRU-1HL-Gru1HL-run_5-hs_(20, False)-ep_1000-bs_32-lr_0.1-ac_('elu', 'elu')-op_SGD-lo_mse-dr_(0.2,)",215.1537,0.2152,0.28360629,215.4669,0.7501,14.572196674346923,2.9515,14.5444,3.8137,0.5649,2.6995,0.5537,0.5103,51.0271,76.0895,0.4365,1.0392,0.5537,0.879,0.8717,0.7662
"GRU-1HL-Gru1HL-run_6-hs_(20, False)-ep_1000-bs_32-lr_0.1-ac_('elu', 'elu')-op_SGD-lo_mse-dr_(0.2,)",218.3449,0.2183,0.24813151,218.6193,0.7031,13.952520990371703,2.0295,9.7779,3.127,0.1001,1.2444,0.6999,0.3147,31.4653,29.9918,0.2835,0.7146,0.6999,0.9104,0.8456,0.7698
"GRU-1HL-Gru1HL-run_7-hs_(20, False)-ep_1000-bs_32-lr_0.1-ac_('elu', 'elu')-op_SGD-lo_mse-dr_(0.2,)",225.7098,0.2257,0.23049712,225.969,0.7933,13.121293430328368,1.784,6.7519,2.5985,0.0931,1.2383,0.7928,0.3018,30.1803,29.4836,0.2739,0.6282,0.7928,0.9429,0.8995,0.8481
"GRU-1HL-Gru1HL-run_8-hs_(20, False)-ep_1000-bs_32-lr_0.1-ac_('elu', 'elu')-op_SGD-lo_mse-dr_(0.2,)",217.2831,0.2173,0.22616673,217.5368,0.6876,11.731377563476563,2.8519,13.7134,3.7032,0.1747,2.0742,0.5792,0.553,55.2995,38.8194,0.4325,1.0041,0.5792,0.8862,0.8432,0.7472
"GRU-1HL-Gru1HL-run_9-hs_(20, False)-ep_1000-bs_32-lr_0.1-ac_('elu', 'elu')-op_SGD-lo_mse-dr_(0.2,)",255.6757,0.2557,0.28848052,256.0088,0.745,9.894372882843019,2.3084,9.8195,3.1336,0.13,1.5189,0.6987,0.4386,43.8607,32.3578,0.3531,0.8128,0.6987,0.9165,0.8707,0.798
