model_name,total_time_train,time_epoch,time_predict,time_system,EVS,ME,MAE,MSE,RMSE,MSLE,MedAE,R2,MRE,MAPE,SMAPE,MAAPE,MASE,NSE,Willmott_Index,R,Confidence
GaMlp-1-run_0-hs_7False-ac_eluelu-epoch_1500-pc_0.9-pm_0.1-pop_size_50,353.3006,0.2355,0.00080776,353.3445,0.6778,19.24294847991513,2.3162,11.0592,3.3255,0.3356,1.4495,0.6606,0.4312,43.1225,48.6059,0.3416,0.8155,0.6606,0.9119,0.8537,0.7785
GaMlp-1-run_1-hs_7False-ac_eluelu-epoch_1500-pc_0.9-pm_0.1-pop_size_50,351.8169,0.2345,0.00116587,351.8786,0.7161,19.049301829918882,2.4507,10.4068,3.226,0.1324,2.1234,0.6806,0.4525,45.2469,35.8684,0.3903,0.8629,0.6806,0.8917,0.8658,0.772
GaMlp-1-run_2-hs_7False-ac_eluelu-epoch_1500-pc_0.9-pm_0.1-pop_size_50,292.0374,0.1947,0.00082111,292.0683,0.6117,14.66775814860355,2.4382,12.8197,3.5805,0.3417,1.464,0.6066,0.3711,37.1143,41.2195,0.3308,0.8585,0.6066,0.8893,0.8216,0.7306
GaMlp-1-run_3-hs_7False-ac_eluelu-epoch_1500-pc_0.9-pm_0.1-pop_size_50,274.6522,0.1831,0.00105906,274.68,0.6943,16.653858228387588,1.9156,10.0216,3.1657,0.1109,0.9545,0.6925,0.269,26.9046,27.6062,0.2465,0.6745,0.6925,0.897,0.8532,0.7653
GaMlp-1-run_4-hs_7False-ac_eluelu-epoch_1500-pc_0.9-pm_0.1-pop_size_50,276.941,0.1846,0.00061035,276.9684,0.6672,19.344000722977277,2.5063,11.4325,3.3812,0.1672,1.8707,0.6492,0.4817,48.165,38.8748,0.3968,0.8825,0.6492,0.8817,0.8442,0.7443
GaMlp-1-run_5-hs_7False-ac_eluelu-epoch_1500-pc_0.9-pm_0.1-pop_size_50,267.6498,0.1784,0.00065994,267.6771,0.5814,18.717711119816155,2.6343,14.3503,3.7882,0.364,1.7416,0.5596,0.4752,47.5164,53.6122,0.3848,0.9275,0.5596,0.8651,0.8098,0.7006
GaMlp-1-run_6-hs_7False-ac_eluelu-epoch_1500-pc_0.9-pm_0.1-pop_size_50,269.313,0.1795,0.00064468,269.3402,0.6502,19.157495615563448,2.6946,11.9168,3.4521,0.2615,2.411,0.6343,0.513,51.3011,46.6719,0.4296,0.9488,0.6343,0.8853,0.8331,0.7375
GaMlp-1-run_7-hs_7False-ac_eluelu-epoch_1500-pc_0.9-pm_0.1-pop_size_50,273.674,0.1824,0.00060678,273.7016,0.6978,15.214128031733111,2.4474,10.1554,3.1868,0.2143,2.0477,0.6884,0.4705,47.0481,42.0269,0.3955,0.8617,0.6884,0.8996,0.853,0.7674
GaMlp-1-run_8-hs_7False-ac_eluelu-epoch_1500-pc_0.9-pm_0.1-pop_size_50,272.7663,0.1818,0.00063848,272.7944,0.5992,12.705287711872904,2.9763,13.4146,3.6626,0.3373,2.6316,0.5883,0.5877,58.7652,52.7518,0.4633,1.0479,0.5883,0.8884,0.8199,0.7284
GaMlp-1-run_9-hs_7False-ac_eluelu-epoch_1500-pc_0.9-pm_0.1-pop_size_50,271.9668,0.1813,0.00058579,271.9966,0.6882,14.144380966482382,2.3838,10.7453,3.278,0.1607,1.7776,0.6703,0.4027,40.2689,37.0004,0.3516,0.8394,0.6703,0.9084,0.8609,0.782
