model_name,total_time_train,time_epoch,time_predict,time_system,EVS,ME,MAE,MSE,RMSE,MSLE,MedAE,R2,MRE,MAPE,SMAPE,MAAPE,MASE,NSE,Willmott_Index,R,Confidence
"RNN-1HL-Rnn1HL-run_0-hs_(20, False)-ep_1500-bs_32-lr_0.1-ac_('elu', 'elu')-op_SGD-lo_mse-dr_(0.2,)",396.374,0.2642,0.20653677,396.6139,0.83,15.258255588412283,1.9578,7.4263,2.7251,0.1468,1.5262,0.7721,0.3268,32.6818,40.8382,0.3069,0.6893,0.7721,0.9363,0.9165,0.8581
"RNN-1HL-Rnn1HL-run_1-hs_(20, False)-ep_1500-bs_32-lr_0.1-ac_('elu', 'elu')-op_SGD-lo_mse-dr_(0.2,)",401.6518,0.2678,0.26403332,401.947,0.823,17.131156642735004,1.6099,6.8114,2.6099,0.068,0.9926,0.791,0.2285,22.8517,26.0175,0.2204,0.5668,0.791,0.9391,0.9128,0.8572
"RNN-1HL-Rnn1HL-run_2-hs_(20, False)-ep_1500-bs_32-lr_0.1-ac_('elu', 'elu')-op_SGD-lo_mse-dr_(0.2,)",398.4661,0.2656,0.2111249,398.7064,0.8315,14.79410243153572,1.3444,5.5013,2.3455,0.0399,0.6459,0.8312,0.1849,18.4888,17.2677,0.1757,0.4733,0.8312,0.9526,0.9171,0.8736
"RNN-1HL-Rnn1HL-run_3-hs_(20, False)-ep_1500-bs_32-lr_0.1-ac_('elu', 'elu')-op_SGD-lo_mse-dr_(0.2,)",396.3176,0.2642,0.24236894,396.5899,0.8263,14.106050762534142,1.5204,5.8376,2.4161,0.0596,0.9105,0.8209,0.2229,22.2872,23.7854,0.2128,0.5353,0.8209,0.9513,0.9168,0.8722
"RNN-1HL-Rnn1HL-run_4-hs_(20, False)-ep_1500-bs_32-lr_0.1-ac_('elu', 'elu')-op_SGD-lo_mse-dr_(0.2,)",394.7678,0.2632,0.23247647,395.029,0.8246,14.753674509823322,1.3089,5.7496,2.3978,0.0354,0.5745,0.8236,0.1636,16.355,15.9572,0.1577,0.4609,0.8236,0.9465,0.9131,0.8642
"RNN-1HL-Rnn1HL-run_5-hs_(20, False)-ep_1500-bs_32-lr_0.1-ac_('elu', 'elu')-op_SGD-lo_mse-dr_(0.2,)",400.9571,0.2673,0.21837544,401.2112,0.8297,15.65097988307476,1.6428,6.3669,2.5233,0.0748,1.1296,0.8046,0.2472,24.7177,28.2028,0.2374,0.5784,0.8046,0.9453,0.9151,0.865
"RNN-1HL-Rnn1HL-run_6-hs_(20, False)-ep_1500-bs_32-lr_0.1-ac_('elu', 'elu')-op_SGD-lo_mse-dr_(0.2,)",393.5541,0.2624,0.21257305,393.7962,0.8383,12.976385657191276,1.3576,5.2774,2.2973,0.0382,0.7028,0.8381,0.1801,18.0099,17.6186,0.1728,0.478,0.8381,0.9557,0.9205,0.8797
"RNN-1HL-Rnn1HL-run_7-hs_(20, False)-ep_1500-bs_32-lr_0.1-ac_('elu', 'elu')-op_SGD-lo_mse-dr_(0.2,)",396.4281,0.2643,0.24484038,396.7137,0.8372,13.629404562711715,1.6172,6.0913,2.4681,0.062,1.1085,0.8131,0.2355,23.5478,26.1324,0.2275,0.5694,0.8131,0.9462,0.9203,0.8708
"RNN-1HL-Rnn1HL-run_8-hs_(20, False)-ep_1500-bs_32-lr_0.1-ac_('elu', 'elu')-op_SGD-lo_mse-dr_(0.2,)",404.6778,0.2698,0.25825691,404.9705,0.8404,13.688820881843565,1.381,5.3217,2.3069,0.0408,0.7486,0.8367,0.185,18.5023,19.1236,0.1788,0.4863,0.8367,0.9557,0.9211,0.8803
"RNN-1HL-Rnn1HL-run_9-hs_(20, False)-ep_1500-bs_32-lr_0.1-ac_('elu', 'elu')-op_SGD-lo_mse-dr_(0.2,)",392.3244,0.2615,0.26397943,392.6159,0.8456,13.68341714501381,1.4493,5.3417,2.3112,0.0482,0.8536,0.8361,0.2043,20.4289,21.8673,0.1977,0.5103,0.8361,0.9552,0.9238,0.8824
