Epoch,MLP,RNN,LSTM,GA-MLP,DE-MLP,FPA-MLP,PSO-MLP,WOA-MLP,WDO-MLP,MVO-MLP,EO-MLP,NRO-MLP
1,0.028072366,0.022199853,0.019197919,0.022139525,0.02762958,0.032159286,0.036533102,0.022252955,0.021262877,0.038296754,0.029982955,0.023507135
2,0.026265923,0.019808406,0.018365978,0.019841232,0.02762958,0.032159286,0.036533102,0.021293691,0.020073039,0.038296754,0.026125722,0.023507135
3,0.024556581,0.01991649,0.018304952,0.018704618,0.025776215,0.032159286,0.02173896,0.021293691,0.018650476,0.031308666,0.02016153,0.020685724
4,0.023476653,0.019881167,0.018474002,0.018704618,0.025776215,0.024927341,0.02173896,0.020949432,0.018650476,0.031308666,0.018600504,0.018266943
5,0.022765023,0.019706422,0.018447625,0.01826963,0.024192143,0.024927341,0.020688793,0.020846769,0.017582969,0.031308666,0.017719979,0.018266943
6,0.022366759,0.020174521,0.018354847,0.01826963,0.024192143,0.024927341,0.020688793,0.020578227,0.017582969,0.031308666,0.017719979,0.018266943
7,0.021126013,0.019959654,0.018331471,0.01826963,0.024192143,0.024927341,0.020688793,0.020457828,0.017388615,0.027314156,0.017524602,0.018266943
8,0.020520032,0.019914888,0.018411253,0.01826963,0.024192143,0.024927341,0.020688793,0.020457828,0.017388615,0.019303028,0.017270771,0.018266943
9,0.020348521,0.01990703,0.018290467,0.01826963,0.024192143,0.024927341,0.020688793,0.02038885,0.017152969,0.019303028,0.017270771,0.018266943
10,0.019893795,0.019760786,0.018363169,0.01826963,0.024192143,0.024927341,0.020688793,0.02034626,0.017152969,0.019303028,0.017270771,0.018266943
11,0.01923857,0.019504908,0.018267388,0.01826963,0.024192143,0.024927341,0.018875934,0.020320695,0.017152969,0.019303028,0.017002622,0.018266943
12,0.019125116,0.01951526,0.018443512,0.01826963,0.024192143,0.024927341,0.018875934,0.020320695,0.017139445,0.019303028,0.017002622,0.018266943
13,0.019383153,0.019912884,0.018262797,0.017888648,0.024192143,0.018158526,0.017443904,0.020320117,0.017139445,0.019303028,0.017002622,0.018266943
14,0.01855482,0.019711023,0.018168703,0.017888648,0.024192143,0.018158526,0.017443904,0.020320117,0.017043158,0.019303028,0.017002622,0.018266943
15,0.018539746,0.019580957,0.018364432,0.017888648,0.024192143,0.018158526,0.017443904,0.020263253,0.017043158,0.019303028,0.017002622,0.018266943
16,0.018146935,0.019308077,0.018336696,0.017888648,0.024192143,0.018158526,0.017443904,0.020263253,0.017012945,0.019303028,0.017002622,0.018266943
17,0.018265668,0.019530539,0.018199055,0.017888648,0.024192143,0.018158526,0.017443904,0.018946297,0.017012945,0.019303028,0.017002622,0.018266943
18,0.017978393,0.019579642,0.018236231,0.017888648,0.024192143,0.018158526,0.017443904,0.018042888,0.016989107,0.019303028,0.017002622,0.018266943
19,0.018036807,0.019672603,0.018211953,0.017888648,0.024192143,0.018158526,0.017443904,0.018042888,0.016989107,0.019303028,0.017002622,0.018266943
