Epoch,MLP,RNN,LSTM,GA-MLP,DE-MLP,FPA-MLP,PSO-MLP,WOA-MLP,WDO-MLP,MVO-MLP,EO-MLP,NRO-MLP
1,0.008786265,0.007173511,0.006868096,0.006301217,0.011848767,0.006941563,0.009308475,0.010602504,0.007465503,0.009013092,0.007466227,0.005586319
2,0.007005347,0.007052385,0.006699765,0.006011504,0.008873671,0.006941563,0.008952628,0.00963659,0.006009353,0.008667986,0.006891169,0.005533636
3,0.00611265,0.006855063,0.006546639,0.006011504,0.008873671,0.006941563,0.008952628,0.009596561,0.005665091,0.008667986,0.006237679,0.005499751
4,0.005666884,0.006746272,0.006428762,0.006011504,0.008873671,0.006941563,0.008952628,0.009596561,0.005665091,0.008667986,0.005878373,0.005499751
5,0.00547727,0.006513507,0.006287612,0.006011504,0.008873671,0.006941563,0.008952628,0.009596561,0.005452233,0.008667986,0.005746727,0.005499751
6,0.005364015,0.006338021,0.006224047,0.006011504,0.008873671,0.006941563,0.008952628,0.009594041,0.005452233,0.008667986,0.005462095,0.005499751
7,0.0053074,0.006304649,0.006130359,0.006011504,0.008873671,0.006941563,0.008952628,0.009594041,0.005257975,0.008667986,0.005262207,0.005499751
8,0.005237288,0.00632401,0.006042561,0.005924492,0.008482987,0.006941563,0.008952628,0.0095926,0.005136247,0.008667986,0.005262207,0.005499751
9,0.005214668,0.006084663,0.005964758,0.005606926,0.008482987,0.006941563,0.008952628,0.0095926,0.005136247,0.008667986,0.005231762,0.005499751
10,0.005209794,0.005983253,0.005893279,0.005606926,0.008482987,0.006941563,0.008828459,0.0095926,0.005136247,0.008667986,0.005231762,0.005499751
11,0.005213925,0.00604436,0.005846819,0.005606926,0.008482987,0.005861546,0.00853027,0.0095926,0.005136247,0.008667986,0.005204528,0.005499751
12,0.005242271,0.005816668,0.005784657,0.005606926,0.008248229,0.005861546,0.008386065,0.0095926,0.005136247,0.008667986,0.005204528,0.005499751
13,0.005196682,0.005863714,0.005730451,0.005523388,0.008248229,0.005861546,0.006520192,0.0095926,0.005133172,0.007756577,0.005204528,0.005499751
14,0.005198538,0.005669803,0.005682507,0.005523388,0.008248229,0.005861546,0.006317378,0.0095926,0.005133172,0.00770077,0.005150666,0.005499751
15,0.005193638,0.00576469,0.005660873,0.005523388,0.008248229,0.005861546,0.006317378,0.0095926,0.005133172,0.007029842,0.005150666,0.005499751
16,0.005218335,0.00565416,0.00562404,0.005523388,0.007690681,0.005861546,0.006317378,0.0095926,0.005133172,0.00648083,0.005150666,0.00534175
17,0.005221678,0.005615398,0.005583896,0.005523388,0.007690681,0.005861546,0.006317378,0.0095926,0.005123237,0.00648083,0.005150526,0.00534175
18,0.00521177,0.005650196,0.005539815,0.005523388,0.007690681,0.005861546,0.005869237,0.0095926,0.005123237,0.00648083,0.005150526,0.00534175
19,0.005177599,0.005609822,0.005528747,0.005523388,0.007690681,0.005861546,0.005869237,0.0095926,0.005123237,0.00648083,0.005150526,0.00534175
20,0.005211729,0.005578806,0.005521972,0.005523388,0.007690681,0.005861546,0.005869237,0.0095926,0.005123237,0.00648083,0.005150206,0.00534175
21,0.005199139,0.005536886,0.005463443,0.005523388,0.007690681,0.005861546,0.005869237,0.009583793,0.005123237,0.00648083,0.005150206,0.00534175
22,0.005203465,0.005573288,0.005463655,0.005523388,0.007690681,0.005861546,0.005869237,0.009583793,0.005123237,0.006019366,0.005150206,0.00534175
23,0.005188081,0.005535845,0.005444759,0.005523388,0.007690681,0.005666635,0.005869237,0.009580166,0.005123237,0.006019366,0.005150206,0.00534175
24,0.005237526,0.005485034,0.005426167,0.005523388,0.007690681,0.005666635,0.005869237,0.009580166,0.005123237,0.006019366,0.005150206,0.00534175
25,0.005210379,0.00531358,0.00540892,0.005523388,0.007690681,0.005666635,0.005869237,0.009580166,0.005120532,0.006019366,0.005150206,0.00534175
26,0.005223022,0.005442716,0.005382211,0.005523388,0.006722904,0.005666635,0.005869237,0.009580166,0.005120532,0.006019366,0.005150206,0.00534175
27,0.005167026,0.005420008,0.005375979,0.005523388,0.006722904,0.005666635,0.005869237,0.009580166,0.005120532,0.006019366,0.005150206,0.00534175
28,0.005187095,0.005379444,0.005378066,0.005523388,0.006722904,0.005666635,0.005869237,0.009580166,0.005120532,0.006019366,0.005150206,0.00534175
29,0.005167355,0.005358502,0.005374018,0.005523388,0.006722904,0.005666635,0.005869237,0.009580166,0.005120532,0.006019366,0.005150206,0.005172557
30,0.005202724,0.005488764,0.005338789,0.005492707,0.006722904,0.005666635,0.005869237,0.009580166,0.005120532,0.006019366,0.005150206,0.005172557
31,0.005216509,0.005338376,0.005344904,0.005492707,0.006722904,0.005666635,0.005869237,0.009580166,0.005120532,0.006019366,0.005150206,0.005172557
32,0.005205169,0.005351913,0.005356137,0.005492707,0.006722904,0.005666635,0.005869237,0.009577895,0.005120532,0.006019366,0.005150206,0.005172557
33,0.005176102,0.005355126,0.005349366,0.005492707,0.006722904,0.005666635,0.005869237,0.009577895,0.005120532,0.006019366,0.005150206,0.005172557
34,0.005200407,0.005291983,0.00532809,0.005492707,0.006722904,0.005666635,0.005869237,0.009577895,0.005120532,0.006019366,0.005150206,0.005172557
35,0.005218321,0.005405618,0.005330101,0.005492707,0.006722904,0.005666635,0.005869237,0.009577895,0.005120532,0.006019366,0.005150206,0.005172557
36,0.005198081,0.005414506,0.005324539,0.005117225,0.006722904,0.005666635,0.005869237,0.009577784,0.005120532,0.006019366,0.005150206,0.005172557
37,0.005186041,0.00542018,0.005309349,0.005117225,0.006722904,0.005573907,0.005869237,0.00651796,0.005120532,0.006019366,0.005150206,0.005172557
38,0.005186233,0.005401065,0.00533964,0.005117225,0.006722904,0.005573907,0.005869237,0.00597554,0.005120532,0.006019366,0.005150206,0.005172557
39,0.005198772,0.005307322,0.005296798,0.005117225,0.006722904,0.005573907,0.005869237,0.005762672,0.005120532,0.006019366,0.005150206,0.005172557
40,0.005210579,0.005348225,0.005306936,0.005117225,0.006722904,0.005573907,0.005869237,0.005750684,0.005120532,0.006019366,0.005149985,0.005172557
41,0.005194423,0.005329739,0.00532161,0.005117225,0.006722904,0.005573907,0.005869237,0.005750684,0.005120532,0.006019366,0.005149917,0.005172557
42,0.005185468,0.00536368,0.00531698,0.005117225,0.006722904,0.005573907,0.005459233,0.005750599,0.005120532,0.006019366,0.005149917,0.005172557
43,0.005200262,0.00536639,0.005310983,0.005117225,0.006722904,0.005573907,0.005459233,0.005750553,0.005120532,0.006019366,0.005149917,0.005172557
44,0.005177458,0.005293233,0.005321661,0.005117225,0.006722904,0.005573907,0.005459233,0.005750553,0.005120532,0.006019366,0.005149917,0.005172557
45,0.005216386,0.005410042,0.005300012,0.005117225,0.006722904,0.005573907,0.005459233,0.005750049,0.005120532,0.006019366,0.005149917,0.005172557
46,0.005210754,0.005315461,0.005306611,0.005117225,0.006722904,0.005573907,0.005459233,0.005749822,0.005120532,0.006019366,0.005149917,0.005127724
47,0.005185359,0.00534956,0.005299117,0.005117225,0.006722904,0.005150267,0.005459233,0.005749822,0.005120532,0.006019366,0.005148895,0.005127724
48,0.005189203,0.005345248,0.005317186,0.005117225,0.006722904,0.005150267,0.005459233,0.005749579,0.005120532,0.006019366,0.005148895,0.005127724
49,0.005198188,0.005380494,0.005303369,0.005117225,0.006722904,0.005150267,0.005459233,0.005749044,0.005120532,0.006019366,0.005148881,0.005127724
50,0.005197384,0.005475031,0.005283636,0.005117225,0.006722904,0.005150267,0.005459233,0.005748469,0.005120532,0.006019366,0.00514879,0.005127724
51,0.005148745,0.005366145,0.005314559,0.005117225,0.006722904,0.005150267,0.005459233,0.005748469,0.005120532,0.006019366,0.005148736,0.005127724
52,0.005193952,0.005188094,0.005287239,0.005117225,0.006722904,0.005150267,0.005459233,0.005748469,0.005120532,0.006019366,0.005148728,0.005127724
53,0.005172434,0.005345129,0.005295778,0.005117225,0.006722904,0.005150267,0.005459233,0.005748469,0.005120532,0.005788638,0.005148728,0.005127724
54,0.005207624,0.005411078,0.005307603,0.005117225,0.006722904,0.005150267,0.005459233,0.005748469,0.005120532,0.005788638,0.005148728,0.005127724
55,0.005219578,0.005307284,0.005304015,0.005117225,0.006722904,0.005150267,0.005459233,0.005748469,0.005120532,0.005788638,0.005148728,0.005127724
56,0.00516529,0.005436061,0.005298609,0.005117225,0.006722904,0.005150267,0.005459233,0.005748469,0.005120532,0.005788638,0.005148728,0.005127724
