Model,,MAE,,,RMSE,,,R2,,,MAAPE,
,mean,std,cv,mean,std,cv,mean,std,cv,mean,std,cv
MLP,5.427,0.7957,0.633,7.609,0.4573,0.2091,0.176,0.102,0.010410378,0.722,0.0674,0.004542118
RNN,5.292,0.4419,0.195,7.639,0.1969,0.0388,0.172,0.0429,0.001837482,0.698,0.043,0.001850391
LSTM,5.347,0.5064,0.256,7.65,0.2193,0.0481,0.169,0.0476,0.002265176,0.704,0.05,0.002496983
GA-MLP,5.299,0.2506,0.063,7.519,0.125,0.0156,0.198,0.0266,0.000709045,0.715,0.0231,0.000531837
DE-MLP,5.491,0.7312,0.535,7.841,0.3097,0.0959,0.127,0.0701,0.0049183,0.713,0.0784,0.006144665
FPA-MLP,5.174,0.1498,0.022,7.454,0.0559,0.0031,0.212,0.0118,0.000140263,0.704,0.0166,0.000275982
PSO-MLP,5.116,0.1741,0.03,7.517,0.1918,0.0368,0.198,0.0412,0.001696831,0.693,0.0245,0.000601669
WOA-MLP,5.192,0.2343,0.055,7.474,0.2052,0.0421,0.207,0.0445,0.001980471,0.704,0.0175,0.000307985
WDO-MLP,5.254,0.1771,0.031,7.489,0.1034,0.0107,0.204,0.022,0.000483449,0.71,0.0151,0.000229468
MVO-MLP,5.018,0.1826,0.033,7.427,0.158,0.025,0.217,0.0334,0.001114566,0.682,0.0245,0.000598252
EO-MLP,5.187,0.0342,0.001,7.443,0.0266,0.0007,0.214,0.0056,3.15E-05,0.708,0.0023,5.28E-06
NRO-MLP,5.117,0.1897,0.036,7.422,0.1059,0.0112,0.218,0.0224,0.000502858,0.698,0.0182,0.00032957
