,EVS,ME,MAE,MSE,RMSE,MSLE,MedAE,R2,SMAPE,MAAPE,MASE
MLP,7.114100000000012e-05,1.9888494267872372,0.6331591804444444,51.72309766933335,0.2091039876666667,0.02300254622222222,1.2667336973333334,0.01041037788888889,35.005160996555574,0.004542117888888889,0.024865568999999994
RNN,4.133888888888877e-06,0.6633810378118716,0.19526223877777782,9.131006109333336,0.03878115733333332,0.007553776555555552,0.5327854759999999,0.0018374817777777777,13.464855753888886,0.001850391222222224,0.007667517333333338
LSTM,1.2493333333333318e-05,0.9496621528963972,0.2564809787777778,11.258843418333335,0.0481132134444445,0.010521013444444446,0.6524487267777777,0.002265175555555556,17.662875364000016,0.0024969832222222228,0.01007014100000001
GA-MLP,0.00017350277777777764,0.24540939995378158,0.06278091377777778,3.5195912284444426,0.015625778333333343,0.0038278484444444444,0.2573253943333334,0.0007090445555555556,3.8778835066666733,0.0005318365555555554,0.0024666845555555593
DE-MLP,0.0043880693333333345,2.071972100935384,0.5346998626666664,24.43454668544446,0.09589240177777786,0.021456784555555553,1.4713360476666668,0.004918299555555556,28.46467205877779,0.006144665444444446,0.020995729333333334
FPA-MLP,0.0003331512222222221,0.15031407197160201,0.022453238777777815,0.696842693444442,0.0031253721111111064,0.0013097582222222216,0.09072987377777779,0.00014026277777777778,1.6342606201111112,0.00027598177777777774,0.0008812893333333345
PSO-MLP,0.0016697359999999994,0.06787331923881114,0.03031090766666659,8.429902522333332,0.036791051222222176,0.001401617333333333,0.13398129733333325,0.0016968312222222224,2.8732528921111053,0.0006016688888888888,0.0011898161111111112
WOA-MLP,0.001521155666666667,0.06553314069705969,0.05488778444444441,9.835619129888883,0.042103316111111073,0.0020711712222222217,0.11126112488888887,0.001980471222222222,3.6283800854444457,0.0003079854444444445,0.002154784444444448
WDO-MLP,0.00012006988888888885,0.09543655501988166,0.0313695884444444,2.397516022333332,0.010687911222222242,0.001620949333333334,0.182775144,0.0004834490000000001,2.0375529054444463,0.00022946844444444488,0.001233158222222223
MVO-MLP,0.0010207565555555552,0.10662225151146229,0.03334270322222224,5.542609449888888,0.024972497888888914,0.0017318312222222233,0.0691648751111111,0.0011145662222222217,3.5775465356666647,0.000598251666666666,0.001309455999999999
EO-MLP,6.84112222222221e-05,0.017129862098325583,0.0011690965555555552,0.1565765071111116,0.0007055644444444513,0.00033049788888888884,0.04569498322222224,3.150666666666669e-05,0.019988767111110816,5.278777777777841e-06,4.582988888888926e-05
NRO-MLP,0.0002596076666666668,0.041008575418256914,0.035972473888888926,2.4986426377777766,0.011219582666666679,0.0017679210000000006,0.18736872455555556,0.0005028582222222222,2.291613580444445,0.00032956988888888913,0.0014142062222222201
HGSO-MLP,0.0004490534444444441,0.3471527587683554,0.08961200544444432,4.715463613888888,0.020374502777777793,0.0036419617777777766,0.36445969433333325,0.0009482098888888885,6.116366237888892,0.0007927573333333328,0.0035192334444444423
