y_true,y_pred,y_true_scaled,y_pred_scaled
0.0,5.112472311370075,0.0,0.01883949
0.03,4.448419368080795,0.00011055017135276559,0.01639245
0.0,4.065883194040508,0.0,0.014982803
1.2699999999999998,3.9952410330343993,0.004679957253933743,0.014722486
14.77,4.542526019662619,0.05442753436267826,0.016739234
11.29,10.51718182068318,0.04160371448575745,0.038755875
23.14,10.874931457787753,0.08527103217009986,0.040074185
16.18,16.664816179201008,0.05962339241625824,0.061409943
10.18,14.853976096063853,0.037513358145705125,0.054736987
4.47,12.45393652074039,0.016471975531562072,0.045892827
2.66,8.641566267833113,0.00980211519327855,0.03184422
30.03,6.605472332015633,0.11066072152411836,0.024341203
4.36,17.559452608823776,0.0160666249032686,0.06470668
0.47,9.998352296054364,0.001731952684526661,0.036843985
0.46,7.333460660502315,0.0016951026274090726,0.027023844
1.85,4.623165034763515,0.0068172605667538785,0.01703639
7.21,4.891870767883956,0.02656889118178133,0.018026572
1.38,7.388552412316203,0.005085307882227217,0.027226858
7.26,5.700529450364411,0.026753141467369273,0.021006484
52.03,7.9384195720776916,0.19173084718281314,0.029253121
33.59,26.983597534671425,0.1237793418579799,0.09943471
18.75,25.07359715074301,0.0690938570954785,0.09239635
38.99,20.63340778030455,0.14367837270147768,0.076034226
21.23,25.890027878656984,0.07823267126064046,0.0954049
1.1,19.478860726207493,0.004053506282934739,0.07177971
0.83,10.50635878238827,0.0030585547407598478,0.038715992
0.39,6.310857421942055,0.0014371522275859528,0.023255546
0.39,4.363364601880312,0.0014371522275859528,0.016079023
0.39,4.281957278437913,0.0014371522275859528,0.015779037
0.39,4.244684214554727,0.0014371522275859528,0.015641686
0.39,4.244684214554727,0.0014371522275859528,0.015641686
0.39,4.244684214554727,0.0014371522275859528,0.015641686
0.39,4.244684214554727,0.0014371522275859528,0.015641686
0.39,4.244684214554727,0.0014371522275859528,0.015641686
0.39,4.244684214554727,0.0014371522275859528,0.015641686
0.39,4.244684214554727,0.0014371522275859528,0.015641686
0.44,4.244684214554727,0.0016214025131738954,0.015641686
0.44,4.2662908647954465,0.0016214025131738954,0.015721306
0.39,4.272954928725958,0.0014371522275859528,0.015745863
0.42,4.255570941567421,0.0015477023989387182,0.015681803
2.2800000000000002,4.261891288608313,0.008401813022810185,0.015705094
7.47,5.065616622790694,0.027526992666838633,0.018666826
4.85,7.553653787449003,0.017872277702030436,0.027835257
2.96,7.266141685806215,0.010907616906806205,0.026775774
0.83,6.553392146714032,0.0030585547407598478,0.024149287
1.2,5.155039626285434,0.004422006854110623,0.01899635
1.73,4.872514452338219,0.006375059881342816,0.017955244
9.229999999999999,4.968877504207194,0.03401260271953421,0.018310342
11.41,8.307707987353206,0.04204591517116851,0.030613951
22.79,10.26252905368805,0.08398128017098426,0.03781748
14.76,16.04113581739366,0.05439068430556067,0.059111677
3.73,14.218940945714712,0.013745071304860522,0.05239688
3.04,9.459767137728631,0.011202417363746914,0.034859296
21.32,7.064702358916402,0.07856432177469876,0.026033469
20.96,13.868575156144798,0.07723771971846556,0.05110578
23.2,15.939483569152653,0.0854921325128054,0.058737088
3.93,18.438625822141766,0.014482072447212294,0.06794644
0.92,10.449224947877228,0.003390205254818145,0.038505454
3.65,6.888331113532185,0.013450270847919815,0.02538354
7.13,6.029668700136244,0.02627409072484062,0.022219364
11.13,7.631059841923416,0.04101411357187604,0.0281205
9.009999999999998,10.041456415876747,0.03320190146294726,0.037002824
12.69,9.946849352940918,0.04676272248221985,0.036654197
4.18,11.604588835053146,0.015403323875152005,0.042762976
0.96,8.227217579260468,0.0035376054832884987,0.030317344
10.84,6.041091221123934,0.03994546191546597,0.022261456
4.0,9.16212145343423,0.014740022847035412,0.03376247
0.48,7.228977802582086,0.0017688027416442494,0.026638824
0.42,5.6505964846909045,0.0015477023989387182,0.02082248
1.29,4.576438240017742,0.00475365736816892,0.016864201
24.73,4.645324664823711,0.09113019125179644,0.017118048
6.27,14.78803299985826,0.023104985812728008,0.054493986
5.43,10.012456819713115,0.02000958101485057,0.03689596
0.82,9.282891437262297,0.0030217046836422596,0.034207508
1.91,5.597494247108698,0.007038360909459409,0.020626798
4.88,5.390738428682089,0.017982827873383202,0.019864902
8.74,6.422976860404015,0.03220694992077238,0.023668706
7.81,8.571585509106518,0.02877989460883664,0.03158634
0.42,8.930351132899522,0.0015477023989387182,0.032908395
5.9,5.945895795747638,0.021741533699377234,0.02191066
0.47,7.274843788705766,0.001731952684526661,0.02680784
10.15,5.014917370639742,0.03740280797435236,0.01848
0.56,8.952096280828119,0.002063603198584958,0.032988526
1.26,5.62266544368118,0.004643107196816155,0.020719554
0.56,5.476852651648223,0.002063603198584958,0.020182233
13.37,4.448309681955725,0.04926852636621586,0.016392047
0.79,9.937075662091374,0.0029111545122894942,0.03661818
22.75,6.1550091076642275,0.08383387994251391,0.022681244
3.11,15.046074411012233,0.011460367763570033,0.05544487
3.43,8.384898713305592,0.012639569591332866,0.0308984
7.27,7.836152677163482,0.02678999152448686,0.028876267
8.77,7.854195792004466,0.03231750009212514,0.028942756
49.33,9.02740667320788,0.18178133176106423,0.033266045
1.15,26.59113350264728,0.004237756568522681,0.09798848
2.13,11.6140592462942,0.007849062166046358,0.042797875
8.86,9.29831623815,0.03264915060618344,0.03426435
5.7,8.196659125909209,0.021004532557025463,0.030204736
3.45,7.799940080977977,0.012713269705568044,0.028742824
3.9100000000000006,6.996504884287715,0.014408372332977117,0.02578216
1.01,6.629072540216148,0.0037218557688764417,0.02442817
6.41,5.239471152890474,0.02362088661237425,0.019307481
