,EVS,MAE,MSE,RMSE,MSLE,R2,MRE,MAPE,SMAPE,MAAPE,MASE,NSE,Willmott_Index,R,Confidence
MLP,0.0141,0.0938,0.4492,0.0875,0.0089,0.0138,0.0217,2.1684,1.8365,0.0186,0.033,0.0138,0.0039,0.0067,0.0098
RNN,0.0181,0.1093,0.6283,0.137,0.011,0.0193,0.0309,3.087,1.8308,0.0213,0.0385,0.0193,0.005,0.0073,0.0113
GA-MLP,0.0186,0.1742,0.6067,0.1113,0.0383,0.0186,0.0466,4.6588,6.5551,0.0393,0.0614,0.0186,0.0046,0.0077,0.0109
DE-MLP,0.0363,0.1749,1.2405,0.2259,0.0313,0.0381,0.0324,3.2361,4.4701,0.0267,0.0616,0.0381,0.0065,0.0079,0.0132
FPA-MLP,0.0096,0.1241,0.3735,0.0739,0.0201,0.0115,0.0314,3.1415,3.7093,0.0272,0.0437,0.0115,0.0031,0.0049,0.0073
PSO-MLP,0.0122,0.0931,0.4859,0.0969,0.0178,0.0149,0.0193,1.9249,3.1617,0.0171,0.0328,0.0149,0.0031,0.0052,0.0076
WOA-MLP,0.0136,0.1082,0.4993,0.0986,0.0159,0.0153,0.0306,3.0646,3.1719,0.0263,0.0381,0.0153,0.0053,0.008,0.0123
GWO-MLP,0.025,0.244,1.0263,0.1846,0.0479,0.0315,0.0605,6.0496,6.9396,0.0495,0.0859,0.0315,0.0072,0.0093,0.015
SSA-MLP,0.0338,0.2069,1.2483,0.226,0.04,0.0383,0.0467,4.674,6.2552,0.0395,0.0729,0.0383,0.0102,0.016,0.0241
WDO-MLP,0.01,0.1079,0.3586,0.0691,0.0104,0.011,0.0334,3.341,2.4923,0.0286,0.038,0.011,0.0046,0.0073,0.0109
MVO-MLP,0.019,0.1765,0.7636,0.1523,0.0182,0.0234,0.0483,4.8304,3.4677,0.0387,0.0621,0.0234,0.0063,0.0085,0.0137
EO-MLP,0.0163,0.0647,0.5873,0.1182,0.0052,0.018,0.0136,1.3578,1.4323,0.0122,0.0228,0.018,0.0068,0.0114,0.017
NRO-MLP,0.0143,0.0842,0.4966,0.1045,0.01,0.0152,0.0177,1.7644,2.1391,0.0153,0.0296,0.0152,0.0023,0.0036,0.0053
HGSO-MLP,0.014,0.0784,0.5614,0.1051,0.0132,0.0172,0.0181,1.8076,2.3485,0.0155,0.0276,0.0172,0.0046,0.0063,0.01
