,EVS,MAE,MSE,RMSE,MSLE,R2,MRE,MAPE,SMAPE,MAAPE,MASE,NSE,Willmott_Index,R,Confidence
MLP,0.799,1.612,6.583,2.564,0.059,0.798,0.237,23.732,23.237,0.225,0.568,0.798,0.946,0.903,0.854
RNN,0.836,1.506,5.393,2.319,0.057,0.834,0.238,23.807,22.363,0.22,0.53,0.834,0.958,0.927,0.888
GA-MLP,0.774,1.835,7.548,2.745,0.092,0.768,0.289,28.884,29.191,0.268,0.646,0.768,0.935,0.891,0.834
DE-MLP,0.795,1.812,6.837,2.606,0.101,0.79,0.287,28.687,29.812,0.266,0.638,0.79,0.947,0.91,0.863
FPA-MLP,0.805,1.661,6.435,2.536,0.075,0.803,0.252,25.225,26.029,0.238,0.585,0.803,0.948,0.909,0.862
PSO-MLP,0.814,1.642,6.171,2.482,0.074,0.811,0.251,25.075,25.683,0.236,0.578,0.811,0.951,0.915,0.87
WOA-MLP,0.812,1.632,6.254,2.499,0.067,0.808,0.244,24.416,24.65,0.231,0.575,0.808,0.95,0.913,0.867
GWO-MLP,0.786,1.786,7.093,2.657,0.09,0.782,0.276,27.624,28.25,0.257,0.629,0.782,0.944,0.903,0.852
SSA-MLP,0.79,1.777,6.97,2.631,0.092,0.786,0.275,27.488,28.844,0.257,0.626,0.786,0.945,0.904,0.854
WDO-MLP,0.797,1.663,6.701,2.588,0.062,0.794,0.252,25.162,24.033,0.237,0.586,0.794,0.943,0.901,0.85
MVO-MLP,0.827,1.665,5.854,2.415,0.067,0.82,0.266,26.574,24.79,0.246,0.586,0.82,0.954,0.922,0.88
EO-MLP,0.811,1.56,6.242,2.496,0.056,0.808,0.224,22.401,22.652,0.213,0.549,0.808,0.948,0.909,0.862
NRO-MLP,0.83,1.565,5.579,2.36,0.06,0.829,0.235,23.532,23.45,0.223,0.551,0.829,0.957,0.924,0.884
HGSO-MLP,0.79,1.728,7.003,2.645,0.075,0.785,0.266,26.559,26.447,0.248,0.608,0.785,0.942,0.898,0.846
