Times,MLP,RNN,LSTM,GA-MLP,DE-MLP,FPA-MLP,PSO-MLP,WOA-MLP,WDO-MLP,MVO-MLP,EO-MLP,NRO-MLP,,
1,7.5976,8.5445,7.3679,8.1376,7.8825,7.8907,7.8613,7.8555,7.747,7.9064,7.8205,7.8585,,
2,7.689,7.2066,7.7433,8.2106,9.1198,7.9231,7.9637,7.9601,7.6651,7.8572,7.8487,7.7583,,
3,8.65,7.4523,7.4189,8.459,8.9424,7.9222,7.8827,8.1187,7.8971,7.8152,7.8661,7.8476,,
4,9.46,7.0005,7.0116,8.1492,7.4716,7.8333,7.87,7.8892,8.0921,7.8599,7.8285,7.8916,,MAE
5,7.0903,7.905,8.689,7.9779,7.9187,7.7353,7.7774,8.0981,7.5909,7.8433,7.8843,7.8156,,
6,8.8967,7.8038,7.8543,7.7551,7.5776,7.8784,7.8384,7.86,7.7975,7.852,8.0485,7.8158,,
7,9.9097,7.6131,7.717,8.0942,7.9135,7.8513,7.928,7.9768,7.8477,7.8272,7.8166,7.7984,,
8,7.797,7.845,8.2051,7.385,8.0793,7.9056,7.9144,7.8695,7.8373,7.8159,7.887,7.8467,,
9,7.2888,7.0336,7.644,7.3713,8.1215,7.8152,7.8932,7.8614,8.1256,7.8494,7.8106,7.797,,
10,7.4798,7.8482,7.4421,8.1687,8.4585,8.2221,7.8214,7.8457,8.1741,7.8536,7.827,7.6917,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Times,MLP,RNN,LSTM,GA-MLP,DE-MLP,FPA-MLP,PSO-MLP,WOA-MLP,WDO-MLP,MVO-MLP,EO-MLP,NRO-MLP,,
1,12.6389,12.8791,12.6694,12.7252,12.7394,12.6876,12.6765,12.7553,12.8147,12.6878,12.7718,12.6293,,RMSE
2,12.6792,12.7249,12.6558,12.7662,13.157,12.7378,12.9532,12.7493,12.7828,12.7956,12.8089,12.6717,,
3,12.9348,12.6692,12.6526,12.9342,13.3744,12.7107,12.78,12.9931,12.6855,12.7171,12.6901,12.6786,,
4,13.3604,12.8506,12.83,12.7254,12.9556,12.6245,12.7847,12.826,12.7111,12.7059,12.7833,12.7278,,
5,12.7169,12.6933,12.9359,12.8592,12.7635,12.6517,12.7187,12.8025,12.6382,12.8156,12.6723,12.6982,,
6,13.0047,12.679,12.6787,12.7869,12.7751,12.833,12.8143,12.6851,12.6644,12.711,13.0259,12.644,,
7,13.5688,12.6639,12.6678,12.7485,13.2154,12.7701,12.8704,12.8684,12.807,12.632,12.7374,12.7527,,
8,12.6286,12.6858,12.7623,12.69,12.9645,12.6709,12.846,12.6817,12.6742,12.7134,12.6735,12.6934,,
9,12.6946,12.8229,12.6563,12.6433,12.7984,12.7532,12.7799,12.6568,12.7741,12.6976,12.6923,12.7201,,
10,12.701,12.6838,12.6666,12.7684,13.1925,12.7776,12.6374,12.6632,12.7984,12.7513,12.7561,12.6138,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Times,MLP,RNN,LSTM,GA-MLP,DE-MLP,FPA-MLP,PSO-MLP,WOA-MLP,WDO-MLP,MVO-MLP,EO-MLP,NRO-MLP,,
1,0.2779,0.2502,0.2744,0.268,0.2664,0.2723,0.2736,0.2645,0.2577,0.2723,0.2626,0.279,,
2,0.2733,0.268,0.276,0.2633,0.2175,0.2665,0.2415,0.2652,0.2614,0.2599,0.2583,0.2741,,R2
3,0.2437,0.2744,0.2763,0.2438,0.1914,0.2697,0.2617,0.2368,0.2726,0.2689,0.272,0.2733,,
4,0.1931,0.2535,0.2559,0.268,0.2413,0.2795,0.2611,0.2564,0.2696,0.2702,0.2613,0.2677,,
5,0.2689,0.2717,0.2436,0.2525,0.2636,0.2764,0.2687,0.2591,0.278,0.2576,0.2741,0.2711,,
6,0.2355,0.2733,0.2733,0.2609,0.2622,0.2555,0.2577,0.2726,0.275,0.2696,0.233,0.2773,,
7,0.1677,0.275,0.2746,0.2653,0.2105,0.2628,0.2512,0.2514,0.2585,0.2787,0.2666,0.2648,,
8,0.2791,0.2725,0.2637,0.272,0.2402,0.2742,0.254,0.273,0.2739,0.2693,0.2739,0.2716,,
9,0.2715,0.2567,0.2759,0.2774,0.2595,0.2648,0.2617,0.2758,0.2624,0.2712,0.2718,0.2686,,
10,0.2708,0.2728,0.2747,0.263,0.2132,0.2619,0.2781,0.2751,0.2596,0.265,0.2644,0.2808,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Times,MLP,RNN,LSTM,GA-MLP,DE-MLP,FPA-MLP,PSO-MLP,WOA-MLP,WDO-MLP,MVO-MLP,EO-MLP,NRO-MLP,,
1,0.9206,0.9698,0.9069,0.9532,0.9395,0.9408,0.9362,0.935,0.936,0.944,0.9295,0.9396,,MAAPE
2,0.9268,0.8953,0.9331,0.9556,0.9898,0.9405,0.93,0.9451,0.9314,0.9316,0.9324,0.9331,,
3,0.9712,0.9163,0.9119,0.9631,0.9738,0.942,0.935,0.9514,0.9423,0.9325,0.9403,0.9379,,
4,1,0.8693,0.8699,0.9554,0.9045,0.9394,0.9328,0.9337,0.9519,0.9399,0.9301,0.9375,,
5,0.8704,0.9426,0.975,0.9383,0.9385,0.9324,0.9302,0.9507,0.9259,0.9353,0.9428,0.9331,,
