,EVS,MAE,MSE,RMSE,MSLE,R2,MRE,MAPE,SMAPE,MAAPE,MASE,NSE,Willmott_Index,R,Confidence
MLP,0.00019839344444444476,0.008791322777777782,0.2017595334444444,0.007647901000000011,7.844400000000002e-05,0.000190168888888889,0.0004691934444444442,4.702102613444444,3.372784695555554,0.000346812888888889,0.0010895912222222215,0.000190168888888889,1.5242222222222271e-05,4.4610666666666554e-05,9.69298888888891e-05
RNN,0.0003274817777777783,0.011951777777777785,0.39472231211111103,0.018779473333333338,0.00012033777777777773,0.0003709666666666673,0.0009531293333333336,9.529311253777776,3.3516749938888872,0.00045432222222222245,0.0014809840000000007,0.0003709666666666673,2.5005000000000195e-05,5.33365555555556e-05,0.00012758266666666659
GA-MLP,0.0003469306666666659,0.03034613511111111,0.3681201462222221,0.012396506666666682,0.0014645804444444446,0.0003473023333333328,0.002170638333333334,21.704239767666664,42.96914929833335,0.001544073333333334,0.0037649871111111125,0.0003473023333333328,2.1057777777777813e-05,5.9492888888889014e-05,0.00011910544444444471
DE-MLP,0.0013207721111111106,0.030574522333333354,1.538922457777778,0.05104553955555557,0.0009804262222222221,0.0014499200000000006,0.0010481328888888892,10.472549675111113,19.98221257388889,0.0007132066666666668,0.003790633777777776,0.0014499200000000006,4.2172111111111104e-05,6.185211111111127e-05,0.00017360722222222182
FPA-MLP,9.228988888888899e-05,0.01540129433333333,0.13950870722222236,0.00546039066666666,0.0004040223333333333,0.00013125388888888905,0.0009856516666666662,9.868773648888888,13.758718691222226,0.0007406778888888887,0.0019101094444444458,0.00013125388888888905,9.504555555555562e-06,2.3844555555555428e-05,5.333833333333348e-05
PSO-MLP,0.00014985066666666668,0.00867125111111111,0.23607536766666662,0.00938904455555556,0.000315447111111111,0.0002223195555555555,0.0003706404444444447,3.70516565111111,9.996639793777781,0.00029112044444444426,0.0010743782222222228,0.0002223195555555555,9.840555555555668e-06,2.7053333333333307e-05,5.7284444444444466e-05
WOA-MLP,0.0001853516666666667,0.011699051222222222,0.24933423288888903,0.009717384555555554,0.0002535911111111111,0.00023522677777777768,0.0009381667777777782,9.391803193888894,10.060700640111113,0.000693187222222222,0.001450506777777778,0.00023522677777777768,2.7822666666666803e-05,6.362933333333315e-05,0.00015080277777777766
GWO-MLP,0.0006235182222222218,0.05955786544444444,1.0532759134444438,0.034059435111111126,0.002289915666666667,0.000991331666666667,0.0036599893333333316,36.59824892711112,48.158045601,0.0024544610000000002,0.007384944888888891,0.000991331666666667,5.1517333333333505e-05,8.584677777777759e-05,0.00022538400000000035
SSA-MLP,0.001143596555555557,0.042813539555555544,1.5582037471111105,0.05107505733333333,0.0015962716666666668,0.001468521000000001,0.0021844121111111114,21.84609574322222,39.127600567666654,0.0015575298888888893,0.005309816555555555,0.001468521000000001,0.00010329511111111084,0.00025632099999999935,0.0005793373333333317
WDO-MLP,0.00010093877777777818,0.011652146777777784,0.12860942322222213,0.004781540111111112,0.00010805433333333334,0.00012135122222222238,0.0011158151111111106,11.16258011211111,6.211610960444445,0.0008167582222222222,0.0014437826666666668,0.00012135122222222238,2.093599999999983e-05,5.3415111111111024e-05,0.00011922933333333325
MVO-MLP,0.0003598293333333332,0.03113876399999998,0.583126546777778,0.023207131222222226,0.00033248,0.0005495004444444446,0.00233475288888889,23.332429609888887,12.024991220999997,0.0015000365555555553,0.003859983999999999,0.0005495004444444446,4.0118777777777877e-05,7.300544444444449e-05,0.0001885462222222219
EO-MLP,0.00026667211111111095,0.004183799555555555,0.34488280277777783,0.013981387666666666,2.7393333333333317e-05,0.00032553833333333365,0.00018422100000000015,1.843711486222224,2.0515581395555538,0.00014952233333333318,0.0005194151111111106,0.00032553833333333365,4.594277777777786e-05,0.00013066666666666652,0.0002883026666666665
NRO-MLP,0.00020523122222222223,0.0070847401111111125,0.24657394677777777,0.010924356111111108,9.970044444444446e-05,0.00023174444444444455,0.00031161211111111115,3.1130273871111105,4.57559038322222,0.00023489511111111116,0.0008772009999999989,0.00023174444444444455,5.476000000000082e-06,1.2707111111111216e-05,2.805788888888873e-05
HGSO-MLP,0.0001953201111111106,0.006142016000000003,0.3151964426666665,0.011037500111111103,0.00017478677777777775,0.0002975134444444453,0.0003266676666666667,3.2672475537777776,5.515651233333332,0.00024101833333333325,0.0007611450000000003,0.0002975134444444453,2.096666666666679e-05,4.02650000000003e-05,9.925788888888939e-05
