Actual,MLP,RNN,LSTM,GA-MLP,DE-MLP,FPA-MLP,PSO-MLP,WOA-MLP,WDO-MLP,MVO-MLP,EO-MLP,NRO-MLP
0.0,4.634658320993185,4.567381805442274,3.758578559681773,3.5866114044458968,5.311654462475127,4.980025412639032,4.47566412973905,4.983322583676206,4.378855635150208,4.347747818430037,5.305814530426049,4.086009538467122
0.03,3.7201166397333143,3.775635004863143,2.9251661955565216,2.9728058388890077,4.164301324232781,4.3901996682879965,3.872177692250724,4.009461561011252,3.7882657708247214,3.5477477780737625,4.767918851229112,3.3793370893785024
0.0,3.4512572449445726,3.4109321772679686,2.531881286725402,2.5146731946325684,3.7717135734667813,4.051905676096036,3.4245871596409785,4.007947202930333,3.3090121092518454,3.262842708666209,4.382322174476228,3.095871327825109
1.2699999999999998,3.4113961950689555,3.3535279184393585,2.4681561753898857,2.4283968170244314,3.7294791056063463,3.9849050089247946,3.3316823780665903,4.021284439208795,3.2189115363249714,3.2094909449106717,4.307509257981193,3.0382078326012336
14.77,4.002041320055723,3.8269554747454815,2.992328475788236,2.959967014471355,4.156656239389041,4.546020847448862,3.9970116093243617,4.645251274235396,3.718648893319748,3.892933364523296,4.807670322561366,3.7186841024806965
11.29,10.517352668195963,9.115245546214284,8.797496467605232,8.802898835331924,9.045777611348097,10.660433073691927,11.118328494769493,11.444500882202654,9.193426963877318,11.326260973740167,10.26220872996374,11.104545582535405
23.14,11.389975041970613,10.266801252439619,9.896124827489256,9.225124721943292,11.58629470833267,10.657000917312805,10.852418184863396,11.689471598540134,9.730639566033087,11.405564891697589,10.449110064347224,10.844857116779874
16.18,16.898143335059284,15.034391069561243,15.150081119947135,15.167436531547017,15.505184578939609,16.611548583272132,17.68637208912537,16.718414841437117,15.422744609967186,18.08095725264312,15.967547527637999,17.64886306211127
10.18,15.628851452022793,14.25979675270617,14.161240989267824,13.416235919510715,15.986680491180994,14.518143388637409,15.114315211427838,15.220269133193948,13.861637827071126,15.78457489394416,14.174336758701848,15.039522603478565
4.47,12.076521222889426,11.632487526237965,11.3571601883322,11.262766155911862,13.04411372948454,12.02788431621651,12.552308084184187,11.475389655108136,11.906462867105033,12.305349456036987,12.141048425904733,11.768960103242168
2.66,8.024677347391844,7.94907530112192,7.401809774935246,7.351249072991901,9.024008552844975,8.307217299347853,8.406920749855775,7.6447617272918835,8.113108792416476,7.967111125332218,8.621506427269411,7.59027376289395
30.03,5.897369036525488,5.846846697479488,5.163575936332345,5.206999782954111,6.46839742721634,6.427843470225771,6.275349574684447,5.827572142420701,5.987294513712287,5.845340957636198,6.754328041130072,5.598781647932143
4.36,18.01814077615738,15.34611701514572,15.625982426926493,15.903948790692231,14.707199037672398,17.952647456850286,19.412419517192586,18.82486796702421,15.859218693446202,19.922380682795698,16.82892414014009,19.71819104429352
0.47,10.90831647709012,10.415980448126794,9.884666923880577,8.43952949190734,13.166382282626694,9.403876331451542,9.362544454229443,10.697007262326963,9.173308273201464,9.863497159045318,9.472815686716473,8.942001582142234
0.46,5.684042159914972,6.404802829865368,5.753165648281574,6.46008826890062,6.9785788126294435,6.971143225272693,7.246264295739698,4.613913645270894,7.304132372385012,5.841254936998372,7.677519187903231,5.614857650497358
1.85,3.8937866747379295,3.910436725243926,3.0774064934253693,3.1431061875795354,4.255793238906633,4.574876135710007,4.09698896022341,4.191606424973991,3.947629105734924,3.766928102615764,4.931362533304144,3.6036228884484633
7.21,4.375685841441155,4.1562160363607115,3.3507443170994513,3.3096749783985584,4.507807478525899,4.885920565355728,4.396773465101267,4.9915479770149584,4.056742899278502,4.294438510970592,5.125512083210407,4.10959639988973
1.38,7.130390700250863,6.412547074668111,5.821751320809126,5.740368249070362,6.709661340261726,7.405781809454948,7.326278678305557,7.84216770499978,6.347449932226432,7.374618420620128,7.386312966448997,7.144015510781608
7.26,5.424972630888224,5.259996105860918,4.487104704007506,4.137564133229178,6.284747332083848,5.50755681567532,5.030879062247979,5.7974148784090245,4.908982153311255,5.050622401881453,5.7882762542361625,4.709693219886602
52.03,7.365412178188563,6.824924445785582,6.278292268514633,6.411960721640843,7.000376487398106,7.909332084318214,8.019684900734742,7.627639003604036,7.059473555305897,7.7276512765521215,7.967466281105972,7.535172254699793
33.59,28.755908976346248,23.928300124704837,25.002150540575386,25.565274086443733,22.649284895796928,27.992503872515147,30.108984074053478,29.563786310230604,24.73430609042314,31.972282046186017,25.70594077626834,31.79459817359508
18.75,29.044513895511628,25.32675474926829,25.970378778129817,23.91524045654712,27.744225018462934,25.082542648030454,26.089456622603798,26.54995381906309,24.031479029726373,28.9005935062508,23.73074002005013,27.322549473808035
38.99,20.94162680268288,19.84269111946225,20.084954914450645,20.173275269590558,22.703823907141928,19.96851650338576,20.91811533791952,19.84384171832487,20.665680187438372,21.207907957715264,19.97444709981075,20.130892469372718
21.23,26.69700841397047,23.45337638899684,24.29222554557025,24.675954398478627,24.17144977182943,25.98219162339975,27.55711464347343,25.52564131984524,24.624797311974607,28.781308149689487,24.70304692319037,28.16654522689364
1.1,21.235094304904344,19.381859776228662,19.59015221133828,18.32027603572829,21.939337803713265,19.091907827721123,19.900470216191827,20.052528262251567,18.7431587500584,21.156844346037566,18.52117701296519,20.00101941540386
0.83,9.36758530072868,10.229568625837565,9.719481641389429,9.908754626013193,12.377144264962736,9.754558087171704,10.135045440824758,8.504720371778232,10.748346773935996,9.06294166942038,10.535897753135384,8.429825138508848
0.39,4.907804067581892,5.3505650008097305,4.6428771983832124,5.210534886387551,5.5967138638703515,6.111330303898617,6.182514858644041,4.181239114193158,6.0504939741593065,5.049118931013974,6.673693427115457,4.903471589738269
