model_name,total_time_train,time_epoch,time_predict,time_system,EVS,ME,MAE,MSE,RMSE,MSLE,MedAE,R2,MRE,MAPE,SMAPE,MAAPE,MASE,NSE,Willmott_Index,R,Confidence
"MvoMlp-2-run_0-hs_4True-ac_eluelu-epoch_2000-pop_size_100-wep_minmax_(1.0, 0.2)",403.3111,0.2017,0.00046968,403.372,0.6703,12.41075008738046,2.6083,12.234,3.4977,0.1775,1.8599,0.6234,0.4964,49.6354,37.7305,0.3885,0.9216,0.6234,0.9056,0.8793,0.7963
"MvoMlp-2-run_1-hs_4True-ac_eluelu-epoch_2000-pop_size_100-wep_minmax_(1.0, 0.2)",406.0242,0.203,0.00044823,406.0653,0.741,12.463851312419017,2.1402,8.7661,2.9608,0.142,1.5439,0.7301,0.3898,38.9785,33.351,0.3235,0.7562,0.7301,0.9342,0.9109,0.851
"MvoMlp-2-run_2-hs_4True-ac_eluelu-epoch_2000-pop_size_100-wep_minmax_(1.0, 0.2)",396.0781,0.198,0.00042844,396.1015,0.7073,12.081905429907808,2.3206,10.1172,3.1808,0.1601,1.6217,0.6885,0.4538,45.3818,34.9226,0.3531,0.82,0.6885,0.9197,0.8935,0.8218
"MvoMlp-2-run_3-hs_4True-ac_eluelu-epoch_2000-pop_size_100-wep_minmax_(1.0, 0.2)",395.5699,0.1978,0.00039887,395.6075,0.7164,12.450944264927703,2.2177,9.5491,3.0902,0.1494,1.4458,0.706,0.402,40.197,33.9498,0.3307,0.7836,0.706,0.9247,0.8923,0.8251
"MvoMlp-2-run_4-hs_4True-ac_eluelu-epoch_2000-pop_size_100-wep_minmax_(1.0, 0.2)",412.2344,0.2061,0.00053906,412.2631,0.6628,12.901491001865924,2.915,14.1736,3.7648,0.2075,2.2792,0.5637,0.585,58.4973,41.8333,0.443,1.03,0.5637,0.8939,0.8714,0.7789
"MvoMlp-2-run_5-hs_4True-ac_eluelu-epoch_2000-pop_size_100-wep_minmax_(1.0, 0.2)",414.6684,0.2073,0.00038362,414.718,0.6484,15.65079827671287,2.4925,12.4342,3.5262,0.1423,1.711,0.6172,0.4194,41.9374,34.4458,0.3473,0.8807,0.6172,0.9156,0.8878,0.8129
"MvoMlp-2-run_6-hs_4True-ac_eluelu-epoch_2000-pop_size_100-wep_minmax_(1.0, 0.2)",400.0943,0.2,0.00038624,400.1351,0.7389,11.86718547382817,2.1054,8.672,2.9448,0.1351,1.3325,0.733,0.37,36.9995,32.3998,0.3108,0.7439,0.733,0.9337,0.9049,0.8449
"MvoMlp-2-run_7-hs_4True-ac_eluelu-epoch_2000-pop_size_100-wep_minmax_(1.0, 0.2)",387.541,0.1938,0.00057507,387.6049,0.7049,12.81526159717205,2.3753,10.5886,3.254,0.1604,1.6036,0.674,0.4377,43.7669,35.3496,0.3548,0.8393,0.674,0.9207,0.896,0.8249
"MvoMlp-2-run_8-hs_4True-ac_eluelu-epoch_2000-pop_size_100-wep_minmax_(1.0, 0.2)",325.864,0.1629,0.00044894,325.8883,0.758,12.332018905090974,1.9749,8.1388,2.8529,0.1179,1.1465,0.7495,0.3469,34.6948,29.6245,0.2915,0.6978,0.7495,0.9378,0.9109,0.8542
"MvoMlp-2-run_9-hs_4True-ac_eluelu-epoch_2000-pop_size_100-wep_minmax_(1.0, 0.2)",288.6756,0.1443,0.00040364,288.7007,0.7482,12.738925452407969,2.1614,8.6204,2.9361,0.1457,1.5364,0.7346,0.414,41.4032,34.1799,0.3398,0.7637,0.7346,0.9322,0.9073,0.8458
