model_name,total_time_train,time_epoch,time_predict,time_system,EVS,ME,MAE,MSE,RMSE,MSLE,MedAE,R2,MRE,MAPE,SMAPE,MAAPE,MASE,NSE,Willmott_Index,R,Confidence
GwoMlp-0-run_0-hs_4True-ac_eluelu-epoch_2000-pop_size_100,224.8492,0.1124,0.00037384,224.9366,0.3957,18.509689970202118,2.9001,19.725,4.4413,0.1647,1.5987,0.3949,0.412,41.2015,37.7311,0.3767,1.0151,0.3949,0.7637,0.7294,0.557
GwoMlp-0-run_1-hs_4True-ac_eluelu-epoch_2000-pop_size_100,228.5599,0.1143,0.00040174,228.6148,0.3969,18.469497603701747,2.9083,19.6909,4.4374,0.1651,1.6259,0.396,0.4155,41.5539,37.9537,0.3798,1.018,0.396,0.7633,0.7284,0.556
GwoMlp-0-run_2-hs_4True-ac_eluelu-epoch_2000-pop_size_100,223.5403,0.1118,0.00034308,223.6004,0.4018,18.236060735392467,2.983,19.5855,4.4255,0.1665,1.7453,0.3992,0.4323,43.2282,38.9643,0.3939,1.0441,0.3992,0.7643,0.7272,0.5558
GwoMlp-0-run_3-hs_4True-ac_eluelu-epoch_2000-pop_size_100,226.686,0.1133,0.00039649,226.7108,0.4137,17.36077752333854,3.2648,19.5653,4.4233,0.1878,2.3898,0.3998,0.5201,52.0136,44.0134,0.4615,1.1427,0.3998,0.7529,0.7131,0.5369
GwoMlp-0-run_4-hs_4True-ac_eluelu-epoch_2000-pop_size_100,232.39,0.1162,0.00039816,232.4325,0.3967,18.497973262210426,2.8985,19.6884,4.4372,0.1658,1.6691,0.396,0.417,41.6967,38.0336,0.3807,1.0145,0.396,0.7617,0.7268,0.5536
GwoMlp-0-run_5-hs_4True-ac_eluelu-epoch_2000-pop_size_100,227.64,0.1138,0.00035667,227.6793,0.407,17.95126626014926,3.079,19.5144,4.4175,0.1734,1.9786,0.4014,0.4653,46.5278,40.9362,0.4204,1.0777,0.4014,0.7596,0.7189,0.5461
GwoMlp-0-run_6-hs_4True-ac_eluelu-epoch_2000-pop_size_100,233.7014,0.1169,0.00039864,233.7609,0.3956,18.467764156099545,2.9115,19.7337,4.4423,0.1657,1.6385,0.3947,0.4171,41.7147,38.0445,0.381,1.0191,0.3947,0.7626,0.7276,0.5549
GwoMlp-0-run_7-hs_4True-ac_eluelu-epoch_2000-pop_size_100,225.867,0.1129,0.00036669,225.9356,0.4182,17.52390591863476,3.3605,19.5703,4.4238,0.1999,2.7804,0.3997,0.5586,55.8646,45.8348,0.4855,1.1763,0.3997,0.7481,0.6956,0.5204
GwoMlp-0-run_8-hs_4True-ac_eluelu-epoch_2000-pop_size_100,227.8002,0.1139,0.00052404,227.8233,0.4007,18.308351876506208,2.9497,19.5944,4.4266,0.1647,1.6753,0.3989,0.4215,42.149,38.3292,0.385,1.0324,0.3989,0.7655,0.7275,0.5569
GwoMlp-0-run_9-hs_4True-ac_eluelu-epoch_2000-pop_size_100,219.1843,0.1096,0.00037074,219.2409,0.4159,17.884128229376863,3.0105,19.1514,4.3762,0.1646,1.8736,0.4125,0.4371,43.708,39.2178,0.3981,1.0537,0.4125,0.7702,0.7249,0.5583
