model_name,total_time_train,time_epoch,time_predict,time_system,EVS,ME,MAE,MSE,RMSE,MSLE,MedAE,R2,MRE,MAPE,SMAPE,MAAPE,MASE,NSE,Willmott_Index,R,Confidence
NroMlp-1-run_0-hs_4True-ac_eluelu-epoch_2000-pop_size_100,924.8956,0.4624,0.0004251,924.9356,0.6728,12.460910401393694,2.6822,12.1385,3.484,0.1601,2.0334,0.6281,0.509,50.9007,39.1587,0.4202,0.9422,0.6281,0.9001,0.852,0.7669
NroMlp-1-run_1-hs_4True-ac_eluelu-epoch_2000-pop_size_100,740.2765,0.3701,0.00039673,740.3021,0.6707,12.239781631591779,2.5855,11.8302,3.4395,0.1484,1.9195,0.6376,0.4724,47.2445,36.8035,0.3899,0.9083,0.6376,0.9014,0.8469,0.7634
NroMlp-1-run_2-hs_4True-ac_eluelu-epoch_2000-pop_size_100,590.3841,0.2952,0.00066018,590.409,0.6726,11.961962231115795,2.5558,11.6767,3.4171,0.1457,1.9037,0.6423,0.4657,46.5678,36.8488,0.3893,0.8979,0.6423,0.9026,0.8466,0.7641
NroMlp-1-run_3-hs_4True-ac_eluelu-epoch_2000-pop_size_100,600.2792,0.3001,0.00084662,600.3032,0.6764,12.395199025084686,2.5152,11.5098,3.3926,0.1406,1.8694,0.6474,0.4511,45.1087,36.0398,0.3796,0.8836,0.6474,0.9067,0.8553,0.7755
NroMlp-1-run_4-hs_4True-ac_eluelu-epoch_2000-pop_size_100,633.1825,0.3166,0.00033927,633.2181,0.6326,12.849126324389633,2.872,13.5064,3.6751,0.1859,2.188,0.5862,0.5453,54.5297,42.2004,0.4426,1.0089,0.5862,0.8902,0.8373,0.7454
NroMlp-1-run_5-hs_4True-ac_eluelu-epoch_2000-pop_size_100,880.5856,0.4403,0.00088215,880.6097,0.6612,13.15405343381001,2.6688,12.067,3.4738,0.1673,1.9917,0.6303,0.4939,49.3858,39.9235,0.4108,0.9376,0.6303,0.9043,0.8552,0.7734
NroMlp-1-run_6-hs_4True-ac_eluelu-epoch_2000-pop_size_100,966.917,0.4835,0.00079775,966.9659,0.6721,11.655166746292227,2.5577,11.3079,3.3627,0.149,1.8803,0.6536,0.4651,46.5115,37.9738,0.3939,0.8985,0.6536,0.9049,0.8501,0.7693
NroMlp-1-run_7-hs_4True-ac_eluelu-epoch_2000-pop_size_100,1001.4138,0.5007,0.00066257,1001.4604,0.6717,11.920070696385764,2.5155,11.2058,3.3475,0.1495,1.9198,0.6567,0.4424,44.2411,37.4858,0.3792,0.8837,0.6567,0.9095,0.8562,0.7787
NroMlp-1-run_8-hs_4True-ac_eluelu-epoch_2000-pop_size_100,995.146,0.4976,0.00073218,995.1861,0.6535,13.292739760393406,2.6529,12.063,3.4732,0.1651,1.9386,0.6305,0.4846,48.4569,39.2109,0.4023,0.932,0.6305,0.8999,0.8462,0.7615
NroMlp-1-run_9-hs_4True-ac_eluelu-epoch_2000-pop_size_100,995.5488,0.4978,0.00061202,995.5951,0.6684,12.331781071325413,2.5447,11.6155,3.4082,0.1495,1.8935,0.6442,0.4576,45.7634,36.816,0.3822,0.894,0.6442,0.905,0.854,0.7729
