model_name,total_time_train,time_epoch,time_predict,time_system,EVS,ME,MAE,MSE,RMSE,MSLE,MedAE,R2,MRE,MAPE,SMAPE,MAAPE,MASE,NSE,Willmott_Index,R,Confidence
FpaMlp-0-run_0-hs_4True-ac_eluelu-epoch_2000-p_0.8-pop_size_100,241.205,0.1206,0.00031614,241.2897,0.408,18.256607048457898,2.9313,19.338,4.3975,0.1633,1.7129,0.4068,0.4212,42.1204,38.3519,0.3854,1.026,0.4068,0.7649,0.7267,0.5559
FpaMlp-0-run_1-hs_4True-ac_eluelu-epoch_2000-p_0.8-pop_size_100,244.1428,0.1221,0.00112438,244.183,0.4065,18.187589709839507,2.9653,19.4154,4.4063,0.1649,1.7519,0.4044,0.4291,42.911,38.8056,0.3917,1.0379,0.4044,0.7656,0.726,0.5558
FpaMlp-0-run_2-hs_4True-ac_eluelu-epoch_2000-p_0.8-pop_size_100,240.5872,0.1203,0.00103235,240.6163,0.405,18.16667184662079,2.9874,19.4808,4.4137,0.1674,1.8031,0.4024,0.4383,43.8303,39.3471,0.399,1.0456,0.4024,0.7626,0.725,0.5529
FpaMlp-0-run_3-hs_4True-ac_eluelu-epoch_2000-p_0.8-pop_size_100,242.2634,0.1211,0.00037408,242.3243,0.4098,17.950412148864842,3.0868,19.4373,4.4088,0.1744,1.9928,0.4037,0.4713,47.13,41.1982,0.4249,1.0804,0.4037,0.7567,0.7254,0.5489
FpaMlp-0-run_4-hs_4True-ac_eluelu-epoch_2000-p_0.8-pop_size_100,235.2527,0.1176,0.00066304,235.2929,0.409,18.101301855629302,3.0034,19.3608,4.4001,0.1684,1.8473,0.4061,0.446,44.5997,39.7836,0.4053,1.0513,0.4061,0.7606,0.7253,0.5517
FpaMlp-0-run_5-hs_4True-ac_eluelu-epoch_2000-p_0.8-pop_size_100,243.1356,0.1216,0.00037074,243.1591,0.4051,18.11089666424959,2.9987,19.4957,4.4154,0.1663,1.79,0.402,0.4351,43.5052,39.1415,0.3963,1.0496,0.402,0.7673,0.725,0.5563
FpaMlp-0-run_6-hs_4True-ac_eluelu-epoch_2000-p_0.8-pop_size_100,243.6564,0.1218,0.00045729,243.6957,0.4066,18.133764356968918,2.9987,19.4405,4.4091,0.1667,1.7908,0.4037,0.4377,43.7674,39.3048,0.3986,1.0496,0.4037,0.7645,0.7263,0.5553
FpaMlp-0-run_7-hs_4True-ac_eluelu-epoch_2000-p_0.8-pop_size_100,240.361,0.1202,0.00039387,240.4171,0.4096,18.04660831277827,3.0381,19.3807,4.4023,0.171,1.9117,0.4055,0.4567,45.6711,40.3949,0.4137,1.0634,0.4055,0.7592,0.7259,0.5511
FpaMlp-0-run_8-hs_4True-ac_eluelu-epoch_2000-p_0.8-pop_size_100,249.471,0.1247,0.00043821,249.4948,0.4049,18.215499705049158,2.9543,19.4572,4.411,0.1642,1.7199,0.4031,0.4236,42.3648,38.4935,0.3871,1.0341,0.4031,0.766,0.7256,0.5558
FpaMlp-0-run_9-hs_4True-ac_eluelu-epoch_2000-p_0.8-pop_size_100,241.7391,0.1209,0.00044656,241.78,0.408,18.040403191361346,3.044,19.4512,4.4103,0.1702,1.8834,0.4033,0.4541,45.4144,40.2372,0.4117,1.0655,0.4033,0.7626,0.7261,0.5537
