model_name,total_time_train,time_epoch,time_predict,time_system,EVS,ME,MAE,MSE,RMSE,MSLE,MedAE,R2,MRE,MAPE,SMAPE,MAAPE,MASE,NSE,Willmott_Index,R,Confidence
"MLP2-run_2-hs_(20, False)-ep_1000-bs_32-lr_0.01-ac_('elu', 'elu')-op_adam-lo_mse",60.9115,0.0609,0.07886815,61.0143,0.8183,13.754879179000854,1.539,6.0569,2.4611,0.0636,0.8205,0.8141,0.2099,20.9942,22.0239,0.1999,0.5419,0.8141,0.9467,0.9104,0.8619
"MLP2-run_2-hs_(20, False)-ep_1000-bs_32-lr_0.01-ac_('elu', 'elu')-op_adamax-lo_mse",59.8983,0.0599,0.05813026,60.0025,0.8103,13.822696509361267,1.5295,6.1866,2.4873,0.0563,0.7666,0.8101,0.2062,20.6236,20.2227,0.1957,0.5385,0.8101,0.9445,0.9071,0.8568
"MLP2-run_2-hs_(20, False)-ep_1000-bs_32-lr_0.01-ac_('elu', 'elu')-op_nadam-lo_mse",61.9563,0.062,0.07000875,62.067,0.84,12.788915290832518,1.4793,5.2453,2.2903,0.0465,0.885,0.839,0.2174,21.7368,20.1682,0.2067,0.5209,0.839,0.9534,0.9215,0.8786
"MLP2-run_3-hs_(20, False)-ep_1000-bs_32-lr_0.01-ac_('elu', 'elu')-op_sgd-lo_mse",56.3933,0.0564,0.04171801,56.4784,0.8131,13.640494208335875,1.5134,6.1042,2.4707,0.0492,0.768,0.8127,0.2081,20.8131,19.9627,0.1973,0.5329,0.8127,0.9485,0.9108,0.8639
"MLP2-run_3-hs_(20, False)-ep_1000-bs_32-lr_0.01-ac_('elu', 'elu')-op_rmsprop-lo_mse",58.7822,0.0588,0.08058524,58.8867,0.8273,13.480700411796569,1.5233,5.7275,2.3932,0.0591,0.8851,0.8242,0.2146,21.4627,21.8464,0.2038,0.5364,0.8242,0.9488,0.9154,0.8685
"MLP2-run_3-hs_(20, False)-ep_1000-bs_32-lr_0.01-ac_('elu', 'elu')-op_adagrad-lo_mse",57.44,0.0574,0.09776902,57.5858,0.8067,13.923292522430419,1.5462,6.3003,2.51,0.0534,0.7718,0.8067,0.2122,21.2208,20.3482,0.2001,0.5444,0.8067,0.946,0.9101,0.861
"MLP2-run_3-hs_(20, False)-ep_1000-bs_32-lr_0.01-ac_('elu', 'elu')-op_adadelta-lo_mse",61.2772,0.0613,0.08691168,61.4102,0.8205,13.470117988586425,1.5055,5.8524,2.4192,0.0473,0.8136,0.8204,0.2063,20.6309,19.6245,0.1964,0.5301,0.8204,0.9489,0.9116,0.865
"MLP2-run_3-hs_(20, False)-ep_1000-bs_32-lr_0.01-ac_('elu', 'elu')-op_adam-lo_mse",59.9639,0.06,0.07727647,60.0877,0.832,13.302696075439451,1.5929,5.63,2.3728,0.0643,0.9602,0.8272,0.2352,23.5228,24.7998,0.2246,0.5609,0.8272,0.953,0.919,0.8758
"MLP2-run_3-hs_(20, False)-ep_1000-bs_32-lr_0.01-ac_('elu', 'elu')-op_adamax-lo_mse",59.4134,0.0594,0.06961679,59.5261,0.8101,14.269363846778868,1.5686,6.1889,2.4878,0.0616,0.8876,0.8101,0.216,21.6001,21.2241,0.2041,0.5523,0.8101,0.9473,0.9102,0.8622
"MLP2-run_3-hs_(20, False)-ep_1000-bs_32-lr_0.01-ac_('elu', 'elu')-op_nadam-lo_mse",62.186,0.0622,0.05684996,62.2857,0.8276,12.461143770217895,1.6506,5.8042,2.4092,0.0627,1.1239,0.8219,0.2626,26.259,23.4442,0.2428,0.5812,0.8219,0.9507,0.9159,0.8707
"MLP2-run_4-hs_(20, False)-ep_1000-bs_32-lr_0.01-ac_('elu', 'elu')-op_sgd-lo_mse",57.2647,0.0573,0.04926562,57.3573,0.816,13.716343431472778,1.4749,6.0129,2.4521,0.0484,0.7155,0.8155,0.1977,19.7749,19.8246,0.1894,0.5193,0.8155,0.9487,0.9104,0.8637
"MLP2-run_4-hs_(20, False)-ep_1000-bs_32-lr_0.01-ac_('elu', 'elu')-op_rmsprop-lo_mse",58.5719,0.0586,0.71104026,59.3343,0.8207,12.288040580749511,1.818,6.5245,2.5543,0.0711,1.2627,0.7998,0.3035,30.3466,25.8166,0.2789,0.6401,0.7998,0.945,0.9136,0.8634
"MLP2-run_4-hs_(20, False)-ep_1000-bs_32-lr_0.01-ac_('elu', 'elu')-op_adagrad-lo_mse",58.6719,0.0587,0.07029533,58.7834,0.8275,13.099589281082153,1.4481,5.6222,2.3711,0.0469,0.7343,0.8275,0.1974,19.7448,19.0675,0.1878,0.5099,0.8275,0.9516,0.9164,0.872
"MLP2-run_4-hs_(20, False)-ep_1000-bs_32-lr_0.01-ac_('elu', 'elu')-op_adadelta-lo_mse",61.6788,0.0617,0.07599425,61.8004,0.8201,13.915022363662718,1.5243,5.8798,2.4248,0.0483,0.8527,0.8196,0.2091,20.9124,20.4697,0.2,0.5367,0.8196,0.9479,0.9106,0.8632
