y_true,y_pred,y_true_scaled,y_pred_scaled
3.63,3.489083853027897,-0.5645486787364146,-0.58458304
3.21,2.6428274069436766,-0.6242610226615133,-0.7048972
4.29,2.6901141848478147,-0.4707149954255451,-0.69817436
3.67,3.746266471837748,-0.5588617888387861,-0.5480188
2.46,3.845283159387281,-0.7308902082420466,-0.5339414
3.54,5.350310397864305,-0.5773441810060785,-0.31996828
18.82,17.42596812974954,1.595047759887989,1.3968551
21.759999999999998,22.94822329164066,2.01303416736368,2.1819665
9.83,13.118548531321798,0.3169192553959951,0.7844596
7.16,5.770442923807233,-0.0626806452707039,-0.2602371
4.67,4.5482383353753635,-0.4166895413980749,-0.43400067
4.44,3.513574740641501,-0.4493891583094384,-0.5811011
4.4,3.306474408553555,-0.4550760482070669,-0.61054504
3.8300000000000005,3.345689511102494,-0.5361142292482722,-0.60496974
4.42,3.0853206494889482,-0.4522326032582527,-0.64198697
4.72,4.049495330070668,-0.4095809290260393,-0.5049081
3.0299999999999994,4.488746989805655,-0.6498520272008413,-0.4424587
4.87,3.578082322414657,-0.3882550919099326,-0.57192993
20.07,19.564683302632233,1.772763069188878,1.700921
19.62,21.497983917415624,1.7087855578405582,1.9757828
9.33,11.611635120953482,0.24583313167563947,0.5702183
6.56,5.695649227930309,-0.14798399373513071,-0.2708707
5.37,4.753016064156406,-0.317168968189577,-0.40488696
5.07,4.316781273265548,-0.35982064242179035,-0.46690744
4.02,3.8881071011538766,-0.5091015022345372,-0.527853
3.34,2.9846269920427346,-0.6057786304942209,-0.6563028
4.47,2.65162017935445,-0.4451239908862171,-0.70364714
3.6100000000000003,4.169361784345636,-0.5673921236852287,-0.4878664
2.75,3.5554004660770975,-0.6896602564842405,-0.57515466
6.28,4.420083038143575,-0.18779222301852977,-0.4522208
12.55,22.275848919445977,0.7036277684347297,2.0863736
10.44,14.596340101706826,0.40364432633482883,0.99456054
9.01,6.863435723972403,0.20033801249461183,-0.104843855
5.12,6.123104242927093,-0.3527120300497548,-0.21009845
4.16,4.266195895574638,-0.4891973875928376,-0.47409928
3.72,3.627880781981549,-0.5517531764667505,-0.56485
2.7300000000000004,2.586633403433317,-0.6925037014330546,-0.71288645
2.7300000000000004,1.9973097076443427,-0.6925037014330546,-0.7966719
3.4299999999999997,3.8459962908358443,-0.5929831282245568,-0.53384
3.4000000000000004,4.713153231984875,-0.597248295647778,-0.41055435
3.0999999999999996,4.054094839254789,-0.6398999698799915,-0.50425416
4.17,10.164579054834824,-0.4877756651184305,0.3644871
20.66,11.783214295932403,1.8566446951788977,0.5946121
16.78,19.256468812896482,1.3050163751089383,1.6571015
10.67,9.508131704233872,0.43634394324619247,0.27115852
5.59,6.070634370314788,-0.2858910737526206,-0.2175582
3.3100000000000005,3.643112280310629,-0.610043797917442,-0.5626845
5.26,2.2199614200691595,-0.33280791540805527,-0.76501703
3.05,4.763111003691952,-0.6470085822520271,-0.40345174
3.04,2.1768779672110528,-0.6484303047264341,-0.7711423
5.26,2.3985805146743484,-0.33280791540805527,-0.73962235
3.41,6.152764809489691,-0.595826573173371,-0.20588154
3.0700000000000003,2.7998886342845566,-0.6441651373032128,-0.6825675
9.62,4.716487048139477,0.2870630834334456,-0.41008037
22.89,21.514696599405948,2.173688806971684,1.9781588
21.04,16.149451936516336,1.9106701492063678,1.2153699
12.14,11.966547772159636,0.6453371469840381,0.62067705
7.0,7.1532941012190845,-0.08542820486121772,-0.06363404
5.08,4.359250116656522,-0.35839891994738327,-0.46086955
4.58,3.568617504317789,-0.4294850436677389,-0.57327557
3.72,3.6514287932707443,-0.5517531764667505,-0.5615021
3.3,2.61148609730213,-0.6114655203918493,-0.7093531
4.07,3.247360800453074,-0.5019928898625016,-0.61894935
3.6400000000000006,3.838942955450404,-0.5631269562620074,-0.5348428
2.49,3.0894208408863335,-0.7266250408188253,-0.64140403
5.3,6.061230761619149,-0.3271210255104268,-0.21889514
24.199999999999996,21.444732576831466,2.359934451119015,1.9682119
30.009999999999998,24.785987769895073,3.1859552087495477,2.4432456
16.39,18.462544308650564,1.2495691986070607,1.5442275
8.01,9.165894639613017,0.0581657650539006,0.2225019
6.41,4.882723397027573,-0.16930983085123733,-0.38644618
5.24,4.773879246641014,-0.33565136035686943,-0.4019208
4.29,3.6986086643439693,-0.4707149954255451,-0.55479443
3.4399999999999995,3.3498186302305966,-0.5915614057501497,-0.6043827
3.4299999999999997,2.558027650935732,-0.5929831282245568,-0.7169534
4.22,3.336170610726458,-0.48066705274639493,-0.60632306
3.4700000000000006,4.210630755775534,-0.5872962383269282,-0.4819991
6.6,5.006955423186076,-0.14229710383750224,-0.36878383
17.94,20.75005702046577,1.4699361821401633,1.8694483
15.85,20.258041599144086,1.1727961849890767,1.7994974
8.14,10.312725090962473,0.07664815722119317,0.38554937
6.0,5.5309795881681865,-0.22760045230192893,-0.29428214
5.26,4.9422998488195375,-0.33280791540805527,-0.37797606
4.42,4.256525648665427,-0.4522326032582527,-0.47547412
3.2799999999999994,3.222054905469683,-0.6143089653406636,-0.62254715
3.1099999999999994,2.4386659645996644,-0.6384782474055845,-0.7339233
3.73,2.4251412023829317,-0.5503314539923434,-0.73584616
3.66,3.224158664205069,-0.5602835113131932,-0.62224805
3.0600000000000005,4.541484758358955,-0.6455868597776199,-0.43496084
6.03,7.551032790404206,-0.22333528487870757,-0.0070866346
23.08,22.0685234541494,2.2007015339854186,2.0568976
16.09,24.544106662907488,1.2069175243748473,2.4088569
9.7,9.075983793791844,0.2984368632287025,0.20971908
