model_name,total_time_train,time_epoch,time_predict,time_system,EVS,ME,MAE,MSE,RMSE,MSLE,MedAE,R2,MRE,MAPE,SMAPE,MAAPE,MASE,NSE,Willmott_Index,R,Confidence
"MLP0-run_0-hs_(20, False)-ep_2000-bs_32-lr_0.1-ac_('elu', 'elu')-op_sgd-lo_mse",129.6018,0.0648,0.0668776,129.7155,0.8393,13.925527092877452,1.5259,5.2814,2.2981,0.0609,0.8952,0.8379,0.256,25.5995,22.9009,0.2332,0.5373,0.8379,0.9573,0.9257,0.8862
"MLP0-run_1-hs_(20, False)-ep_2000-bs_32-lr_0.1-ac_('elu', 'elu')-op_sgd-lo_mse",132.0046,0.066,0.06978559,132.1147,0.8049,11.257940312422622,1.6074,6.6666,2.582,0.054,0.8364,0.7954,0.229,22.8957,21.1351,0.2132,0.566,0.7954,0.9535,0.9268,0.8837
"MLP0-run_2-hs_(20, False)-ep_2000-bs_32-lr_0.1-ac_('elu', 'elu')-op_sgd-lo_mse",121.9127,0.061,0.05786324,122.0173,0.8706,11.103976609584578,1.3587,4.3145,2.0771,0.0496,0.8168,0.8676,0.2042,20.4235,20.9547,0.195,0.4784,0.8676,0.9655,0.9393,0.9069
"MLP0-run_3-hs_(20, False)-ep_2000-bs_32-lr_0.1-ac_('elu', 'elu')-op_sgd-lo_mse",125.0344,0.0625,0.06161857,125.137,0.8345,10.39168271244247,1.4673,5.4313,2.3305,0.0563,0.8025,0.8333,0.2171,21.7083,21.9039,0.2057,0.5166,0.8333,0.9624,0.9391,0.9038
"MLP0-run_4-hs_(20, False)-ep_2000-bs_32-lr_0.1-ac_('elu', 'elu')-op_sgd-lo_mse",133.3531,0.0667,0.06062031,133.4546,0.852,14.252298093004931,1.4326,4.8327,2.1983,0.0512,0.9024,0.8517,0.226,22.5976,21.3037,0.2124,0.5044,0.8517,0.9585,0.9297,0.8911
"MLP0-run_5-hs_(20, False)-ep_2000-bs_32-lr_0.1-ac_('elu', 'elu')-op_sgd-lo_mse",133.9166,0.067,0.06080055,134.0182,0.8579,11.808930314447032,1.3618,4.6439,2.155,0.0468,0.7645,0.8575,0.1996,19.964,20.0882,0.1905,0.4795,0.8575,0.9634,0.9332,0.899
"MLP0-run_6-hs_(20, False)-ep_2000-bs_32-lr_0.1-ac_('elu', 'elu')-op_sgd-lo_mse",136.8881,0.0684,0.03632689,136.9661,0.8587,9.536893519323346,1.4852,4.6295,2.1516,0.062,0.9407,0.8579,0.2548,25.4833,22.7547,0.231,0.5229,0.8579,0.9623,0.935,0.8998
"MLP0-run_7-hs_(20, False)-ep_2000-bs_32-lr_0.1-ac_('elu', 'elu')-op_sgd-lo_mse",128.1279,0.0641,0.0627985,128.2317,0.8537,13.146586314658382,1.4861,4.7967,2.1901,0.0584,0.9531,0.8528,0.2563,25.6274,22.2656,0.2336,0.5233,0.8528,0.9572,0.9322,0.8923
"MLP0-run_8-hs_(20, False)-ep_2000-bs_32-lr_0.1-ac_('elu', 'elu')-op_sgd-lo_mse",124.0099,0.062,0.05675292,124.1101,0.8407,12.758275550232401,1.5258,5.2806,2.298,0.0597,0.9378,0.838,0.249,24.9037,22.3629,0.2287,0.5372,0.838,0.9582,0.9287,0.8899
"MLP0-run_9-hs_(20, False)-ep_2000-bs_32-lr_0.1-ac_('elu', 'elu')-op_sgd-lo_mse",123.5004,0.0618,0.05551863,123.6038,0.844,9.552262411500724,1.4953,5.3758,2.3186,0.0508,0.8877,0.835,0.2252,22.5177,20.8736,0.2114,0.5265,0.835,0.9623,0.9416,0.9061
