model_name,total_time_train,time_epoch,time_predict,time_system,EVS,ME,MAE,MSE,RMSE,MSLE,MedAE,R2,MRE,MAPE,SMAPE,MAAPE,MASE,NSE,Willmott_Index,R,Confidence
DeMlp-0-run_0-hs_4True-ac_eluelu-cr_0.9-epoch_2000-pop_size_100-wf_0.8,154.7973,0.0774,0.00028539,154.8179,0.808,11.399752970708544,1.6195,6.2595,2.5019,0.0543,0.8425,0.8079,0.2197,21.9665,21.9266,0.2093,0.5702,0.8079,0.949,0.909,0.8626
DeMlp-0-run_1-hs_4True-ac_eluelu-cr_0.9-epoch_2000-pop_size_100-wf_0.8,156.5684,0.0783,0.00031376,156.5859,0.7907,14.024857384091511,1.4966,6.8472,2.6167,0.0443,0.689,0.7899,0.1902,19.019,18.1087,0.1807,0.5269,0.7899,0.9452,0.9014,0.852
DeMlp-0-run_2-hs_4True-ac_eluelu-cr_0.9-epoch_2000-pop_size_100-wf_0.8,153.6264,0.0768,0.00028372,153.6439,0.8172,11.78900975683894,1.5087,5.9809,2.4456,0.0479,0.7052,0.8165,0.1996,19.9618,19.143,0.1891,0.5312,0.8165,0.9529,0.916,0.8729
DeMlp-0-run_3-hs_4True-ac_eluelu-cr_0.9-epoch_2000-pop_size_100-wf_0.8,152.941,0.0765,0.00030828,152.9589,0.815,11.127616729396271,1.5364,6.121,2.4741,0.049,0.7335,0.8122,0.2121,21.2101,19.8053,0.1993,0.541,0.8122,0.9533,0.9185,0.8756
DeMlp-0-run_4-hs_4True-ac_eluelu-cr_0.9-epoch_2000-pop_size_100-wf_0.8,152.9439,0.0765,0.0002923,152.9616,0.8132,11.318948953545657,1.5414,6.1497,2.4798,0.0496,0.7757,0.8113,0.2091,20.9136,19.5514,0.1969,0.5427,0.8113,0.9513,0.9145,0.87
DeMlp-0-run_5-hs_4True-ac_eluelu-cr_0.9-epoch_2000-pop_size_100-wf_0.8,152.5126,0.0763,0.00027418,152.5302,0.8118,11.242057381869659,1.5933,6.309,2.5118,0.0526,0.8533,0.8064,0.2268,22.6841,20.7899,0.2124,0.561,0.8064,0.9525,0.9195,0.8758
DeMlp-0-run_6-hs_4True-ac_eluelu-cr_0.9-epoch_2000-pop_size_100-wf_0.8,153.769,0.0769,0.00028133,153.7863,0.8024,10.54790248437463,1.6081,6.4621,2.5421,0.053,0.7679,0.8017,0.2171,21.714,21.0824,0.2051,0.5662,0.8017,0.9511,0.914,0.8693
DeMlp-0-run_7-hs_4True-ac_eluelu-cr_0.9-epoch_2000-pop_size_100-wf_0.8,153.1496,0.0766,0.00042677,153.1674,0.8292,14.563997265768641,1.4528,5.7002,2.3875,0.0434,0.7409,0.8251,0.1878,18.7758,19.1363,0.1811,0.5115,0.8251,0.9499,0.9162,0.8703
DeMlp-0-run_8-hs_4True-ac_eluelu-cr_0.9-epoch_2000-pop_size_100-wf_0.8,152.8964,0.0764,0.00028253,152.9147,0.8247,13.11475268541335,1.52,5.8261,2.4137,0.0486,0.782,0.8212,0.2148,21.4773,19.6523,0.2022,0.5352,0.8212,0.9521,0.9167,0.8728
DeMlp-0-run_9-hs_4True-ac_eluelu-cr_0.9-epoch_2000-pop_size_100-wf_0.8,153.1797,0.0766,0.00028253,153.1969,0.818,12.01691043986948,1.5567,5.964,2.4421,0.0485,0.8893,0.817,0.2181,21.8125,20.3423,0.2066,0.5481,0.817,0.95,0.9113,0.8657
