model_name,total_time_train,time_epoch,time_predict,time_system,EVS,ME,MAE,MSE,RMSE,MSLE,MedAE,R2,MRE,MAPE,SMAPE,MAAPE,MASE,NSE,Willmott_Index,R,Confidence
"MLP1-run_0-hs_(20, False)-ep_2000-bs_32-lr_0.0001-ac_('elu', 'elu')-op_sgd-lo_mse",156.6633,0.0783,0.08858275,156.829,0.7834,13.531476598734177,1.5773,7.0767,2.6602,0.0494,0.7798,0.7828,0.2044,20.4362,20.7427,0.1963,0.5554,0.7828,0.9439,0.9007,0.8502
"MLP1-run_1-hs_(20, False)-ep_2000-bs_32-lr_0.0001-ac_('elu', 'elu')-op_sgd-lo_mse",159.2538,0.0796,0.09271574,159.4294,0.6944,16.487461537125633,1.7732,10.0434,3.1691,0.0533,0.8197,0.6918,0.217,21.7008,21.0709,0.205,0.6243,0.6918,0.9323,0.8917,0.8313
"MLP1-run_2-hs_(20, False)-ep_2000-bs_32-lr_0.0001-ac_('elu', 'elu')-op_sgd-lo_mse",152.6214,0.0763,0.07888341,152.7644,0.7661,12.149344926570922,1.6125,7.6245,2.7613,0.048,0.7384,0.766,0.1989,19.8939,19.5961,0.1896,0.5678,0.766,0.9414,0.8966,0.8441
"MLP1-run_3-hs_(20, False)-ep_2000-bs_32-lr_0.0001-ac_('elu', 'elu')-op_sgd-lo_mse",156.5182,0.0783,0.09038496,156.6869,0.7667,16.92663510660205,1.5837,7.6218,2.7608,0.0478,0.6871,0.7661,0.2002,20.0203,19.5084,0.1906,0.5576,0.7661,0.941,0.8954,0.8426
"MLP1-run_4-hs_(20, False)-ep_2000-bs_32-lr_0.0001-ac_('elu', 'elu')-op_sgd-lo_mse",157.0183,0.0785,0.1362648,157.2344,0.7677,13.827993443654414,1.6018,7.6836,2.7719,0.0475,0.6876,0.7642,0.1989,19.888,18.985,0.1885,0.564,0.7642,0.9443,0.9062,0.8557
"MLP1-run_5-hs_(20, False)-ep_2000-bs_32-lr_0.0001-ac_('elu', 'elu')-op_sgd-lo_mse",156.2808,0.0781,0.09831119,156.4286,0.7421,22.27810193922575,1.7325,9.8916,3.1451,0.0671,0.847,0.6965,0.2071,20.7119,23.3476,0.2002,0.61,0.6965,0.8961,0.8778,0.7866
"MLP1-run_6-hs_(20, False)-ep_2000-bs_32-lr_0.0001-ac_('elu', 'elu')-op_sgd-lo_mse",154.4574,0.0772,0.08523798,154.5767,0.7154,19.918354492689375,1.7129,9.2786,3.0461,0.056,0.784,0.7153,0.212,21.1991,20.7553,0.2004,0.6031,0.7153,0.9279,0.8736,0.8106
"MLP1-run_7-hs_(20, False)-ep_2000-bs_32-lr_0.0001-ac_('elu', 'elu')-op_sgd-lo_mse",159.0436,0.0795,0.12657189,159.25,0.794,15.776497132525883,1.5808,6.7613,2.6003,0.0502,0.8225,0.7925,0.2058,20.5815,20.949,0.1978,0.5566,0.7925,0.9433,0.9019,0.8508
"MLP1-run_8-hs_(20, False)-ep_2000-bs_32-lr_0.0001-ac_('elu', 'elu')-op_sgd-lo_mse",153.8647,0.0769,0.08023047,154.0517,0.7674,13.090394867791947,1.5375,7.6075,2.7582,0.0471,0.7083,0.7665,0.1861,18.6102,18.9771,0.178,0.5413,0.7665,0.9425,0.8982,0.8466
"MLP1-run_9-hs_(20, False)-ep_2000-bs_32-lr_0.0001-ac_('elu', 'elu')-op_sgd-lo_mse",147.3471,0.0737,0.07972312,147.5054,0.7932,14.664101201571398,1.5318,6.8004,2.6078,0.0456,0.7126,0.7913,0.1915,19.146,19.4924,0.1845,0.5394,0.7913,0.9426,0.8989,0.8473
