Epoch,MSE
1,1.0872080746455346
2,1.0868546175565201
3,1.086496593628655
4,1.0861270863533845
5,1.0857570481743397
6,1.085389652588085
7,1.0850318343657919
8,1.0846462663948897
9,1.0842877896365772
10,1.0839234278855288
11,1.0835656012402801
12,1.083215824416102
13,1.0828662322529865
14,1.082475913529161
15,1.0821077850685104
16,1.081753399419496
17,1.0813510892148046
18,1.0809980897730347
19,1.0806317172538853
20,1.0802813379952076
21,1.0799211918947094
22,1.079556189741466
23,1.079202612515864
24,1.078831770446863
25,1.0784810392528952
26,1.078121275044559
27,1.077764302981549
28,1.0773930702110561
29,1.0770170235283538
30,1.0766764007566711
31,1.0763201413735708
32,1.0759643761371886
33,1.0756126525799776
34,1.0752452361037634
35,1.0748929662393307
36,1.0745448470630827
37,1.0741686918092577
38,1.0738219361729733
39,1.0734578830575572
40,1.0731166937584082
41,1.0727566830949116
42,1.072395632879015
43,1.0720345240115294
44,1.0716930944649639
45,1.071335280209445
46,1.0709760911318384
47,1.0706093721381529
48,1.0702628387184934
49,1.0699173869917695
50,1.0695735561559194
51,1.0692239614427348
52,1.0688720375376728
53,1.0685326391597607
54,1.0681881667625934
55,1.0678111852477519
56,1.0674710347926504
57,1.0671182777362336
58,1.0667797228902605
59,1.0664328077072303
60,1.0660735965290251
61,1.0657128461265524
62,1.0653710173653856
63,1.06501488502209
64,1.0646665110707592
65,1.0643183940839644
66,1.0639639742537212
67,1.0636192013090195
68,1.063262933992371
69,1.0629215566320676
70,1.0625797214442116
71,1.0622215473971288
72,1.0618647239335983
73,1.0615299555280648
74,1.0611826558512867
75,1.060844160197826
76,1.0605052205232472
77,1.0601549475689642
78,1.0598292237947806
79,1.0594842829576523
80,1.0591509629655935
81,1.0588153826335225
82,1.0584677807993177
83,1.0581354507621032
84,1.0578041896288417
85,1.0574679065595542
86,1.0571295572646033
87,1.0567886570763154
88,1.0564416174293079
89,1.0561062816205269
90,1.0557738619831583
91,1.0554365050514505
92,1.0551029925935724
93,1.0547663884731646
94,1.0544296390889736
95,1.0541009328029438
96,1.0537540574679627
97,1.053431744630108
98,1.0531083851305698
99,1.0527702630751072
100,1.0524406555714851
101,1.052104102658525
102,1.051767987430147
103,1.0514089302864174
104,1.0510811386380405
105,1.0507469302946468
106,1.0504047745965943
107,1.0500855811114134
108,1.049761629751147
109,1.049434035424024
110,1.049089826121862
111,1.0487593951262373
112,1.0484431128926388
113,1.0481092750047338
114,1.0477877493912326
115,1.0474589903393798
116,1.0471377047414705
117,1.0468096044832196
118,1.0464552060581016
119,1.0461311529397759
120,1.0458014522427201
121,1.0454428688193975
122,1.045120101206346
123,1.0447975717542908
124,1.0444600363692644
125,1.0441396243631995
126,1.0437947153117808
127,1.0434727015789975
128,1.0431505066625189
129,1.0428307412921507
130,1.04248581585847
131,1.0421547354194967
132,1.0418292398378575
133,1.0415049254533641
134,1.0411817824521143
135,1.0408544651681015
136,1.0405213154897468
137,1.0401825467985875
138,1.0398695595633294
139,1.0395492421416446
140,1.039220410680065
141,1.0389028001470408
142,1.0385765355006311
143,1.0382575776521359
144,1.0379165321356691
145,1.037577672569321
146,1.0372439895916727
147,1.0369116128675877
148,1.0365702328026656
149,1.0362514900357536
150,1.0359346445202313
151,1.0356245478784203
152,1.0352999464952441
153,1.0349752044718947
154,1.034653344232663
155,1.0343171094601382
156,1.0339975268447203
157,1.0336532822537237
158,1.0333350155512218
159,1.0330155364583047
160,1.0326817775452664
161,1.0323523626104962
162,1.0320180141936115
163,1.0316860507610242
164,1.0313680900410527
165,1.0310185399154392
166,1.030695901570283
167,1.0303765912455738
168,1.0300616350478928
169,1.0297321744694623
170,1.0294078408692968
171,1.0290928639362058
172,1.028773255047349
173,1.0284487130627513
174,1.0281279577246594
175,1.027813621193763
176,1.0274900813605523
177,1.0271666401815291
178,1.0268472744765318
179,1.0265083071890841
180,1.0262012069557078
181,1.0258547515964962
182,1.025544123497108
183,1.025218717322436
184,1.0249027336787435
185,1.0245748936820875
186,1.0242464439355823
187,1.023915306802649
188,1.0235897284081608
189,1.0232639703239566
190,1.022944184450003
191,1.0226143747181757
192,1.022287582980216
193,1.0219517434941559
194,1.0216262667160563
195,1.021313387304931
196,1.0209936030795066
197,1.0206595641740355
198,1.0203385694643086
199,1.020009584383606
200,1.0196811507360215
201,1.0193623987476477
202,1.019019746533116
203,1.0187046368161254
204,1.0183814594018223
205,1.0180363713046447
206,1.0177150847794376
207,1.017390498902742
208,1.0170686391271593
209,1.0167364927850722
210,1.0163997344756395
211,1.0160654119200612
212,1.0157446558349794
213,1.0153921373774497
214,1.015072114063731
215,1.0147405482100946
216,1.0144042112029825
217,1.014077820753165
218,1.013752211860881
219,1.0134158625928307
220,1.0130995094724637
221,1.0127507267888496
222,1.0124240381612588
223,1.0121018529041326
224,1.0117779180935569
225,1.0114518452432513
226,1.0111284944242511
227,1.010802576844818
228,1.0104496468215949
229,1.0101211136440418
230,1.0097914108863244
231,1.0094558630354362
232,1.0091424230470056
233,1.0087860900982764
234,1.0084589967309348
235,1.0081307908122459
236,1.0078041710622783
237,1.0074787728726708
238,1.0071422820886664
239,1.0068049936739658
240,1.0064766232371845
241,1.0061470360825984
242,1.0058263336262419
243,1.0054989145455324
244,1.0051361776263732
245,1.0048042558449142
246,1.0044683821261084
247,1.0041414066543843
248,1.0038052514491662
249,1.003467700351593
250,1.0031116556894604
251,1.0027764777016206
252,1.0024441809312166
253,1.0020865280255224
254,1.0017685865469812
255,1.0014355170283733
256,1.00110822869666
257,1.0007694749968157
258,1.0004353066817788
259,1.000094962047933
260,0.9997681747146382
261,0.9994420314927295
262,0.9991094215017202
263,0.998770981949779
264,0.9984239816871716
265,0.9980923190339434
266,0.9977587808821875
267,0.9974223678752896
268,0.9970836453944728
269,0.9967457461480757
270,0.9964107531561559
271,0.9960735351130585
272,0.995720249831728
273,0.9953926812499994
274,0.9950378909642674
275,0.994713024219358
276,0.9943892995962936
277,0.9940427420153738
278,0.9937188606789736
279,0.9933797564605442
280,0.9930315554502614
281,0.9926921569693161
282,0.9923569107220517
283,0.9920068154998555
284,0.9916707527668391
285,0.9913427955442806
286,0.9909866670132096
287,0.9906389487387295
288,0.9902934475818789
289,0.9899373725249835
290,0.9895714332599936
291,0.9892327481544316
292,0.9888956370854439
293,0.988553723901536
294,0.9882128222450266
295,0.9878742729370823
296,0.9875101507894933
297,0.9871695027747026
298,0.986831338037781
299,0.986471064253521
300,0.9861204285197147
301,0.9857514315158412
302,0.9854079596215316
303,0.9850761398428354
304,0.9847216008033027
305,0.9843822068300552
306,0.9840370286819538
307,0.9836802906070996
308,0.983314474956064
309,0.9829727668080128
310,0.9826232751279219
311,0.982276370531542
312,0.981934753670812
313,0.9815834162816367
314,0.9812338234230477
315,0.9808945725885257
316,0.9805495495825053
317,0.980189527739918
318,0.9798234824796329
319,0.9794557279003212
320,0.979101958196021
321,0.9787580169344525
322,0.9784071963592759
323,0.9780518913846028
324,0.9776879541942964
325,0.9773419944500243
326,0.9769888980283548
327,0.9766331843085194
328,0.9762557071916173
329,0.9759058572654592
330,0.9755384988226351
331,0.9751837956256256
332,0.974832244288231
333,0.9744879106251247
334,0.9741176273045915
335,0.973764260446809
336,0.9734077125839251
337,0.973062712309581
338,0.9726970072130551
339,0.972324639636067
340,0.9719772367458871
341,0.9716123890134932
342,0.9712593914005606
343,0.9709170762072789
344,0.9705531817885855
345,0.9701943112120303
346,0.9698298028964056
347,0.9694628294882531
348,0.9691109179214042
349,0.9687481777567026
350,0.9683611170423371
