model_name,total_time_train,time_epoch,time_predict,time_system,EVS,ME,MAE,MSE,RMSE,MSLE,MedAE,R2,MRE,MAPE,SMAPE,MAAPE,MASE
DeLstm-run_0-hs_[7]True-ac_eluelu-cr_0.9-epoch_1000-pop_size_50-wf_0.8,5715.4663,5.7155,0.04378104,5715.8098,0.2742,121.63112861454486,7.7238,160.7481,12.6786,1.4456,4.7419,0.2733,inf,inf,109.2314,0.932,0.9342
DeLstm-run_1-hs_[7]True-ac_eluelu-cr_0.9-epoch_1000-pop_size_50-wf_0.8,5808.0655,5.8081,0.03643131,5808.6611,0.2766,119.2889608541131,7.7632,160.423,12.6658,1.4465,4.793,0.2748,inf,inf,109.2686,0.9333,0.939
DeLstm-run_2-hs_[7]True-ac_eluelu-cr_0.9-epoch_1000-pop_size_50-wf_0.8,5382.4834,5.3825,0.03696322,5383.0362,0.2759,118.35207757502793,8.2862,163.8392,12.8,1.654,5.5094,0.2594,inf,inf,110.501,0.9563,1.0023
DeLstm-run_3-hs_[7]True-ac_eluelu-cr_0.9-epoch_1000-pop_size_50-wf_0.8,5760.5394,5.7605,0.04522347,5761.0313,0.279,122.92785112723708,8.0437,161.4716,12.7071,1.5873,5.3536,0.2701,inf,inf,110.0648,0.9492,0.9729
DeLstm-run_4-hs_[7]True-ac_eluelu-cr_0.9-epoch_1000-pop_size_50-wf_0.8,5749.4268,5.7494,0.03685784,5749.9038,0.274,121.94772826343774,7.6908,160.7947,12.6805,1.4045,4.6982,0.2731,inf,inf,109.0261,0.9278,0.9302
DeLstm-run_5-hs_[7]True-ac_eluelu-cr_0.9-epoch_1000-pop_size_50-wf_0.8,5322.2483,5.3222,0.03970194,5322.7635,0.2721,120.41639268934726,7.8257,161.6891,12.7157,1.4522,4.9409,0.2691,inf,inf,109.4633,0.9346,0.9466
DeLstm-run_6-hs_[7]True-ac_eluelu-cr_0.9-epoch_1000-pop_size_50-wf_0.8,5746.7687,5.7468,0.0428524,5747.2456,0.2741,122.04062078565357,7.8437,161.3125,12.7009,1.4641,4.991,0.2708,inf,inf,109.4329,0.9362,0.9487
DeLstm-run_7-hs_[7]True-ac_eluelu-cr_0.9-epoch_1000-pop_size_50-wf_0.8,5764.5476,5.7645,0.03931785,5765.0872,0.2736,119.17730543345212,7.7497,161.0169,12.6892,1.4259,4.7429,0.2721,inf,inf,109.1987,0.9306,0.9374
DeLstm-run_8-hs_[7]True-ac_eluelu-cr_0.9-epoch_1000-pop_size_50-wf_0.8,5322.1687,5.3222,0.0304997,5322.6852,0.2706,119.88803513035177,7.7974,161.8764,12.7231,1.4269,4.796,0.2682,inf,inf,109.2129,0.9312,0.9431
DeLstm-run_9-hs_[7]True-ac_eluelu-cr_0.9-epoch_1000-pop_size_50-wf_0.8,5748.2199,5.7482,0.03986955,5748.7249,0.2739,120.87800042837858,7.7322,160.8449,12.6825,1.4466,4.7794,0.2729,inf,inf,109.248,0.9328,0.9352
