model_name,total_time_train,time_epoch,time_predict,time_system,EVS,ME,MAE,MSE,RMSE,MSLE,MedAE,R2,MRE,MAPE,SMAPE,MAAPE,MASE
"RNN-1HL-Rnn1HL-run_0-hs_(20, True)-ep_1000-bs_32-lr_0.1-ac_('elu', 'elu')-op_SGD-lo_mse-dr_(0.2,)",317.2373,0.3172,0.3255353,317.6366,0.2751,124.26009779140352,8.5445,165.872,12.8791,1.7976,6.3145,0.2502,inf,inf,111.4615,0.9698,1.0335
"RNN-1HL-Rnn1HL-run_1-hs_(20, True)-ep_1000-bs_32-lr_0.1-ac_('elu', 'elu')-op_SGD-lo_mse-dr_(0.2,)",314.8309,0.3148,0.33517337,315.2292,0.275,127.91297127634286,7.2066,161.9241,12.7249,1.2217,4.0466,0.268,inf,inf,108.1016,0.8953,0.8717
"RNN-1HL-Rnn1HL-run_2-hs_(20, True)-ep_1000-bs_32-lr_0.1-ac_('elu', 'elu')-op_SGD-lo_mse-dr_(0.2,)",314.2442,0.3142,0.33652043,314.6477,0.2751,127.07181112915276,7.4523,160.5076,12.6692,1.3353,4.4122,0.2744,inf,inf,108.5882,0.9163,0.9014
"RNN-1HL-Rnn1HL-run_3-hs_(20, True)-ep_1000-bs_32-lr_0.1-ac_('elu', 'elu')-op_SGD-lo_mse-dr_(0.2,)",306.8633,0.3069,0.32700753,307.2461,0.2752,128.5952088649571,7.0005,165.1376,12.8506,1.1419,3.7596,0.2535,inf,inf,108.3546,0.8693,0.8467
"RNN-1HL-Rnn1HL-run_4-hs_(20, True)-ep_1000-bs_32-lr_0.1-ac_('elu', 'elu')-op_SGD-lo_mse-dr_(0.2,)",313.9607,0.314,0.33012891,314.3506,0.2752,125.37663986682891,7.905,161.1203,12.6933,1.5366,5.1417,0.2717,inf,inf,109.7084,0.9426,0.9561
"RNN-1HL-Rnn1HL-run_5-hs_(20, True)-ep_1000-bs_32-lr_0.1-ac_('elu', 'elu')-op_SGD-lo_mse-dr_(0.2,)",311.513,0.3115,0.36051536,311.9306,0.2751,125.34336807191372,7.8038,160.7572,12.679,1.4911,4.9825,0.2733,inf,inf,109.4535,0.9375,0.9439
"RNN-1HL-Rnn1HL-run_6-hs_(20, True)-ep_1000-bs_32-lr_0.1-ac_('elu', 'elu')-op_SGD-lo_mse-dr_(0.2,)",317.8571,0.3179,0.32267523,318.2378,0.2751,126.40618921935558,7.6131,160.3732,12.6639,1.4108,4.5743,0.275,inf,inf,109.0128,0.9273,0.9208
"RNN-1HL-Rnn1HL-run_7-hs_(20, True)-ep_1000-bs_32-lr_0.1-ac_('elu', 'elu')-op_SGD-lo_mse-dr_(0.2,)",316.7899,0.3168,0.3296628,317.1753,0.2748,126.17190369993448,7.845,160.9293,12.6858,1.5137,5.0503,0.2725,inf,inf,109.5711,0.9399,0.9489
"RNN-1HL-Rnn1HL-run_8-hs_(20, True)-ep_1000-bs_32-lr_0.1-ac_('elu', 'elu')-op_SGD-lo_mse-dr_(0.2,)",313.8214,0.3138,0.36191487,314.2716,0.2749,128.31121379584073,7.0336,164.4275,12.8229,1.15,3.7991,0.2567,inf,inf,108.2052,0.8749,0.8508
"RNN-1HL-Rnn1HL-run_9-hs_(20, True)-ep_1000-bs_32-lr_0.1-ac_('elu', 'elu')-op_SGD-lo_mse-dr_(0.2,)",315.7882,0.3158,0.32551718,316.1695,0.2754,125.67069573149084,7.8482,160.8781,12.6838,1.5079,5.0324,0.2728,inf,inf,109.5636,0.9397,0.9493
