model_name,total_time_train,time_epoch,time_predict,time_system,EVS,ME,MAE,MSE,RMSE,MSLE,MedAE,R2,MRE,MAPE,SMAPE,MAAPE,MASE
GaLstm-run_0-hs_[7]True-ac_eluelu-epoch_1000-pc_0.8-pm_0.2-pop_size_50,5628.9496,5.6289,0.04608941,5629.2646,0.2713,128.582163798064,7.7271,161.3737,12.7033,1.4417,4.8228,0.2705,inf,inf,109.2838,0.9315,0.9346
GaLstm-run_1-hs_[7]True-ac_eluelu-epoch_1000-pc_0.8-pm_0.2-pop_size_50,5561.4669,5.5615,0.04920173,5561.8604,0.2768,126.81934500813483,7.482,160.0812,12.6523,1.3581,4.4289,0.2764,inf,inf,108.6874,0.9193,0.905
GaLstm-run_2-hs_[7]True-ac_eluelu-epoch_1000-pc_0.8-pm_0.2-pop_size_50,5562.123,5.5621,0.04087067,5562.4848,0.2726,118.86785105213522,8.169,163.1571,12.7733,1.641,5.577,0.2625,inf,inf,110.4268,0.9542,0.9881
GaLstm-run_3-hs_[7]True-ac_eluelu-epoch_1000-pc_0.8-pm_0.2-pop_size_50,5378.4034,5.3784,0.03854895,5378.7929,0.2751,124.6367306278646,8.0093,161.5763,12.7113,1.5917,5.3257,0.2696,inf,inf,110.0421,0.9482,0.9688
GaLstm-run_4-hs_[7]True-ac_eluelu-epoch_1000-pc_0.8-pm_0.2-pop_size_50,5371.0914,5.3711,0.04459858,5371.5729,0.2715,122.02458335995674,8.6457,167.2031,12.9307,1.8448,6.5518,0.2442,inf,inf,111.8688,0.9745,1.0457
GaLstm-run_5-hs_[7]True-ac_eluelu-epoch_1000-pc_0.8-pm_0.2-pop_size_50,5356.9944,5.357,0.03610444,5357.5177,0.2768,121.92321518361567,8.2093,162.8079,12.7596,1.6474,5.5931,0.264,inf,inf,110.4774,0.9557,0.993
GaLstm-run_6-hs_[7]True-ac_eluelu-epoch_1000-pc_0.8-pm_0.2-pop_size_50,5327.0547,5.3271,0.03490973,5327.5676,0.2693,119.15770143955945,7.4628,161.7243,12.7171,1.2779,4.4482,0.2689,inf,inf,108.5896,0.9049,0.9027
GaLstm-run_7-hs_[7]True-ac_eluelu-epoch_1000-pc_0.8-pm_0.2-pop_size_50,5336.9862,5.337,0.05159259,5337.4884,0.2773,124.13535686656832,8.0355,161.5022,12.7084,1.5832,5.3235,0.2699,inf,inf,110.0227,0.9483,0.9719
GaLstm-run_8-hs_[7]True-ac_eluelu-epoch_1000-pc_0.8-pm_0.2-pop_size_50,5360.5231,5.3605,0.04596615,5361.063,0.278,123.77250101178885,7.2062,161.0231,12.6895,1.2127,3.9645,0.2721,inf,inf,108.027,0.8925,0.8716
GaLstm-run_9-hs_[7]True-ac_eluelu-epoch_1000-pc_0.8-pm_0.2-pop_size_50,5337.4272,5.3374,0.03537869,5337.8898,0.2747,123.94190086990594,8.2342,163.0385,12.7687,1.694,5.8286,0.263,inf,inf,110.6659,0.9583,0.996
