model_name,total_time_train,time_epoch,time_predict,time_system,EVS,ME,MAE,MSE,RMSE,MSLE,MedAE,R2,MRE,MAPE,SMAPE,MAAPE,MASE
HgsoMlp-run_0-hs_7True-ac_eluelu-epoch_1000-n_clusters_2-pop_size_50,113.6108,0.1136,0.00055051,113.7279,0.273,127.53712964582817,7.3701,161.2187,12.6972,1.3277,4.336,0.2712,inf,inf,108.5036,0.9124,0.8914
HgsoMlp-run_1-hs_7True-ac_eluelu-epoch_1000-n_clusters_2-pop_size_50,116.4765,0.1165,0.00058174,116.581,0.2745,127.43915375392211,7.9156,161.3208,12.7012,1.5448,5.2637,0.2708,inf,inf,109.8297,0.9438,0.9574
HgsoMlp-run_2-hs_7True-ac_eluelu-epoch_1000-n_clusters_2-pop_size_50,113.5643,0.1136,0.0005033,113.6228,0.2596,123.16240840532333,8.0305,164.9207,12.8421,1.6182,5.4932,0.2545,inf,inf,109.9854,0.9455,0.9713
HgsoMlp-run_3-hs_7True-ac_eluelu-epoch_1000-n_clusters_2-pop_size_50,115.6633,0.1157,0.00057077,115.782,0.2738,127.9802575038239,8.0637,162.1396,12.7334,1.6247,5.5033,0.2671,inf,inf,110.29,0.9518,0.9753
HgsoMlp-run_4-hs_7True-ac_eluelu-epoch_1000-n_clusters_2-pop_size_50,119.9033,0.1199,0.00050616,119.968,0.2742,125.56885445146143,8.1005,162.3665,12.7423,1.6171,5.4701,0.266,inf,inf,110.2685,0.9519,0.9798
HgsoMlp-run_5-hs_7True-ac_eluelu-epoch_1000-n_clusters_2-pop_size_50,118.2394,0.1182,0.00077152,118.3446,0.2689,125.03640925559472,8.0826,163.1663,12.7737,1.6123,5.4551,0.2624,inf,inf,110.1887,0.9502,0.9776
HgsoMlp-run_6-hs_7True-ac_eluelu-epoch_1000-n_clusters_2-pop_size_50,100.2161,0.1002,0.00063419,100.2715,0.2803,123.73067859562042,8.2241,162.2315,12.737,1.6658,5.7128,0.2666,inf,inf,110.6022,0.9574,0.9947
HgsoMlp-run_7-hs_7True-ac_eluelu-epoch_1000-n_clusters_2-pop_size_50,100.642,0.1006,0.00066304,100.7009,0.2574,117.83367951841116,8.3077,168.5915,12.9843,1.5926,5.497,0.2379,inf,inf,110.5194,0.9535,1.0049
HgsoMlp-run_8-hs_7True-ac_eluelu-epoch_1000-n_clusters_2-pop_size_50,93.6035,0.0936,0.00064039,93.6633,0.2712,125.84297916443958,7.3946,161.4488,12.7063,1.2933,4.304,0.2702,inf,inf,108.5202,0.9071,0.8944
HgsoMlp-run_9-hs_7True-ac_eluelu-epoch_1000-n_clusters_2-pop_size_50,79.1053,0.0791,0.00052094,79.1642,0.2639,113.46006684792297,8.3361,166.3519,12.8977,1.6788,5.6551,0.248,inf,inf,110.8291,0.9593,1.0083
