model_name,total_time_train,time_epoch,time_predict,time_system,EVS,ME,MAE,MSE,RMSE,MSLE,MedAE,R2,MRE,MAPE,SMAPE,MAAPE,MASE
"MLP-run_0-hs_(20, True)-ep_1000-bs_32-lr_0.1-ac_('elu', 'elu')-op_SGD-lo_mse",117.7527,0.1178,0.02992105,117.8016,0.278,117.89829040616749,7.5976,159.7418,12.6389,1.3664,4.5358,0.2779,inf,inf,108.7943,0.9206,0.919
"MLP-run_1-hs_(20, True)-ep_1000-bs_32-lr_0.1-ac_('elu', 'elu')-op_SGD-lo_mse",107.7726,0.1078,0.02888989,107.8204,0.2743,119.94691989913582,7.689,160.7614,12.6792,1.3996,4.6657,0.2733,inf,inf,108.9965,0.9268,0.93
"MLP-run_2-hs_(20, True)-ep_1000-bs_32-lr_0.1-ac_('elu', 'elu')-op_SGD-lo_mse",113.9719,0.114,0.02889109,114.0198,0.2784,113.553712965101,8.65,167.3098,12.9348,1.7802,5.9506,0.2437,inf,inf,111.5491,0.9712,1.0463
"MLP-run_3-hs_(20, True)-ep_1000-bs_32-lr_0.1-ac_('elu', 'elu')-op_SGD-lo_mse",108.8936,0.1089,0.02893734,108.9414,0.2742,114.12628869101405,9.46,178.4998,13.3604,2.0548,7.1318,0.1931,inf,inf,113.9638,1.0,1.1442
"MLP-run_4-hs_(20, True)-ep_1000-bs_32-lr_0.1-ac_('elu', 'elu')-op_SGD-lo_mse",112.7261,0.1127,0.02888894,112.7739,0.2816,117.25630813091993,7.0903,161.7199,12.7169,1.1762,3.8247,0.2689,inf,inf,108.7332,0.8704,0.8576
"MLP-run_5-hs_(20, True)-ep_1000-bs_32-lr_0.1-ac_('elu', 'elu')-op_SGD-lo_mse",114.2349,0.1142,0.02791691,114.2817,0.28,118.1276991894841,8.8967,169.1233,13.0047,1.9061,6.6186,0.2355,inf,inf,112.4865,0.983,1.0761
"MLP-run_6-hs_(20, True)-ep_1000-bs_32-lr_0.1-ac_('elu', 'elu')-op_SGD-lo_mse",109.2383,0.1092,0.02892303,109.2861,0.2783,115.60156606227159,9.9097,184.1113,13.5688,2.2142,8.0423,0.1677,inf,inf,115.3616,1.0155,1.1986
"MLP-run_7-hs_(20, True)-ep_1000-bs_32-lr_0.1-ac_('elu', 'elu')-op_SGD-lo_mse",112.9595,0.113,0.02891183,113.0075,0.2816,117.51935264468193,7.797,159.4827,12.6286,1.4611,4.8286,0.2791,inf,inf,109.3233,0.9347,0.9431
"MLP-run_8-hs_(20, True)-ep_1000-bs_32-lr_0.1-ac_('elu', 'elu')-op_SGD-lo_mse",113.1571,0.1132,0.02892232,113.206,0.2744,119.90207495436071,7.2888,161.1527,12.6946,1.2295,4.1046,0.2715,inf,inf,108.2437,0.894,0.8816
"MLP-run_9-hs_(20, True)-ep_1000-bs_32-lr_0.1-ac_('elu', 'elu')-op_SGD-lo_mse",114.6766,0.1147,0.0283649,114.724,0.271,121.35156951516865,7.4798,161.3155,12.701,1.3148,4.3286,0.2708,inf,inf,108.4766,0.9122,0.9047
