model_name,total_time_train,time_epoch,time_predict,time_system,EVS,ME,MAE,MSE,RMSE,MSLE,MedAE,R2,MRE,MAPE,SMAPE,MAAPE,MASE
PsoLstm-run_0-hs_[7]True-ac_eluelu-c1_2.0-c2_2.0-epoch_1000-pop_size_50-w_max_0.9-w_min_0.4,5604.0886,5.6041,0.04271674,5604.3731,0.2518,114.72617171287536,7.8745,166.2885,12.8953,1.4023,4.6991,0.2483,inf,inf,109.238,0.9263,0.9525
PsoLstm-run_1-hs_[7]True-ac_eluelu-c1_2.0-c2_2.0-epoch_1000-pop_size_50-w_max_0.9-w_min_0.4,5545.4613,5.5455,0.04196906,5545.9155,0.2655,116.73693169206379,7.8528,163.2303,12.7762,1.4439,4.713,0.2621,inf,inf,109.4765,0.9333,0.9498
PsoLstm-run_2-hs_[7]True-ac_eluelu-c1_2.0-c2_2.0-epoch_1000-pop_size_50-w_max_0.9-w_min_0.4,5505.7738,5.5058,0.03937793,5506.2924,0.2721,114.53276828467845,7.8781,161.9837,12.7273,1.456,4.7238,0.2678,inf,inf,109.4323,0.9346,0.9529
PsoLstm-run_3-hs_[7]True-ac_eluelu-c1_2.0-c2_2.0-epoch_1000-pop_size_50-w_max_0.9-w_min_0.4,5546.9118,5.5469,0.03943706,5547.4229,0.2863,109.16712927639483,7.9873,158.7988,12.6015,1.5849,5.493,0.2822,inf,inf,109.9455,0.9425,0.9661
PsoLstm-run_4-hs_[7]True-ac_eluelu-c1_2.0-c2_2.0-epoch_1000-pop_size_50-w_max_0.9-w_min_0.4,5467.4947,5.4675,0.03808236,5467.9887,0.2582,119.97152598470448,7.8857,164.8329,12.8387,1.4663,4.8693,0.2549,inf,inf,109.5906,0.9372,0.9538
PsoLstm-run_5-hs_[7]True-ac_eluelu-c1_2.0-c2_2.0-epoch_1000-pop_size_50-w_max_0.9-w_min_0.4,5474.5418,5.4745,0.03914237,5475.0484,0.2738,114.02654204964637,7.8449,161.3613,12.7028,1.4639,4.8829,0.2706,inf,inf,109.3597,0.9359,0.9489
PsoLstm-run_6-hs_[7]True-ac_eluelu-c1_2.0-c2_2.0-epoch_1000-pop_size_50-w_max_0.9-w_min_0.4,5512.2568,5.5123,0.03600907,5512.7679,0.2771,114.15697654366492,7.8887,160.7192,12.6775,1.5277,4.9634,0.2735,inf,inf,109.5319,0.9361,0.9542
PsoLstm-run_7-hs_[7]True-ac_eluelu-c1_2.0-c2_2.0-epoch_1000-pop_size_50-w_max_0.9-w_min_0.4,5643.198,5.6432,0.03708625,5644.2379,0.2697,118.30766530916094,7.9235,162.2773,12.7388,1.5151,4.835,0.2664,inf,inf,109.7359,0.9363,0.9584
PsoLstm-run_8-hs_[7]True-ac_eluelu-c1_2.0-c2_2.0-epoch_1000-pop_size_50-w_max_0.9-w_min_0.4,5661.5746,5.6616,0.04036164,5662.0774,0.2579,114.81075437381863,7.8055,164.8211,12.8383,1.3926,4.6395,0.2549,inf,inf,109.0958,0.9258,0.9441
PsoLstm-run_9-hs_[7]True-ac_eluelu-c1_2.0-c2_2.0-epoch_1000-pop_size_50-w_max_0.9-w_min_0.4,5546.4734,5.5465,0.04361629,5546.9243,0.2615,115.99658168673514,7.8564,164.0015,12.8063,1.4425,4.644,0.2586,inf,inf,109.3762,0.9313,0.9503
