model_name,total_time_train,time_epoch,time_predict,time_system,EVS,ME,MAE,MSE,RMSE,MSLE,MedAE,R2,MRE,MAPE,SMAPE,MAAPE,MASE
"MvoLstm-run_0-hs_[7]True-ac_eluelu-epoch_1000-pop_size_50-wep_minmax_(1.0, 0.2)",5765.3732,5.7654,0.03391504,5765.7439,0.2703,116.25981221199035,7.8833,162.2563,12.738,1.472,4.7211,0.2665,inf,inf,109.5025,0.9361,0.9535
"MvoLstm-run_1-hs_[7]True-ac_eluelu-epoch_1000-pop_size_50-wep_minmax_(1.0, 0.2)",5724.508,5.7245,0.03640485,5724.982,0.2524,115.4900279097259,7.9506,166.3985,12.8996,1.486,4.6303,0.2478,inf,inf,109.6106,0.936,0.9617
"MvoLstm-run_2-hs_[7]True-ac_eluelu-epoch_1000-pop_size_50-wep_minmax_(1.0, 0.2)",5704.5753,5.7046,0.02928019,5705.1113,0.2686,113.3341587471962,7.799,162.3481,12.7416,1.4093,4.6873,0.2661,inf,inf,109.1484,0.9283,0.9433
"MvoLstm-run_3-hs_[7]True-ac_eluelu-epoch_1000-pop_size_50-wep_minmax_(1.0, 0.2)",5623.7215,5.6237,0.04191351,5624.2162,0.2644,116.73646261960266,7.7773,163.169,12.7738,1.4028,4.5998,0.2624,inf,inf,109.1457,0.9267,0.9407
"MvoLstm-run_4-hs_[7]True-ac_eluelu-epoch_1000-pop_size_50-wep_minmax_(1.0, 0.2)",5612.535,5.6125,0.03707314,5613.0269,0.2502,116.84842940732835,8.0076,167.0858,12.9262,1.4981,4.7702,0.2447,inf,inf,109.7323,0.938,0.9686
"MvoLstm-run_5-hs_[7]True-ac_eluelu-epoch_1000-pop_size_50-wep_minmax_(1.0, 0.2)",5564.0437,5.564,0.04352856,5564.559,0.247,118.01783109664916,7.8664,167.2518,12.9326,1.4203,4.5095,0.2439,inf,inf,109.3701,0.9294,0.9515
"MvoLstm-run_6-hs_[7]True-ac_eluelu-epoch_1000-pop_size_50-wep_minmax_(1.0, 0.2)",5603.5576,5.6036,0.03980494,5604.0606,0.2659,114.07316219106315,7.8264,163.0254,12.7681,1.4231,4.5967,0.263,inf,inf,109.271,0.9286,0.9466
"MvoLstm-run_7-hs_[7]True-ac_eluelu-epoch_1000-pop_size_50-wep_minmax_(1.0, 0.2)",5586.7034,5.5867,0.0438652,5587.214,0.2597,118.78164281249045,7.7377,163.8872,12.8018,1.4075,4.4029,0.2592,inf,inf,109.165,0.9236,0.9359
"MvoLstm-run_8-hs_[7]True-ac_eluelu-epoch_1000-pop_size_50-wep_minmax_(1.0, 0.2)",5605.0061,5.605,0.0422051,5605.5174,0.2722,116.96220778524875,7.7987,161.5095,12.7086,1.4292,4.7104,0.2699,inf,inf,109.2527,0.931,0.9433
"MvoLstm-run_9-hs_[7]True-ac_eluelu-epoch_1000-pop_size_50-wep_minmax_(1.0, 0.2)",3871.6207,3.8716,0.01821971,3872.6045,0.2703,112.3071812057495,7.9134,162.4959,12.7474,1.4717,4.6638,0.2654,inf,inf,109.545,0.9357,0.9572
