model_name,total_time_train,time_epoch,time_predict,time_system,scaled_EV,scaled_MSLE,scaled_R2,scaled_MAE,scaled_MSE,scaled_RMSE,scaled_MAPE,scaled_SMAPE,unscaled_EV,unscaled_MSLE,unscaled_R2,unscaled_MAE,unscaled_MSE,unscaled_RMSE,unscaled_MAPE,unscaled_SMAPE
"LSTM-1HL-sliding_3-net_para_hs_(10, True)-ep_1000-bs_128-lr_0.001-ac_('elu', 'elu')-op_adam-lo_mse-dr_(0.2,)",38.908,0.0389,0.05343366,38.9861,0.0473,0.0723,0.046,0.3851,0.42,0.6481,234.5186,125.5906,0.0473,0.6948,0.046,8.6313,210.9752,14.525,160.3802,61.07
"LSTM-1HL-sliding_3-net_para_hs_(10, True)-ep_1000-bs_128-lr_0.001-ac_('elu', 'elu')-op_adam-lo_mse-dr_(0.2,)",37.6418,0.0376,0.10898471,37.7712,0.0993,0.07,0.0959,0.3786,0.3981,0.6309,197.5574,124.4077,0.0993,0.6782,0.0959,8.4847,199.9393,14.14,155.537,61.7639
"LSTM-1HL-sliding_3-net_para_hs_(10, True)-ep_1000-bs_128-lr_0.001-ac_('elu', 'elu')-op_adam-lo_mse-dr_(0.2,)",39.0468,0.039,0.19939446,39.2706,0.1156,0.0702,0.1137,0.3789,0.3902,0.6247,197.6547,125.4537,0.1156,0.6755,0.1137,8.4918,196.0053,14.0002,163.339,61.4677
"LSTM-1HL-sliding_3-net_para_hs_(10, True)-ep_1000-bs_128-lr_0.001-ac_('elu', 'elu')-op_adam-lo_mse-dr_(0.2,)",45.6095,0.0456,0.26871538,45.9052,0.0943,0.0732,0.0918,0.3829,0.3999,0.6324,179.4728,127.7889,0.0943,0.7102,0.0918,8.5804,200.8413,14.1718,157.4459,61.7516
"LSTM-1HL-sliding_3-net_para_hs_(10, True)-ep_1000-bs_128-lr_0.001-ac_('elu', 'elu')-op_adam-lo_mse-dr_(0.2,)",45.5436,0.0455,0.3467555,45.9178,0.074,0.0707,0.0729,0.3798,0.4082,0.6389,212.3796,126.9225,0.074,0.6766,0.0729,8.5117,205.04,14.3192,158.576,60.6459
"LSTM-1HL-sliding_3-net_para_hs_(10, True)-ep_1000-bs_128-lr_0.001-ac_('elu', 'elu')-op_adam-lo_mse-dr_(0.2,)",45.3868,0.0454,0.42915726,45.8431,0.0446,0.0726,0.0441,0.3824,0.4209,0.6488,180.9993,124.3621,0.0446,0.7015,0.0441,8.5711,211.3943,14.5394,154.7211,61.1198
"LSTM-1HL-sliding_3-net_para_hs_(10, True)-ep_1000-bs_128-lr_0.001-ac_('elu', 'elu')-op_adam-lo_mse-dr_(0.2,)",47.2111,0.0472,0.50220418,47.7399,0.0516,0.0736,0.0481,0.3849,0.4192,0.6474,198.0603,128.3145,0.0516,0.7131,0.0481,8.6258,210.5242,14.5095,164.1602,61.7506
"LSTM-1HL-sliding_3-net_para_hs_(10, True)-ep_1000-bs_128-lr_0.001-ac_('elu', 'elu')-op_adam-lo_mse-dr_(0.2,)",46.741,0.0467,0.58879089,47.351,0.1056,0.0712,0.0975,0.3882,0.3974,0.6304,197.2447,130.8884,0.1056,0.6951,0.0975,8.7008,199.5851,14.1275,159.0288,63.2173
"LSTM-1HL-sliding_3-net_para_hs_(10, True)-ep_1000-bs_128-lr_0.001-ac_('elu', 'elu')-op_adam-lo_mse-dr_(0.2,)",46.7396,0.0467,0.65979862,47.4257,0.0466,0.0742,0.0453,0.3806,0.4204,0.6484,183.2119,125.2314,0.0466,0.7067,0.0453,8.5294,211.1404,14.5307,154.7422,60.861
"LSTM-1HL-sliding_3-net_para_hs_(10, True)-ep_1000-bs_128-lr_0.001-ac_('elu', 'elu')-op_adam-lo_mse-dr_(0.2,)",48.7231,0.0487,0.75084686,49.4999,0.0532,0.0752,0.0503,0.3887,0.4181,0.6466,195.743,129.6674,0.0532,0.7107,0.0503,8.711,210.0197,14.4921,156.6038,61.3695
"LSTM-1HL-sliding_3-net_para_hs_(10, True)-ep_1000-bs_128-lr_0.001-ac_('elu', 'elu')-op_adam-lo_mse-dr_(0.2,)",48.3962,0.0484,0.83465695,49.2523,0.0576,0.0722,0.0552,0.39,0.416,0.645,201.6267,127.5814,0.0576,0.6952,0.0552,8.7397,208.9532,14.4552,166.7625,62.6053
"LSTM-1HL-sliding_3-net_para_hs_(10, True)-ep_1000-bs_128-lr_0.001-ac_('elu', 'elu')-op_adam-lo_mse-dr_(0.2,)",48.2221,0.0482,0.9266057,49.1746,0.0747,0.0705,0.0719,0.3807,0.4086,0.6392,182.304,126.2168,0.0747,0.6629,0.0719,8.533,205.2445,14.3264,166.0445,60.2935
"LSTM-1HL-sliding_3-net_para_hs_(10, True)-ep_1000-bs_128-lr_0.001-ac_('elu', 'elu')-op_adam-lo_mse-dr_(0.2,)",50.301,0.0503,1.00476766,51.3347,0.0533,0.0732,0.0514,0.3914,0.4177,0.6463,186.8741,128.8835,0.0533,0.7009,0.0514,8.7712,209.7874,14.484,157.4424,62.7066
"LSTM-1HL-sliding_3-net_para_hs_(10, True)-ep_1000-bs_128-lr_0.001-ac_('elu', 'elu')-op_adam-lo_mse-dr_(0.2,)",49.9474,0.0499,1.11182284,51.0874,0.0997,0.0712,0.0927,0.3859,0.3995,0.632,172.5806,131.1936,0.0997,0.6963,0.0927,8.6485,200.6422,14.1648,158.4574,61.6561
"LSTM-1HL-sliding_3-net_para_hs_(10, True)-ep_1000-bs_128-lr_0.001-ac_('elu', 'elu')-op_adam-lo_mse-dr_(0.2,)",49.7621,0.0498,1.19778252,50.9863,0.0409,0.0723,0.0356,0.3865,0.4246,0.6517,214.12,126.4093,0.0409,0.6872,0.0356,8.663,213.2856,14.6043,164.8178,61.076
