model_name,total_time_train,time_epoch,time_predict,time_system,EVS,ME,MAE,MSE,RMSE,MSLE,MedAE,R2,MRE,MAPE,SMAPE,MAAPE,MASE
GaMlp-run_0-hs_7True-ac_eluelu-epoch_1000-pc_0.8-pm_0.2-pop_size_50,114.1443,0.1141,0.00074577,114.2982,0.2793,120.8910418114989,8.1376,161.9317,12.7252,1.6148,5.5092,0.268,inf,inf,110.3535,0.9532,0.9843
GaMlp-run_1-hs_7True-ac_eluelu-epoch_1000-pc_0.8-pm_0.2-pop_size_50,116.3747,0.1164,0.00057411,116.4317,0.2771,121.66679957888161,8.2106,162.9748,12.7662,1.6372,5.6169,0.2633,inf,inf,110.4808,0.9556,0.9931
GaMlp-run_2-hs_7True-ac_eluelu-epoch_1000-pc_0.8-pm_0.2-pop_size_50,115.7085,0.1157,0.00057697,115.7675,0.2678,114.72887347966699,8.459,167.2932,12.9342,1.6924,5.7247,0.2438,inf,inf,111.0183,0.9631,1.0232
GaMlp-run_3-hs_7True-ac_eluelu-epoch_1000-pc_0.8-pm_0.2-pop_size_50,112.5044,0.1125,0.00064015,112.5626,0.2775,124.11237514023321,8.1492,161.9361,12.7254,1.6641,5.69,0.268,inf,inf,110.503,0.9554,0.9857
GaMlp-run_4-hs_7True-ac_eluelu-epoch_1000-pc_0.8-pm_0.2-pop_size_50,112.8123,0.1128,0.00064754,112.9326,0.2566,114.514086767717,7.9779,165.3588,12.8592,1.5156,4.835,0.2525,inf,inf,109.7612,0.9383,0.965
GaMlp-run_5-hs_7True-ac_eluelu-epoch_1000-pc_0.8-pm_0.2-pop_size_50,117.6597,0.1177,0.0006454,117.7138,0.2611,126.14920535788806,7.7551,163.5055,12.7869,1.4734,4.7667,0.2609,inf,inf,109.4639,0.9333,0.938
GaMlp-run_6-hs_7True-ac_eluelu-epoch_1000-pc_0.8-pm_0.2-pop_size_50,99.7658,0.0998,0.00070095,99.8216,0.2719,125.571672918996,8.0942,162.5244,12.7485,1.6413,5.6021,0.2653,inf,inf,110.2762,0.9516,0.979
GaMlp-run_7-hs_7True-ac_eluelu-epoch_1000-pc_0.8-pm_0.2-pop_size_50,103.2114,0.1032,0.00060344,103.2802,0.2732,122.81308752936366,7.385,161.0366,12.69,1.2722,4.3171,0.272,inf,inf,108.2903,0.905,0.8932
GaMlp-run_8-hs_7True-ac_eluelu-epoch_1000-pc_0.8-pm_0.2-pop_size_50,82.69,0.0827,0.00055671,82.7504,0.2786,122.95315893254458,7.3713,159.8542,12.6433,1.2955,4.3035,0.2774,inf,inf,108.3039,0.9088,0.8916
GaMlp-run_9-hs_7True-ac_eluelu-epoch_1000-pc_0.8-pm_0.2-pop_size_50,76.9208,0.0769,0.0004077,76.9822,0.2735,121.47252399397192,8.1687,163.032,12.7684,1.6459,5.5759,0.263,inf,inf,110.4715,0.9551,0.988
