model_name,total_time_train,time_epoch,time_predict,time_system,scaled_EV,scaled_MSLE,scaled_R2,scaled_MAE,scaled_MSE,scaled_RMSE,scaled_MAPE,scaled_SMAPE,unscaled_EV,unscaled_MSLE,unscaled_R2,unscaled_MAE,unscaled_MSE,unscaled_RMSE,unscaled_MAPE,unscaled_SMAPE
"PSO_MLP-sliding_3-hs_(10, True)-ac_('elu', 'elu')--ep_1000-ps_50-c1_2.0-c2_2.0-w_min_0.4-w_max_0.9",80.5932,0.0806,0.00067163,80.7252,0.1416,0.0665,0.1384,0.3799,0.3794,0.6159,225.2733,122.9853,0.1416,0.6124,0.1384,8.515,190.5496,13.804,166.3806,63.1575
"PSO_MLP-sliding_3-hs_(10, True)-ac_('elu', 'elu')--ep_1000-ps_50-c1_2.0-c2_2.0-w_min_0.4-w_max_0.9",80.3233,0.0803,0.00093436,80.3925,0.152,0.0656,0.1456,0.3809,0.3762,0.6134,200.7167,127.1316,0.152,0.6323,0.1456,8.5375,188.9512,13.746,165.1953,62.8831
"PSO_MLP-sliding_3-hs_(10, True)-ac_('elu', 'elu')--ep_1000-ps_50-c1_2.0-c2_2.0-w_min_0.4-w_max_0.9",80.484,0.0805,0.00074935,80.5536,0.1463,0.067,0.1427,0.3808,0.3775,0.6144,249.8367,118.7749,0.1463,0.6348,0.1427,8.534,189.6016,13.7696,170.6568,63.4006
"PSO_MLP-sliding_3-hs_(10, True)-ac_('elu', 'elu')--ep_1000-ps_50-c1_2.0-c2_2.0-w_min_0.4-w_max_0.9",81.0526,0.0811,0.00092006,81.1233,0.1428,0.0662,0.1355,0.3864,0.3807,0.617,234.0816,124.8937,0.1428,0.6301,0.1355,8.6605,191.1926,13.8272,155.5822,65.5148
"PSO_MLP-sliding_3-hs_(10, True)-ac_('elu', 'elu')--ep_1000-ps_50-c1_2.0-c2_2.0-w_min_0.4-w_max_0.9",79.3902,0.0794,0.00067306,79.4602,0.158,0.0661,0.1543,0.3769,0.3724,0.6102,201.8783,122.157,0.158,0.6164,0.1543,8.4466,187.0192,13.6755,168.3403,61.6126
"PSO_MLP-sliding_3-hs_(10, True)-ac_('elu', 'elu')--ep_1000-ps_50-c1_2.0-c2_2.0-w_min_0.4-w_max_0.9",80.6244,0.0806,0.00068831,80.6953,0.1627,0.0658,0.1579,0.3784,0.3708,0.6089,233.1443,122.6208,0.1627,0.6314,0.1579,8.48,186.229,13.6466,165.392,62.631
"PSO_MLP-sliding_3-hs_(10, True)-ac_('elu', 'elu')--ep_1000-ps_50-c1_2.0-c2_2.0-w_min_0.4-w_max_0.9",80.1982,0.0802,0.00072145,80.2831,0.1606,0.0657,0.1569,0.3783,0.3712,0.6093,257.564,121.1457,0.1606,0.623,0.1569,8.4777,186.4429,13.6544,165.5305,62.6584
"PSO_MLP-sliding_3-hs_(10, True)-ac_('elu', 'elu')--ep_1000-ps_50-c1_2.0-c2_2.0-w_min_0.4-w_max_0.9",82.4149,0.0824,0.00073791,82.4846,0.1409,0.0675,0.1366,0.383,0.3802,0.6166,228.2081,121.0176,0.1409,0.6353,0.1366,8.5827,190.9423,13.8182,166.2874,63.5252
"PSO_MLP-sliding_3-hs_(10, True)-ac_('elu', 'elu')--ep_1000-ps_50-c1_2.0-c2_2.0-w_min_0.4-w_max_0.9",80.6062,0.0806,0.00079012,80.6831,0.1608,0.0657,0.1548,0.3837,0.3722,0.6101,232.5588,125.0951,0.1608,0.6212,0.1548,8.5986,186.9282,13.6722,161.0639,64.4391
"PSO_MLP-sliding_3-hs_(10, True)-ac_('elu', 'elu')--ep_1000-ps_50-c1_2.0-c2_2.0-w_min_0.4-w_max_0.9",83.7613,0.0838,0.00090647,83.8295,0.1598,0.0644,0.1544,0.3819,0.3723,0.6102,229.9541,127.5001,0.1598,0.6239,0.1544,8.5593,186.9997,13.6748,163.8238,63.6768
"PSO_MLP-sliding_3-hs_(10, True)-ac_('elu', 'elu')--ep_1000-ps_50-c1_2.0-c2_2.0-w_min_0.4-w_max_0.9",80.9469,0.0809,0.00095415,81.0198,0.1416,0.0667,0.1366,0.3859,0.3802,0.6166,226.3632,125.6157,0.1416,0.6228,0.1366,8.6491,190.9458,13.8183,162.9514,64.1438
"PSO_MLP-sliding_3-hs_(10, True)-ac_('elu', 'elu')--ep_1000-ps_50-c1_2.0-c2_2.0-w_min_0.4-w_max_0.9",82.4949,0.0825,0.0016892,82.5712,0.1417,0.0671,0.1377,0.3817,0.3797,0.6162,273.1872,119.0191,0.1417,0.6352,0.1377,8.5545,190.6968,13.8093,167.1406,64.184
"PSO_MLP-sliding_3-hs_(10, True)-ac_('elu', 'elu')--ep_1000-ps_50-c1_2.0-c2_2.0-w_min_0.4-w_max_0.9",81.9905,0.082,0.00074172,82.0618,0.1469,0.0665,0.1426,0.3827,0.3775,0.6144,258.1436,121.0891,0.1469,0.6186,0.1426,8.5773,189.613,13.77,167.5947,63.7856
"PSO_MLP-sliding_3-hs_(10, True)-ac_('elu', 'elu')--ep_1000-ps_50-c1_2.0-c2_2.0-w_min_0.4-w_max_0.9",83.0139,0.083,0.00072289,83.0842,0.137,0.0681,0.1336,0.3808,0.3815,0.6177,248.9215,120.3593,0.137,0.6279,0.1336,8.5352,191.6132,13.8424,157.9497,62.8175
"PSO_MLP-sliding_3-hs_(10, True)-ac_('elu', 'elu')--ep_1000-ps_50-c1_2.0-c2_2.0-w_min_0.4-w_max_0.9",81.0482,0.081,0.00110269,81.1177,0.1635,0.0652,0.1597,0.3778,0.37,0.6083,219.662,122.422,0.1635,0.6205,0.1597,8.4679,185.8413,13.6324,161.4288,62.6094
