time_count,value
05/02/2016 - 11/02/2016,18.32
12/02/2016 - 18/02/2016,6.722857143
19/02/2016 - 25/02/2016,3.752857143
26/02/2016 - 03/03/2016,10.71428571
04/03/2016 - 10/03/2016,1.254285714
11/03/2016 - 17/03/2016,1.1
18/03/2016 - 24/03/2016,1.1
25/03/2016 - 31/03/2016,2.671428571
01/04/2016 - 07/04/2016,0.174285714
08/04/2016 - 14/04/2016,2.8
15/04/2016 - 21/04/2016,1.047142857
22/04/2016 - 28/04/2016,0.605714286
29/04/2016 - 05/05/2016,1.652857143
06/05/2016 - 12/05/2016,5.625714286
13/05/2016 - 19/05/2016,3.841428571
20/05/2016 - 26/05/2016,2.411428571
27/05/2016 - 02/06/2016,17.27857143
03/06/2016 - 09/06/2016,6.135714286
10/06/2016 - 16/06/2016,8.164285714
17/06/2016 - 23/06/2016,9.961428571
24/06/2016 - 30/06/2016,7.392857143
01/07/2016 - 07/07/2016,8.775714286
08/07/2016 - 14/07/2016,11.69428571
15/07/2016 - 21/07/2016,8.584285714
22/07/2016 - 28/07/2016,10.46
29/07/2016 - 04/08/2016,1
05/08/2016 - 11/08/2016,7.392857143
12/08/2016 - 18/08/2016,1.577142857
19/08/2016 - 25/08/2016,6.57
26/08/2016 - 01/09/2016,9.831428571
02/09/2016 - 08/09/2016,10.21285714
09/09/2016 - 15/09/2016,6.237142857
16/09/2016 - 22/09/2016,12.69571429
23/09/2016 - 29/09/2016,3.427142857
30/09/2016 - 06/10/2016,4.882857143
07/10/2016 - 13/10/2016,6.457142857
14/10/2016 - 20/10/2016,13.12714286
21/10/2016 - 27/10/2016,7.177142857
28/10/2016 - 03/11/2016,8.211428571
04/11/2016 - 10/11/2016,13.05
11/11/2016 - 17/11/2016,18.22571429
18/11/2016 - 24/11/2016,3.974285714
25/11/2016 - 01/12/2016,27.55285714
02/12/2016 - 08/12/2016,13.79142857
09/12/2016 - 15/12/2016,5.44
16/12/2016 - 22/12/2016,8.592857143
23/12/2016 - 29/12/2016,24.83
30/12/2016 - 05/01/2017,95.73428571
06/01/2017 - 12/01/2017,2.25
13/01/2017 - 19/01/2017,22.11285714
20/01/2017 - 26/01/2017,83.41857143
27/01/2017 - 02/02/2017,7.445714286
03/02/2017 - 09/02/2017,1.917142857
10/02/2017 - 16/02/2017,11.61428571
17/02/2017 - 23/02/2017,6.72
24/02/2017 - 02/03/2017,24.74714286
03/03/2017 - 09/03/2017,0.554285714
10/03/2017 - 16/03/2017,0.404285714
17/03/2017 - 23/03/2017,2.742857143
24/03/2017 - 30/03/2017,9.264285714
31/03/2017 - 06/04/2017,11.00285714
07/04/2017 - 13/04/2017,7.991428571
14/04/2017 - 20/04/2017,6.088571429
21/04/2017 - 27/04/2017,4.354285714
28/04/2017 - 04/05/2017,3.88
05/05/2017 - 11/05/2017,13.68714286
12/05/2017 - 18/05/2017,4.495714286
19/05/2017 - 25/05/2017,7.555714286
26/05/2017 - 01/06/2017,6.598571429
02/06/2017 - 08/06/2017,5.875714286
09/06/2017 - 15/06/2017,4.845714286
16/06/2017 - 22/06/2017,13.26857143
23/06/2017 - 29/06/2017,7.548571429
30/06/2017 - 06/07/2017,6.938571429
07/07/2017 - 13/07/2017,8.152857143
14/07/2017 - 20/07/2017,1.222857143
21/07/2017 - 27/07/2017,1.191428571
28/07/2017 - 03/08/2017,3.032857143
04/08/2017 - 10/08/2017,2.664285714
11/08/2017 - 17/08/2017,10.10285714
18/08/2017 - 24/08/2017,7.064285714
25/08/2017 - 31/08/2017,16.20428571
01/09/2017 - 07/09/2017,6.531428571
08/09/2017 - 14/09/2017,7.26
15/09/2017 - 21/09/2017,6.31
22/09/2017 - 28/09/2017,6.538571429
29/09/2017 - 05/10/2017,9.985714286
06/10/2017 - 12/10/2017,11.33428571
13/10/2017 - 19/10/2017,6.52
20/10/2017 - 26/10/2017,2.405714286
27/10/2017 - 02/11/2017,10.43285714
03/11/2017 - 09/11/2017,11.07428571
10/11/2017 - 16/11/2017,11.43142857
17/11/2017 - 23/11/2017,7.952857143
24/11/2017 - 30/11/2017,59.51571429
01/12/2017 - 07/12/2017,20.32428571
08/12/2017 - 14/12/2017,7.27
15/12/2017 - 21/12/2017,5.492857143
22/12/2017 - 28/12/2017,13.16285714
29/12/2017 - 04/01/2018,71.66428571
05/01/2018 - 11/01/2018,8.555714286
12/01/2018 - 18/01/2018,7.162857143
19/01/2018 - 25/01/2018,17.42571429
26/01/2018 - 01/02/2018,5.038571429
02/02/2018 - 08/02/2018,3.202857143
09/02/2018 - 15/02/2018,2.665714286
16/02/2018 - 22/02/2018,1.028571429
23/02/2018 - 01/03/2018,10.43285714
02/03/2018 - 08/03/2018,7.83
09/03/2018 - 15/03/2018,2.951428571
16/03/2018 - 22/03/2018,2.13
23/03/2018 - 29/03/2018,2.072857143
30/03/2018 - 05/04/2018,0.481428571
06/04/2018 - 12/04/2018,3.512857143
13/04/2018 - 19/04/2018,1.925714286
20/04/2018 - 26/04/2018,4.292857143
27/04/2018 - 03/05/2018,5.587142857
04/05/2018 - 10/05/2018,5.415714286
11/05/2018 - 17/05/2018,2.717142857
18/05/2018 - 24/05/2018,3.014285714
25/05/2018 - 31/05/2018,5.817142857
01/06/2018 - 07/06/2018,8.782857143
08/06/2018 - 14/06/2018,3.86
15/06/2018 - 21/06/2018,4.144285714
22/06/2018 - 28/06/2018,7.454285714
29/06/2018 - 05/07/2018,3.898571429
06/07/2018 - 12/07/2018,4.497142857
13/07/2018 - 19/07/2018,3.997142857
20/07/2018 - 26/07/2018,11.08571429
27/07/2018 - 02/08/2018,13.95857143
03/08/2018 - 09/08/2018,3.322857143
10/08/2018 - 16/08/2018,1.822857143
17/08/2018 - 23/08/2018,6.148571429
24/08/2018 - 30/08/2018,6.592857143
31/08/2018 - 06/09/2018,9.705714286
07/09/2018 - 13/09/2018,9.877142857
14/09/2018 - 20/09/2018,7.7
21/09/2018 - 27/09/2018,6.642857143
28/09/2018 - 04/10/2018,4.784285714
05/10/2018 - 11/10/2018,9.247142857
12/10/2018 - 18/10/2018,11.45285714
19/10/2018 - 25/10/2018,5.652857143
26/10/2018 - 01/11/2018,8.521428571
02/11/2018 - 08/11/2018,35.23428571
09/11/2018 - 15/11/2018,8.371428571
16/11/2018 - 22/11/2018,8.937142857
23/11/2018 - 29/11/2018,5.6
30/11/2018 - 06/12/2018,42.10714286
07/12/2018 - 13/12/2018,43.20857143
14/12/2018 - 20/12/2018,27.89857143
21/12/2018 - 27/12/2018,1.548571429
28/12/2018 - 03/01/2019,7.801428571
04/01/2019 - 10/01/2019,10.19714286
11/01/2019 - 17/01/2019,13.37714286
18/01/2019 - 24/01/2019,2.328571429
25/01/2019 - 31/01/2019,1.801428571
01/02/2019 - 07/02/2019,5.217142857
08/02/2019 - 14/02/2019,10.18428571
15/02/2019 - 21/02/2019,0.972857143
22/02/2019 - 28/02/2019,0.59
01/03/2019 - 07/03/2019,0
08/03/2019 - 14/03/2019,0.825714286
15/03/2019 - 21/03/2019,0.157142857
22/03/2019 - 28/03/2019,0.727142857
29/03/2019 - 04/04/2019,11.50285714
05/04/2019 - 11/04/2019,3.584285714
12/04/2019 - 18/04/2019,2.265714286
19/04/2019 - 25/04/2019,0.334285714
26/04/2019 - 02/05/2019,5.695714286
03/05/2019 - 09/05/2019,6.077142857
10/05/2019 - 16/05/2019,7.511428571
17/05/2019 - 23/05/2019,4.555714286
24/05/2019 - 30/05/2019,3.408571429
31/05/2019 - 06/06/2019,17.32714286
07/06/2019 - 13/06/2019,2.415714286
14/06/2019 - 18/06/2019,12.105
